ENSG00000160808	MYL3
ENSG00000001036	FUCA2
ENSG00000112096	SOD2
ENSG00000103546	SLC6A2
ENSG00000067113	PLPP1
ENSG00000268089	GABRQ
ENSG00000108312	UBTF
ENSG00000060762	MPC1
ENSG00000162775	RBM15
ENSG00000164106	SCRG1
ENSG00000101298	SNPH
ENSG00000164867	NOS3
ENSG00000170113	NIPA1
ENSG00000111670	GNPTAB
ENSG00000101935	AMMECR1
ENSG00000126215	XRCC3
ENSG00000010803	SCMH1
ENSG00000144285	SCN1A
ENSG00000269190	FBXO17
ENSG00000171016	PYGO1
ENSG00000160229	ZNF66
ENSG00000091136	LAMB1
ENSG00000122378	FAM213A
ENSG00000173889	PHC3
ENSG00000162639	HENMT1
ENSG00000112210	RAB23
ENSG00000114796	KLHL24
ENSG00000006327	TNFRSF12A
ENSG00000157152	SYN2
ENSG00000144381	HSPD1
ENSG00000168259	DNAJC7
ENSG00000078487	ZCWPW1
ENSG00000149922	TBX6
ENSG00000265354	TIMM23
ENSG00000143799	PARP1
ENSG00000163807	KIAA1143
ENSG00000167123	CERCAM
ENSG00000226900	RP11-432J24.5
ENSG00000261238	AC009166.5
ENSG00000278730	RP11-147L13.11
ENSG00000106078	COBL
ENSG00000130347	RTN4IP1
ENSG00000145194	ECE2
ENSG00000248131	LINC01194
ENSG00000174099	MSRB3
ENSG00000111961	SASH1
ENSG00000106608	URGCP
ENSG00000101247	NDUFAF5
ENSG00000153993	SEMA3D
ENSG00000115084	SLC35F5
ENSG00000135842	FAM129A
ENSG00000105088	OLFM2
ENSG00000153922	CHD1
ENSG00000279752	CTB-174D11.3
ENSG00000091262	ABCC6
ENSG00000165410	CFL2
ENSG00000145247	OCIAD2
ENSG00000071282	LMCD1
ENSG00000138795	LEF1
ENSG00000258461	RP11-164J13.1
ENSG00000180263	FGD6
ENSG00000123545	NDUFAF4
ENSG00000137090	DMRT1
ENSG00000127948	POR
ENSG00000149582	TMEM25
ENSG00000099250	NRP1
ENSG00000153989	NUS1
ENSG00000198301	SDAD1
ENSG00000071889	FAM3A
ENSG00000140374	ETFA
ENSG00000153162	BMP6
ENSG00000173207	CKS1B
ENSG00000173918	C1QTNF1
ENSG00000128203	ASPHD2
ENSG00000180346	TIGD2
ENSG00000138311	ZNF365
ENSG00000175792	RUVBL1
ENSG00000185917	SETD4
ENSG00000168824	NSG1
ENSG00000170540	ARL6IP1
ENSG00000145685	LHFPL2
ENSG00000151655	ITIH2
ENSG00000130741	EIF2S3
ENSG00000133665	DYDC2
ENSG00000134986	NREP
ENSG00000136111	TBC1D4
ENSG00000138668	HNRNPD
ENSG00000136861	CDK5RAP2
ENSG00000121897	LIAS
ENSG00000151062	CACNA2D4
ENSG00000128731	HERC2
ENSG00000113569	NUP155
ENSG00000171862	PTEN
ENSG00000145721	LIX1
ENSG00000165507	C10orf10
ENSG00000148985	PGAP2
ENSG00000074370	ATP2A3
ENSG00000159082	SYNJ1
ENSG00000119139	TJP2
ENSG00000134802	SLC43A3
ENSG00000162512	SDC3
ENSG00000176654	NANOGP1
ENSG00000183287	CCBE1
ENSG00000131378	RFTN1
ENSG00000138347	MYPN
ENSG00000073711	PPP2R3A
ENSG00000138111	MFSD13A
ENSG00000137414	FAM8A1
ENSG00000166562	SEC11C
ENSG00000134056	MRPS36
ENSG00000152518	ZFP36L2
ENSG00000250579	CTD-2297D10.2
ENSG00000008324	SS18L2
ENSG00000196141	SPATS2L
ENSG00000011201	ANOS1
ENSG00000112081	SRSF3
ENSG00000011677	GABRA3
ENSG00000165623	UCMA
ENSG00000151067	CACNA1C
ENSG00000069011	PITX1
ENSG00000268119	CTD-2561J22.5
ENSG00000151240	DIP2C
ENSG00000140848	CPNE2
ENSG00000163453	IGFBP7
ENSG00000172687	ZNF738
ENSG00000122145	TBX22
ENSG00000033800	PIAS1
ENSG00000198771	RCSD1
ENSG00000106344	RBM28
ENSG00000132386	SERPINF1
ENSG00000221818	EBF2
ENSG00000146729	GBAS
ENSG00000140853	NLRC5
ENSG00000011114	BTBD7
ENSG00000140577	CRTC3
ENSG00000147684	NDUFB9
ENSG00000101049	SGK2
ENSG00000188895	MSL1
ENSG00000260834	RP11-256I9.2
ENSG00000132906	CASP9
ENSG00000116704	SLC35D1
ENSG00000168672	FAM84B
ENSG00000141526	SLC16A3
ENSG00000228649	AC005682.5
ENSG00000257315	ZBED6
ENSG00000185760	KCNQ5
ENSG00000119471	HSDL2
ENSG00000068438	FTSJ1
ENSG00000157617	C2CD2
ENSG00000122824	NUDT10
ENSG00000273066	RP11-216L13.19
ENSG00000168490	PHYHIP
ENSG00000030419	IKZF2
ENSG00000166925	TSC22D4
ENSG00000205189	ZBTB10
ENSG00000139722	VPS37B
ENSG00000103723	AP3B2
ENSG00000136936	XPA
ENSG00000177042	TMEM80
ENSG00000148339	SLC25A25
ENSG00000129116	PALLD
ENSG00000281183	NPTN-IT1
ENSG00000249242	TMEM150C
ENSG00000180999	C1orf105
ENSG00000091127	PUS7
ENSG00000156709	AIFM1
ENSG00000029639	TFB1M
ENSG00000173401	GLIPR1L1
ENSG00000143632	ACTA1
ENSG00000089351	GRAMD1A
ENSG00000143774	GUK1
ENSG00000143314	MRPL24
ENSG00000280099	RP11-33E12.2
ENSG00000186918	ZNF395
ENSG00000099338	CATSPERG
ENSG00000102871	TRADD
ENSG00000077458	FAM76B
ENSG00000068383	INPP5A
ENSG00000259642	ST20-AS1
ENSG00000137198	GMPR
ENSG00000154277	UCHL1
ENSG00000139055	ERP27
ENSG00000106479	ZNF862
ENSG00000115593	SMYD1
ENSG00000146070	PLA2G7
ENSG00000197296	FITM2
ENSG00000145284	SCD5
ENSG00000239305	RNF103
ENSG00000101292	PROKR2
ENSG00000228544	CCDC183-AS1
ENSG00000128564	VGF
ENSG00000112685	EXOC2
ENSG00000198060	Mar-05
ENSG00000138768	USO1
ENSG00000180758	GPR157
ENSG00000139209	SLC38A4
ENSG00000130234	ACE2
ENSG00000142784	WDTC1
ENSG00000071994	PDCD2
ENSG00000264016	CTC-297N7.9
ENSG00000108061	SHOC2
ENSG00000130307	USHBP1
ENSG00000084731	KIF3C
ENSG00000159173	TNNI1
ENSG00000134285	FKBP11
ENSG00000250208	FZD10-AS1
ENSG00000103037	SETD6
ENSG00000115993	TRAK2
ENSG00000105173	CCNE1
ENSG00000062822	POLD1
ENSG00000070950	RAD18
ENSG00000101204	CHRNA4
ENSG00000131143	COX4I1
ENSG00000067208	EVI5
ENSG00000173926	Mar-03
ENSG00000280237	MIR4697HG
ENSG00000136045	PWP1
ENSG00000232939	RP11-406O23.2
ENSG00000168952	STXBP6
ENSG00000116299	KIAA1324
ENSG00000078140	UBE2K
ENSG00000182489	XKRX
ENSG00000255248	MIR100HG
ENSG00000271971	CTD-2006H14.2
ENSG00000145703	IQGAP2
ENSG00000100461	RBM23
ENSG00000188542	DUSP28
ENSG00000111046	MYF6
ENSG00000114902	SPCS1
ENSG00000066557	LRRC40
ENSG00000165424	ZCCHC24
ENSG00000170779	CDCA4
ENSG00000172020	GAP43
ENSG00000127838	PNKD
ENSG00000080854	IGSF9B
ENSG00000198826	ARHGAP11A
ENSG00000077264	PAK3
ENSG00000007171	NOS2
ENSG00000134253	TRIM45
ENSG00000173621	LRFN4
ENSG00000173511	VEGFB
ENSG00000213213	CCDC183
ENSG00000119185	ITGB1BP1
ENSG00000182841	RRP7BP
ENSG00000145384	FABP2
ENSG00000011028	MRC2
ENSG00000165644	COMTD1
ENSG00000172831	CES2
ENSG00000163882	POLR2H
ENSG00000180198	RCC1
ENSG00000214253	FIS1
ENSG00000140319	SRP14
ENSG00000183684	ALYREF
ENSG00000164733	CTSB
ENSG00000180354	MTURN
ENSG00000183773	AIFM3
ENSG00000102053	ZC3H12B
ENSG00000116478	HDAC1
ENSG00000257647	RP11-701H24.3
ENSG00000181444	ZNF467
ENSG00000109171	SLAIN2
ENSG00000177238	TRIM72
ENSG00000128335	APOL2
ENSG00000078618	NRDC
ENSG00000122779	TRIM24
ENSG00000150477	KIAA1328
ENSG00000133134	BEX2
ENSG00000184144	CNTN2
ENSG00000234127	TRIM26
ENSG00000120539	MASTL
ENSG00000126226	PCID2
ENSG00000187957	DNER
ENSG00000106771	TMEM245
ENSG00000111364	DDX55
ENSG00000044090	CUL7
ENSG00000131966	ACTR10
ENSG00000019485	PRDM11
ENSG00000169946	ZFPM2
ENSG00000152207	CYSLTR2
ENSG00000116691	MIIP
ENSG00000139973	SYT16
ENSG00000156564	LRFN2
ENSG00000198155	ZNF876P
ENSG00000198780	FAM169A
ENSG00000080822	CLDND1
ENSG00000096384	HSP90AB1
ENSG00000163082	SGPP2
ENSG00000067334	DNTTIP2
ENSG00000138061	CYP1B1
ENSG00000242125	SNHG3
ENSG00000165879	FRAT1
ENSG00000104517	UBR5
ENSG00000162063	CCNF
ENSG00000112893	MAN2A1
ENSG00000172115	CYCS
ENSG00000198598	MMP17
ENSG00000173214	MFSD4B
ENSG00000137343	ATAT1
ENSG00000021645	NRXN3
ENSG00000234787	LINC00458
ENSG00000118729	CASQ2
ENSG00000183628	DGCR6
ENSG00000188897	CTD-3088G3.8
ENSG00000119314	PTBP3
ENSG00000099194	SCD
ENSG00000279692	RP11-1055B8.1
ENSG00000088808	PPP1R13B
ENSG00000170214	ADRA1B
ENSG00000050405	LIMA1
ENSG00000253636	RP11-531A24.5
ENSG00000101638	ST8SIA5
ENSG00000137642	SORL1
ENSG00000135372	NAT10
ENSG00000261553	RP11-29G8.3
ENSG00000164626	KCNK5
ENSG00000206557	TRIM71
ENSG00000132932	ATP8A2
ENSG00000148444	COMMD3
ENSG00000166840	GLYATL1
ENSG00000120647	CCDC77
ENSG00000137135	ARHGEF39
ENSG00000197702	PARVA
ENSG00000171243	SOSTDC1
ENSG00000122034	GTF3A
ENSG00000136527	TRA2B
ENSG00000280987	MATR3
ENSG00000101447	FAM83D
ENSG00000137944	KYAT3
ENSG00000107242	PIP5K1B
ENSG00000169230	PRELID1
ENSG00000161533	ACOX1
ENSG00000164116	GUCY1A3
ENSG00000145506	NKD2
ENSG00000115942	ORC2
ENSG00000131389	SLC6A6
ENSG00000076356	PLXNA2
ENSG00000130600	H19
ENSG00000166197	NOLC1
ENSG00000101187	SLCO4A1
ENSG00000126432	PRDX5
ENSG00000137460	FHDC1
ENSG00000237125	HAND2-AS1
ENSG00000130822	PNCK
ENSG00000033327	GAB2
ENSG00000185652	NTF3
ENSG00000162909	CAPN2
ENSG00000162105	SHANK2
ENSG00000121966	CXCR4
ENSG00000279602	CTD-3014M21.1
ENSG00000122484	RPAP2
ENSG00000258661	RP11-964E11.2
ENSG00000101017	CD40
ENSG00000147224	PRPS1
ENSG00000109089	CDR2L
ENSG00000213020	ZNF611
ENSG00000176490	DIRAS1
ENSG00000176619	LMNB2
ENSG00000170381	SEMA3E
ENSG00000204217	BMPR2
ENSG00000197417	SHPK
ENSG00000121104	FAM117A
ENSG00000112029	FBXO5
ENSG00000117228	GBP1
ENSG00000056487	PHF21B
ENSG00000168016	TRANK1
ENSG00000145103	ILDR1
ENSG00000172318	B3GALT1
ENSG00000157827	FMNL2
ENSG00000100162	CENPM
ENSG00000147889	CDKN2A
ENSG00000178966	RMI1
ENSG00000140538	NTRK3
ENSG00000141644	MBD1
ENSG00000169184	MN1
ENSG00000121904	CSMD2
ENSG00000105278	ZFR2
ENSG00000173894	CBX2
ENSG00000149503	INCENP
ENSG00000106028	SSBP1
ENSG00000132017	DCAF15
ENSG00000173598	NUDT4
ENSG00000113048	MRPS27
ENSG00000180979	LRRC57
ENSG00000005238	FAM214B
ENSG00000091651	ORC6
ENSG00000118242	MREG
ENSG00000166902	MRPL16
ENSG00000119950	MXI1
ENSG00000121417	ZNF211
ENSG00000166275	BORCS7
ENSG00000134909	ARHGAP32
ENSG00000232434	C9orf172
ENSG00000114021	NIT2
ENSG00000007264	MATK
ENSG00000185627	PSMD13
ENSG00000179862	CITED4
ENSG00000158022	TRIM63
ENSG00000090776	EFNB1
ENSG00000213462	ERV3-1
ENSG00000174564	IL20RB
ENSG00000117676	RPS6KA1
ENSG00000188803	SHISA6
ENSG00000133740	E2F5
ENSG00000163430	FSTL1
ENSG00000158816	VWA5B1
ENSG00000213612	FAM220CP
ENSG00000126216	TUBGCP3
ENSG00000109917	ZPR1
ENSG00000117298	ECE1
ENSG00000162924	REL
ENSG00000185298	CCDC137
ENSG00000103404	USP31
ENSG00000100344	PNPLA3
ENSG00000198646	NCOA6
ENSG00000213777	CTD-2224J9.8
ENSG00000187244	BCAM
ENSG00000232611	RP11-1114A5.4
ENSG00000270344	RP11-734K2.4
ENSG00000152910	CNTNAP4
ENSG00000124299	PEPD
ENSG00000116661	FBXO2
ENSG00000103257	SLC7A5
ENSG00000112079	STK38
ENSG00000176692	FOXC2
ENSG00000197361	FBXL22
ENSG00000162654	GBP4
ENSG00000088756	ARHGAP28
ENSG00000160716	CHRNB2
ENSG00000095321	CRAT
ENSG00000159348	CYB5R1
ENSG00000141425	RPRD1A
ENSG00000130305	NSUN5
ENSG00000135253	KCP
ENSG00000136783	NIPSNAP3A
ENSG00000163702	IL17RC
ENSG00000115761	NOL10
ENSG00000070808	CAMK2A
ENSG00000230623	RP11-469A15.2
ENSG00000213366	GSTM2
ENSG00000156642	NPTN
ENSG00000175104	TRAF6
ENSG00000197442	MAP3K5
ENSG00000166710	B2M
ENSG00000166226	CCT2
ENSG00000155363	MOV10
ENSG00000162951	LRRTM1
ENSG00000166265	CYYR1
ENSG00000125779	PANK2
ENSG00000185742	C11orf87
ENSG00000174938	SEZ6L2
ENSG00000162817	C1orf115
ENSG00000163558	PRKCI
ENSG00000143387	CTSK
ENSG00000189398	OR7E12P
ENSG00000182180	MRPS16
ENSG00000103942	HOMER2
ENSG00000105011	ASF1B
ENSG00000213625	LEPROT
ENSG00000167088	SNRPD1
ENSG00000141448	GATA6
ENSG00000156502	SUPV3L1
ENSG00000181072	CHRM2
ENSG00000038274	MAT2B
ENSG00000135047	CTSL
ENSG00000157510	AFAP1L1
ENSG00000196338	NLGN3
ENSG00000259030	FPGT-TNNI3K
ENSG00000131238	PPT1
ENSG00000122085	MTERF4
ENSG00000164300	SERINC5
ENSG00000221968	FADS3
ENSG00000184708	EIF4ENIF1
ENSG00000172009	THOP1
ENSG00000170608	FOXA3
ENSG00000160179	ABCG1
ENSG00000196335	STK31
ENSG00000135241	PNPLA8
ENSG00000249853	HS3ST5
ENSG00000187189	TSPYL4
ENSG00000121578	B4GALT4
ENSG00000183172	SMDT1
ENSG00000197894	ADH5
ENSG00000099940	SNAP29
ENSG00000235703	LINC00894
ENSG00000204282	TNRC6C-AS1
ENSG00000170919	TPT1-AS1
ENSG00000109072	VTN
ENSG00000274618	HIST1H4F
ENSG00000178947	SMIM10L2A
ENSG00000133107	TRPC4
ENSG00000146147	MLIP
ENSG00000282057	RP4-621F18.2
ENSG00000198466	ZNF587
ENSG00000228412	RP4-625H18.2
ENSG00000266010	GATA6-AS1
ENSG00000172123	SLFN12
ENSG00000204442	FAM155A
ENSG00000109654	TRIM2
ENSG00000260837	RP11-434B12.1
ENSG00000089250	NOS1
ENSG00000239521	GATS
ENSG00000180917	CMTR2
ENSG00000037241	RPL26L1
ENSG00000123572	NRK
ENSG00000164093	PITX2
ENSG00000158457	TSPAN33
ENSG00000103740	ACSBG1
ENSG00000054793	ATP9A
ENSG00000127328	RAB3IP
ENSG00000165264	NDUFB6
ENSG00000101407	TTI1
ENSG00000111452	ADGRD1
ENSG00000151778	SERP2
ENSG00000104765	BNIP3L
ENSG00000184661	CDCA2
ENSG00000198932	GPRASP1
ENSG00000164736	SOX17
ENSG00000067248	DHX29
ENSG00000174013	FBXO45
ENSG00000163132	MSX1
ENSG00000144649	FAM198A
ENSG00000147202	DIAPH2
ENSG00000145431	PDGFC
ENSG00000164442	CITED2
ENSG00000137802	MAPKBP1
ENSG00000276043	UHRF1
ENSG00000147257	GPC3
ENSG00000181409	AATK
ENSG00000235688	AC116614.1
ENSG00000244342	LINC00698
ENSG00000167862	MRPL58
ENSG00000072062	PRKACA
ENSG00000175806	MSRA
ENSG00000164151	ICE1
ENSG00000166592	RRAD
ENSG00000166295	ANAPC16
ENSG00000109944	C11orf63
ENSG00000196116	TDRD7
ENSG00000105270	CLIP3
ENSG00000161057	PSMC2
ENSG00000088035	ALG6
ENSG00000181991	MRPS11
ENSG00000088899	RP5-1187M17.10
ENSG00000163701	IL17RE
ENSG00000017797	RALBP1
ENSG00000204347	BTBD17
ENSG00000168297	PXK
ENSG00000116005	PCYOX1
ENSG00000228109	MFI2-AS1
ENSG00000152689	RASGRP3
ENSG00000182263	FIGN
ENSG00000118777	ABCG2
ENSG00000204352	C9orf129
ENSG00000267325	LINC01415
ENSG00000173698	ADGRG2
ENSG00000196628	TCF4
ENSG00000153113	CAST
ENSG00000164494	PDSS2
ENSG00000188343	FAM92A1
ENSG00000232821	AC003986.6
ENSG00000127415	IDUA
ENSG00000134996	OSTF1
ENSG00000109586	GALNT7
ENSG00000164305	CASP3
ENSG00000175216	CKAP5
ENSG00000267102	RP11-686D22.7
ENSG00000171992	SYNPO
ENSG00000204060	FOXO6
ENSG00000077279	DCX
ENSG00000144619	CNTN4
ENSG00000102038	SMARCA1
ENSG00000085760	MTIF2
ENSG00000101811	CSTF2
ENSG00000177054	ZDHHC13
ENSG00000279744	RP13-20L14.10
ENSG00000198898	CAPZA2
ENSG00000275180	RP11-631N16.4
ENSG00000233834	AC005083.1
ENSG00000087086	FTL
ENSG00000157637	SLC38A10
ENSG00000132676	DAP3
ENSG00000119927	GPAM
ENSG00000119729	RHOQ
ENSG00000072571	HMMR
ENSG00000136802	LRRC8A
ENSG00000148730	EIF4EBP2
ENSG00000181915	ADO
ENSG00000275464	CH507-9B2.5
ENSG00000100505	TRIM9
ENSG00000151718	WWC2
ENSG00000160999	SH2B2
ENSG00000122863	CHST3
ENSG00000215845	TSTD1
ENSG00000166166	TRMT61A
ENSG00000135773	CAPN9
ENSG00000160917	CPSF4
ENSG00000163956	LRPAP1
ENSG00000152932	RAB3C
ENSG00000280780	JAKMIP2-AS1
ENSG00000136463	TACO1
ENSG00000243444	PALM2
ENSG00000172986	GXYLT2
ENSG00000156427	FGF18
ENSG00000145708	CRHBP
ENSG00000014257	ACPP
ENSG00000196535	MYO18A
ENSG00000117697	NSL1
ENSG00000135736	CCDC102A
ENSG00000070731	ST6GALNAC2
ENSG00000249239	RP11-428L21.2
ENSG00000172244	C5orf34
ENSG00000167614	TTYH1
ENSG00000119698	PPP4R4
ENSG00000100099	HPS4
ENSG00000163938	GNL3
ENSG00000109519	GRPEL1
ENSG00000254717	GLYATL1P2
ENSG00000160193	WDR4
ENSG00000277161	PIGW
ENSG00000075239	ACAT1
ENSG00000125249	RAP2A
ENSG00000163735	CXCL5
ENSG00000103647	CORO2B
ENSG00000092853	CLSPN
ENSG00000180139	ACTA2-AS1
ENSG00000059758	CDK17
ENSG00000173486	FKBP2
ENSG00000109819	PPARGC1A
ENSG00000169330	KIAA1024
ENSG00000186998	EMID1
ENSG00000110786	PTPN5
ENSG00000168234	TTC39C
ENSG00000128482	RNF112
ENSG00000235257	ITGA9-AS1
ENSG00000134504	KCTD1
ENSG00000178919	FOXE1
ENSG00000044459	CNTLN
ENSG00000166863	TAC3
ENSG00000104447	TRPS1
ENSG00000163848	ZNF148
ENSG00000182010	RTKN2
ENSG00000143126	CELSR2
ENSG00000147119	CHST7
ENSG00000095787	WAC
ENSG00000224877	C17orf89
ENSG00000132773	TOE1
ENSG00000275714	HIST1H3A
ENSG00000177984	LCN15
ENSG00000280142	RP13-16D10.1
ENSG00000187678	SPRY4
ENSG00000146966	DENND2A
ENSG00000061676	NCKAP1
ENSG00000132170	PPARG
ENSG00000151468	CCDC3
ENSG00000159618	ADGRG5
ENSG00000177548	RABEP2
ENSG00000185437	SH3BGR
ENSG00000015133	CCDC88C
ENSG00000150347	ARID5B
ENSG00000130204	TOMM40
ENSG00000050820	BCAR1
ENSG00000229589	ACVR2B-AS1
ENSG00000025156	HSF2
ENSG00000165629	ATP5C1
ENSG00000176438	SYNE3
ENSG00000196388	INCA1
ENSG00000150551	LYPD1
ENSG00000149577	SIDT2
ENSG00000131459	GFPT2
ENSG00000177479	ARIH2
ENSG00000164402	Sep-08
ENSG00000135953	MFSD9
ENSG00000256043	CTSO
ENSG00000085662	AKR1B1
ENSG00000127249	ATP13A4
ENSG00000170677	SOCS6
ENSG00000118816	CCNI
ENSG00000270704	RP11-701H24.5
ENSG00000227057	WDR46
ENSG00000031691	CENPQ
ENSG00000163811	WDR43
ENSG00000178035	IMPDH2
ENSG00000269404	SPIB
ENSG00000105289	TJP3
ENSG00000125843	AP5S1
ENSG00000184939	ZFP90
ENSG00000150459	SAP18
ENSG00000106772	PRUNE2
ENSG00000197329	PELI1
ENSG00000126351	THRA
ENSG00000137563	GGH
ENSG00000171793	CTPS1
ENSG00000184863	RBM33
ENSG00000231721	LINC-PINT
ENSG00000158578	ALAS2
ENSG00000023909	GCLM
ENSG00000165156	ZHX1
ENSG00000244486	SCARF2
ENSG00000140937	CDH11
ENSG00000160072	ATAD3B
ENSG00000186812	ZNF397
ENSG00000196169	KIF19
ENSG00000164344	KLKB1
ENSG00000138035	PNPT1
ENSG00000122733	PHF24
ENSG00000170448	NFXL1
ENSG00000206538	VGLL3
ENSG00000260793	RP5-882C2.2
ENSG00000119650	IFT43
ENSG00000145868	FBXO38
ENSG00000100029	PES1
ENSG00000206621	SNORD116-14
ENSG00000092758	COL9A3
ENSG00000132122	SPATA6
ENSG00000147246	HTR2C
ENSG00000197008	ZNF138
ENSG00000108309	RUNDC3A
ENSG00000242265	PEG10
ENSG00000243836	WDR86-AS1
ENSG00000090971	NAT14
ENSG00000108395	TRIM37
ENSG00000092847	AGO1
ENSG00000137462	TLR2
ENSG00000081985	IL12RB2
ENSG00000187147	RNF220
ENSG00000159147	DONSON
ENSG00000075131	TIPIN
ENSG00000005882	PDK2
ENSG00000163808	KIF15
ENSG00000160214	RRP1
ENSG00000135409	AMHR2
ENSG00000198189	HSD17B11
ENSG00000220515	PGAM1P10
ENSG00000175662	TOM1L2
ENSG00000148225	WDR31
ENSG00000205683	DPF3
ENSG00000131153	GINS2
ENSG00000151651	ADAM8
ENSG00000212402	SNORA74B
ENSG00000163485	ADORA1
ENSG00000117791	Mar-02
ENSG00000165490	DDIAS
ENSG00000100522	GNPNAT1
ENSG00000099901	RANBP1
ENSG00000244694	PTCHD4
ENSG00000134198	TSPAN2
ENSG00000085276	MECOM
ENSG00000151617	EDNRA
ENSG00000169258	GPRIN1
ENSG00000105677	TMEM147
ENSG00000148702	HABP2
ENSG00000049192	ADAMTS6
ENSG00000140416	TPM1
ENSG00000165806	CASP7
ENSG00000100243	CYB5R3
ENSG00000280254	RP11-81A22.4
ENSG00000253485	PCDHGA5
ENSG00000185774	KCNIP4
ENSG00000085465	OVGP1
ENSG00000237854	LINC00674
ENSG00000101444	AHCY
ENSG00000276141	WHAMMP3
ENSG00000119919	NKX2-3
ENSG00000131778	CHD1L
ENSG00000106948	AKNA
ENSG00000100124	ANKRD54
ENSG00000068878	PSME4
ENSG00000109610	SOD3
ENSG00000184908	CLCNKB
ENSG00000260725	AC005307.1
ENSG00000115138	POMC
ENSG00000065665	SEC61A2
ENSG00000065150	IPO5
ENSG00000138107	ACTR1A
ENSG00000243566	UPK3B
ENSG00000196950	SLC39A10
ENSG00000185669	SNAI3
ENSG00000087365	SF3B2
ENSG00000154553	PDLIM3
ENSG00000102007	PLP2
ENSG00000162441	LZIC
ENSG00000122591	FAM126A
ENSG00000148204	CRB2
ENSG00000135486	HNRNPA1
ENSG00000132297	HHLA1
ENSG00000182836	PLCXD3
ENSG00000184967	NOC4L
ENSG00000108010	GLRX3
ENSG00000154380	ENAH
ENSG00000254453	NAV2-AS2
ENSG00000261485	PAN3-AS1
ENSG00000231711	LINC00899
ENSG00000139131	YARS2
ENSG00000164591	MYOZ3
ENSG00000073282	TP63
ENSG00000172590	MRPL52
ENSG00000250479	CHCHD10
ENSG00000129235	TXNDC17
ENSG00000125347	IRF1
ENSG00000172465	TCEAL1
ENSG00000279117	CTD-2562J17.6
ENSG00000196605	ZNF846
ENSG00000260804	PKI55
ENSG00000138160	KIF11
ENSG00000256269	HMBS
ENSG00000215386	MIR99AHG
ENSG00000141738	GRB7
ENSG00000183283	DAZAP2
ENSG00000084674	APOB
ENSG00000153094	BCL2L11
ENSG00000101182	PSMA7
ENSG00000196290	NIF3L1
ENSG00000183648	NDUFB1
ENSG00000138315	OIT3
ENSG00000196569	LAMA2
ENSG00000164647	STEAP1
ENSG00000101347	SAMHD1
ENSG00000242028	HYPK
ENSG00000111653	ING4
ENSG00000153786	ZDHHC7
ENSG00000197249	SERPINA1
ENSG00000163734	CXCL3
ENSG00000138621	PPCDC
ENSG00000198258	UBL5
ENSG00000141499	WRAP53
ENSG00000136883	KIF12
ENSG00000258344	RP11-968A15.8
ENSG00000149090	PAMR1
ENSG00000177106	EPS8L2
ENSG00000163964	PIGX
ENSG00000174485	DENND4A
ENSG00000166167	BTRC
ENSG00000163075	CFAP221
ENSG00000214189	ZNF788
ENSG00000124194	GDAP1L1
ENSG00000225087	RP4-660H19.1
ENSG00000206262	FOXL2NB
ENSG00000112297	AIM1
ENSG00000130635	COL5A1
ENSG00000165650	PDZD8
ENSG00000164074	ABHD18
ENSG00000152620	NADK2
ENSG00000197408	CYP2B6
ENSG00000099260	PALMD
ENSG00000151025	GPR158
ENSG00000269893	SNHG8
ENSG00000174579	MSL2
ENSG00000277462	ZNF670
ENSG00000112406	HECA
ENSG00000166971	AKTIP
ENSG00000100401	RANGAP1
ENSG00000108106	UBE2S
ENSG00000116141	MARK1
ENSG00000151224	MAT1A
ENSG00000213593	TMX2
ENSG00000134057	CCNB1
ENSG00000064726	BTBD1
ENSG00000185052	SLC24A3
ENSG00000147421	HMBOX1
ENSG00000090539	CHRD
ENSG00000154153	FAM134B
ENSG00000110721	CHKA
ENSG00000224531	SMIM13
ENSG00000164483	SAMD3
ENSG00000170876	TMEM43
ENSG00000130294	KIF1A
ENSG00000184719	RNLS
ENSG00000157368	IL34
ENSG00000173546	CSPG4
ENSG00000172824	CES4A
ENSG00000198795	ZNF521
ENSG00000278771	Metazoa_SRP
ENSG00000105329	TGFB1
ENSG00000105810	CDK6
ENSG00000182481	KPNA2
ENSG00000143786	CNIH3
ENSG00000070778	PTPN21
ENSG00000006634	DBF4
ENSG00000117906	RCN2
ENSG00000137807	KIF23
ENSG00000135521	LTV1
ENSG00000249992	TMEM158
ENSG00000150051	MKX
ENSG00000141736	ERBB2
ENSG00000156860	FBRS
ENSG00000172731	LRRC20
ENSG00000173531	MST1
ENSG00000272841	RP3-428L16.2
ENSG00000185338	SOCS1
ENSG00000177191	B3GNT8
ENSG00000162738	VANGL2
ENSG00000151338	MIPOL1
ENSG00000172943	PHF8
ENSG00000213047	DENND1B
ENSG00000141376	BCAS3
ENSG00000162434	JAK1
ENSG00000181800	CELF2-AS1
ENSG00000080561	MID2
ENSG00000184787	UBE2G2
ENSG00000101856	PGRMC1
ENSG00000105971	CAV2
ENSG00000198720	ANKRD13B
ENSG00000163072	NOSTRIN
ENSG00000148450	MSRB2
ENSG00000010626	LRRC23
ENSG00000262877	RP11-1055B8.4
ENSG00000261490	RP11-448G15.3
ENSG00000249859	PVT1
ENSG00000131653	TRAF7
ENSG00000198843	SELT
ENSG00000105866	SP4
ENSG00000241837	ATP5O
ENSG00000070610	GBA2
ENSG00000053770	AP5M1
ENSG00000165948	IFI27L1
ENSG00000115020	PIKFYVE
ENSG00000175105	ZNF654
ENSG00000178127	NDUFV2
ENSG00000136490	LIMD2
