gene	zscore	p_value_neg
IPP	0.278783626	0.362997846
DXO	0.278770277	0.18840777
FAM180A	0.278747783	0.63171881
TLR7	0.278518733	0.371732865
APOL1	0.278478879	0.190995206
CYP4F12	0.278419956	0.172072888
KRTAP19-4	0.278408241	0.461720164
TBC1D3L	0.278190266	0.62505057
PLAC1	0.278139179	0.356752546
NOTUM	0.278134602	0.636536746
ABCB5	0.278120416	0.440710208
YWHAH	0.278099747	0.645978576
RUNDC3B	0.27806166	0.105134025
PACSIN1	0.277934933	0.668287523
CABIN1	0.277927969	0.503904536
WDR11	0.27791648	0.256396445
TVP23A	0.277905632	0.41261151
SHE	0.277896672	0.516822222
NRGN	0.277860458	0.111565108
KIAA2013	0.277777999	0.712496447
ZNF474	0.277746638	0.26617967
PLEKHG5	0.277744385	0.526183645
PATE1	0.277618801	0.522274069
FMN1	0.277571579	0.219087229
PPP1R12A	0.277501896	0.684635211
ITPR1	0.277469251	0.454436223
HAUS3	0.277352061	0.606985526
CETP	0.277217962	0.252895769
PDIA2	0.277209398	0.161677334
BCKDHA	0.277165671	0.342104103
SYNRG	0.277141889	0.382838709
LRRC18	0.277117392	0.631967145
ARMC8	0.277100212	0.473262131
FAM196A	0.277096178	0.08358553
C19orf67	0.277059162	0.680579192
ZNF256	0.276978714	0.132942783
NECAP1	0.276916373	0.189451078
RPL13A	0.276914426	0.588879567
DDIT4	0.276878374	0.371783936
NPPA	0.276736099	0.472383473
MMP8	0.276654312	0.642388079
SLC22A16	0.276637605	0.239556787
KCNH8	0.276596682	0.168993821
TACC1	0.27652125	0.479601091
PCDHB1	0.276470114	0.367813066
ADIPOR1	0.276466952	0.483167319
CLYBL	0.276419838	0.484318868
MAGI2	0.276417977	0.503271046
ACAP2	0.276382133	0.305696844
DAB2	0.276347353	0.425245099
NOMO3	0.27631945	0.328836348
C6orf165	0.276305595	0.496489615
WDR64	0.276268907	0.297837045
CRB3	0.276260505	0.467070646
RGAG1	0.276036487	0.615815808
DMRTB1	0.275988322	0.698585151
KLHL36	0.275907915	0.518426532
RNF125	0.275882905	0.415890954
IL1A	0.275841	0.129327712
RTKN2	0.275828726	0.590909857
ULBP1	0.275828315	0.746252043
CIAPIN1	0.275770733	0.569925177
LPPR3	0.275722955	0.582333824
AHR	0.275720144	0.116207258
POU3F4	0.275714998	0.405840436
KRAS	0.275675328	0.495824828
IL31	0.275583522	0.394904396
SRGAP2B	0.275575603	0.453513698
PCGF6	0.275526014	0.426502966
TARP	0.275511995	0.342407192
CYSTM1	0.275499261	0.731145563
NRTN	0.275441238	0.473472562
CYP11A1	0.275434166	0.241435875
UBP1	0.275262137	0.384747885
CXCL1	0.275228794	0.259847016
FAM9A	0.275184648	0.481682704
TMEM117	0.275178294	0.213785505
TERF2IP	0.275049499	0.169961135
EIF3E	0.274987572	0.21666128
PCDHGC5	0.274897862	0.598569489
QTRT1	0.274840861	0.261208036
HEATR3	0.274827887	0.177727567
WNT2B	0.274798136	0.655909716
EIF4A3	0.274785646	0.735973765
DMRT3	0.274694352	0.481969101
LRP12	0.27464222	0.351687354
SRGAP2	0.274353188	0.253790724
CCSER1	0.274320068	0.776283181
LYG2	0.274311197	0.526880977
FAM71E2	0.274193871	0.550760291
KRT5	0.274185127	0.193181264
ZMAT2	0.274185106	0.328809533
AACS	0.274170115	0.142968602
CHGB	0.274156102	0.676774457
TRA2A	0.274135022	0.551093503
OSTM1	0.274121349	0.502365331
GNG10	0.273876259	0.684822935
C1QTNF6	0.273782352	0.564070567
OBP2A	0.273780961	0.550019933
CHDH	0.27377319	0.429144907
OR10A6	0.273605466	0.378784917
C3orf67	0.273442282	0.688740244
AIFM3	0.273432913	0.31374819
PPP1R14D	0.273410181	0.416818837
ZBTB39	0.273309716	0.532751486
TNFRSF1A	0.273207586	0.477595361
MIEF1	0.273207402	0.413691103
TMEM26	0.273162753	0.196698857
IMPA1	0.273051356	0.261587748
RAI14	0.272947714	0.225830249
KRTAP9-7	0.27285685	0.525901378
FOXD4	0.272833559	0.45825667
IL21	0.272720685	0.437020642
SETD9	0.272533201	0.421870156
FSBP	0.272526993	0.461661386
NAE1	0.272509738	0.431904286
SNAPC3	0.272489013	0.485305707
KIAA0141	0.272442765	0.541115928
MNDA	0.272438316	0.160875073
MRGPRX2	0.272345965	0.576519439
TMPRSS7	0.272294308	0.265740841
ACSM1	0.272275089	0.47036194
NFIL3	0.272264531	0.158352348
ALOX15B	0.272191435	0.577553086
PIGU	0.272093425	0.431714464
PRND	0.271923985	0.429242338
TRAF3IP2	0.271723227	0.489254568
RECQL4	0.271690552	0.101692202
DOPEY2	0.271658912	0.149073476
DTD2	0.271638554	0.615073924
GIPC3	0.27163097	0.192882815
FAHD1	0.271609101	0.467804943
TMEM170A	0.271544291	0.377133042
F8A3	0.271532545	0.18802694
PIPOX	0.271460578	0.20243612
POLE4	0.271239544	0.479894983
MMP23B	0.271226518	0.418593071
DDI1	0.271204209	0.384123642
USHBP1	0.271130781	0.579506411
CCDC71L	0.270876875	0.709108348
COMMD7	0.270816824	0.633123363
S100A6	0.270796389	0.358415393
TMEM145	0.270793086	0.246438694
OR2H1	0.270723485	0.655101789
KRTAP17-1	0.27070932	0.50034662
ANKRD13B	0.270687485	0.702511911
PRIM2	0.270685505	0.416912996
VEZF1	0.270579745	0.515981294
M6PR	0.270303883	0.589450203
FAM129C	0.27023708	0.596493358
FAM117A	0.270229094	0.316973721
ADAMTS4	0.270178991	0.557214892
ALOX15	0.270128155	0.521600285
ACTN1	0.270070822	0.176620695
MTMR1	0.26998601	0.509835255
ZNF589	0.269941205	0.522012899
GLI1	0.269906531	0.503505973
OR6C65	0.269827137	0.239851406
SLC26A10	0.269728431	0.788236025
ST6GALNAC4	0.269670725	0.628907694
CYB5R2	0.269659801	0.528874329
TDRD7	0.269627208	0.531304592
OR2J3	0.269603851	0.236489558
TAS2R14	0.269557718	0.535272594
ATF7	0.26955471	0.185232887
PNPLA8	0.269548915	0.482145354
LY6H	0.269526487	0.438868562
IFI30	0.269516713	0.570715738
ATP7B	0.269496889	0.406779012
GMPR2	0.269484645	0.531604497
ICAM3	0.269478622	0.476829917
KDM4D	0.269461991	0.383194352
C1QTNF9B-AS1	0.269432659	0.342152594
RBBP6	0.269402736	0.559706938
ZNF709	0.269313663	0.21343927
NHSL1	0.269294123	0.692289941
PRR5	0.26920272	0.568779184
SCPEP1	0.269101585	0.400351136
MIB2	0.269079493	0.632286166
ITM2A	0.268992179	0.409138735
PLA2G1B	0.268983839	0.526192801
NOC3L	0.268959104	0.380591572
KCNAB3	0.268867052	0.318419914
MMP21	0.268845821	0.32584955
RPL23A	0.2688331	0.336855027
ELAVL4	0.268790981	0.414400483
GJB5	0.268774271	0.543368485
ZAR1L	0.268585004	0.847825603
TMEM50B	0.268475332	0.726873559
SMAP1	0.26845608	0.361037288
FCGR2A	0.26844126	0.132953892
SIM1	0.268429279	0.437895271
COL18A1	0.268360594	0.463680512
IER5	0.268213129	0.571215111
SNUPN	0.268138236	0.253965942
C1QL2	0.268106595	0.377189145
WDR33	0.268090131	0.580967325
CIR1	0.26802305	0.619657296
ARSJ	0.267940608	0.705809418
UCP1	0.267900405	0.466849388
FBXL16	0.267874967	0.268367553
CD40	0.267721635	0.467566225
MYO5B	0.267642095	0.563684242
QSOX2	0.267616684	0.325358185
FAM149A	0.267614736	0.358887175
H2BFWT	0.267584245	0.385441514
NCAPD3	0.26758308	0.37620653
HOPX	0.267551651	0.501841675
DALRD3	0.267547203	0.327444124
ITGAX	0.267515377	0.142965006
KIAA0825	0.267473719	0.280145283
C15orf52	0.267465599	0.685266483
CDH17	0.267458273	0.296097636
PLA2R1	0.26742996	0.572122798
TMED1	0.267420415	0.404313194
TUBA4A	0.267418419	0.566645236
PCYT1A	0.267251857	0.540972454
PIGS	0.26725109	0.250492012
TCP10L	0.266966202	0.564812924
CYFIP1	0.266888467	0.431754421
PFDN5	0.266820968	0.722608471
C1D	0.266738717	0.383585332
RHOJ	0.266707126	0.467595747
LGALS16	0.266613909	0.516554893
KIAA1024L	0.266610149	0.549412122
CPSF6	0.266518947	0.816085173
CCL3	0.266381871	0.505304822
AKIP1	0.266340667	0.644359558
GPR55	0.266238838	0.279235581
AKT3	0.266233357	0.501194847
BAZ1B	0.266232279	0.59121565
FAM122B	0.266191574	0.11203374
LRFN4	0.26613321	0.501439236
MIA2	0.266063985	0.34692456
RALGPS1	0.265890603	0.365126951
DLL1	0.265850043	0.165291472
AVP	0.265784574	0.611665413
RAPH1	0.265651478	0.313293943
ACER1	0.265570989	0.159675124
CEACAM1	0.265502319	0.143836748
PCDHB3	0.265487401	0.712156913
TMEM216	0.265422026	0.413316907
KSR1	0.265415426	0.561486354
TUBB1	0.265406135	0.165130366
MKNK1	0.265382101	0.439099613
FYB	0.265264695	0.492923256
IQSEC1	0.265250653	0.32370836
HIST1H4G	0.265242478	0.31533601
ZEB1	0.265218924	0.540802049
AP2A1	0.265215486	0.486374835
OR52E6	0.265179764	0.455314794
LIG4	0.265138464	0.356013788
CARD11	0.265107971	0.465579373
FYTTD1	0.265089356	0.380674091
MMP17	0.265078242	0.38171709
SPAG7	0.264941947	0.418115551
EVI2A	0.264880454	0.334266531
LMBR1	0.264878981	0.389277825
ZNF84	0.264817582	0.388130601
NEFM	0.264788637	0.229101299
OR4M1	0.264722525	0.321971077
OR1E1	0.264694946	0.345166379
NOD1	0.264691679	0.641151642
JADE3	0.264689658	0.149636179
LY6K	0.264665536	0.512015355
ADSL	0.264584411	0.556383045
C8orf44	0.26449152	0.751133724
IFRD2	0.264430095	0.197082922
KLF3	0.264403695	0.472844548
NAALAD2	0.264325262	0.133217539
MEX3B	0.264298127	0.58086027
GNB4	0.264286388	0.418702928
APMAP	0.264173594	0.460224858
PRKRA	0.264021905	0.25448927
ATP10B	0.263994879	0.49299908
FAM136A	0.263928835	0.481157376
CNTNAP4	0.263917038	0.194915231
CCDC172	0.263842548	0.368880258
RHPN1	0.263833856	0.497413439
CETN1	0.263727262	0.416370944
OR51F1	0.263691211	0.607737511
GNA11	0.263636123	0.698442766
HMGXB3	0.263624507	0.470683032
TSPY8	0.263611533	0.605731941
CBLN1	0.263559241	0.839438947
KIAA0100	0.263521256	0.446772054
TENM1	0.263503941	0.288619066
GPR61	0.263461208	0.608269813
OSBPL8	0.263419441	0.704992535
GIMD1	0.263401191	0.641601532
TWIST1	0.263365958	0.354751862
CMTM7	0.263346586	0.459736398
CYP1A1	0.263245606	0.649244708
RBKS	0.263212213	0.446780225
DDA1	0.263205804	0.370569695
ZNF195	0.263203916	0.581017358
MPP4	0.263176373	0.594897272
ARHGDIA	0.263156423	0.452397274
CASC10	0.26315369	0.55797876
OSBPL1A	0.263126792	0.583728338
TRIML1	0.263018271	0.274907523
MED13	0.262978694	0.417708592
LDHAL6A	0.2629573	0.367834926
UQCRC1	0.262949901	0.396794566
AMBN	0.26294708	0.391998351
CDRT4	0.26293644	0.429359137
CACNA1H	0.262933846	0.484586658
OR51A4	0.26291226	0.558997223
LOC100505478	0.262896446	0.400604009
KRTAP27-1	0.262842095	0.554792976
MAP2K6	0.262832032	0.466969001
CCBL2	0.26275487	0.562057965
AQP6	0.262680258	0.455426183
KHSRP	0.262648441	0.586696259
PKLR	0.262606851	0.534063111
ADAMTSL5	0.262602543	0.548201368
GRAPL	0.2625678	0.341815956
F11R	0.26237208	0.519563647
MYH8	0.262319711	0.756545
TRIM50	0.262300734	0.247646989
PCSK5	0.262273599	0.149795369
SRSF10	0.261950281	0.370698689
TGFBR3	0.261921932	0.34147487
THYN1	0.261884827	0.383855022
SND1	0.261791804	0.540995834
INHBC	0.261740534	0.280446795
TM4SF4	0.261726611	0.443892066
CDK6	0.261615641	0.21108786
TBC1D3	0.261567551	0.274629801
PHC3	0.261564782	0.460420237
CDH3	0.26152292	0.463370597
DNAH9	0.261478707	0.409074925
SPRR1A	0.261439811	0.058022828
WDR91	0.261372896	0.508563829
DNAJB5	0.261254572	0.478195633
SCGB1D2	0.261114876	0.480718013
TMEM161A	0.261005998	0.366738116
TBC1D32	0.260994413	0.54375728
MRPL42	0.260825238	0.538337525
ESYT1	0.260646942	0.564023531
ATXN1L	0.260632717	0.575432682
TCEA3	0.260539467	0.192418202
SERPINF1	0.260518791	0.374428734
KRT13	0.260508712	0.430835239
SLC2A3	0.260438047	0.132478086
MOG	0.260380248	0.227176352
EXOSC2	0.260310223	0.870174734
EPS15	0.260300272	0.491651412
REEP5	0.260266237	0.723330545
FAM89B	0.260107407	0.262063263
ULK4	0.260096838	0.37876861
RECK	0.260029605	0.286524484
ID1	0.260011466	0.835680087
FAM168B	0.25997208	0.654508614
ITGA10	0.259936665	0.282250746
VAMP2	0.259892764	0.742059197
CD99	0.259876882	0.39342681
PEX11A	0.259852899	0.163225952
ITGAV	0.259821526	0.45791317
ANKRD20A1	0.259817013	0.548390696
C9orf139	0.259784222	0.127170242
CRYGA	0.259677352	0.526697493
NDUFA11	0.259585025	0.769367331
EIF4E	0.259453933	0.745510772
PTPRF	0.25944117	0.288853019
AQP2	0.259413225	0.448962783
C16orf47	0.259400261	0.163587265
TERT	0.259389963	0.50426767
CYP20A1	0.259237464	0.479893247
SOX11	0.259209485	0.142491076
ERCC6-PGBD3	0.259084271	0.356210106
DMRTC1	0.259037057	0.565389986
PFKFB3	0.258945696	0.667083834
POMGNT1	0.258909771	0.594621211
SATB1	0.258881713	0.411759497
RMI2	0.258861141	0.407956833
OR2L8	0.258785201	0.572040919
SEMA3G	0.2586946	0.773504741
RPL5	0.258650619	0.645866565
SLC2A4	0.258516424	0.466404257
CLDN9	0.25841932	0.555245584
SERINC4	0.258399878	0.436824183
OR5B12	0.258326728	0.525799892
CELF4	0.2583194	0.145126183
FAM169B	0.258267281	0.126768685
EGLN1	0.258246642	0.249481803
GOLGA8A	0.258192377	0.465619672
SPACA7	0.258160382	0.59737545
OXT	0.258131634	0.373977747
TMCC2	0.258127133	0.189183822
CLGN	0.257922426	0.460628362
PRPH	0.25791748	0.583169896
SCOC	0.257879429	0.632996844
NEU3	0.257870447	0.530827216
USH2A	0.25768268	0.272066407
C16orf52	0.257655724	0.529239537
CD84	0.257607037	0.514354228
NT5DC3	0.257534918	0.264315663
HNRNPAB	0.257474165	0.503937984
MICALL2	0.257469902	0.326875486
CHAMP1	0.257278773	0.32927506
TTLL3	0.257270738	0.606002249
RNASEK	0.257264711	0.432305268
NCKAP1	0.257130758	0.843894632
GPR50	0.25711724	0.078939093
EXT2	0.257097177	0.559768056
CCDC66	0.257073876	0.422885491
EVI2B	0.257040012	0.588798339
KIF6	0.256933492	0.529941297
CD320	0.25687098	0.378519964
RPS6KB1	0.256801997	0.355375444
ATP2A3	0.256788256	0.284808887
POC1B-GALNT4	0.256786139	0.440461204
FAM26F	0.256773224	0.654762763
NKX1-1	0.256755881	0.252960485
BMI1	0.256717562	0.459986611
CLCN3	0.256697715	0.287649808
MYBPC1	0.256671492	0.50681379
FAM209B	0.256642803	0.127919791
TMEM41B	0.256630157	0.909315934
PHKG2	0.256623573	0.170259821
OR1I1	0.256618938	0.346199146
CCR8	0.25660225	0.345642024
NRG4	0.256502556	0.322732034
ST8SIA1	0.25644167	0.445953554
SHOC2	0.256437113	0.533963542
HCCS	0.256289118	0.406797128
CT45A2	0.25625726	0.290812901
OR52A5	0.256021855	0.277875967
ATP6V0E1	0.255981187	0.683917354
LINC01272	0.255909229	0.403785605
CEACAM18	0.255907814	0.609893488
FSCN1	0.255866742	0.571396978
STK32A	0.255819786	0.590082355
PRTFDC1	0.255814726	0.189714771
P2RY4	0.255795252	0.286731144
FAM46B	0.255747421	0.264812615
PDZD3	0.255534611	0.491268521
ACP1	0.255516487	0.296750004
DLGAP3	0.255315128	0.312994946
ETAA1	0.255304731	0.642467926
PLP1	0.255299936	0.296005947
PVRL2	0.255167908	0.326263418
BCL7C	0.255138961	0.683039163
TMEM86B	0.255129499	0.300839015
ANKRD30A	0.255122706	0.142046799
H2AFY2	0.254917511	0.35054709
ZNF547	0.254838802	0.146348071
RGS4	0.254834866	0.475685389
GAL3ST1	0.254831011	0.385249498
FOXK1	0.254810622	0.387804317
STARD9	0.254795519	0.655397572
ADCY8	0.254783374	0.345053734
GPR171	0.254652838	0.615706202
CA8	0.254610738	0.501062425
HLA-DPA1	0.254526453	0.624051631
LRP10	0.254501312	0.468825548
C18orf42	0.254445844	0.231807741
ANKHD1	0.254381711	0.395926252
GNAI2	0.254331674	0.598669785
TP53AIP1	0.254266485	0.514544196
IFNA21	0.254232805	0.524060244
CRX	0.254022841	0.275209417
KTI12	0.253996181	0.800173137
GPR176	0.25397857	0.566004433
HAPLN3	0.253930563	0.604798299
NARR	0.253877362	0.598946729
FBXL17	0.253748548	0.52852392
CWC22	0.2535936	0.845649184
MYEOV2	0.253586036	0.693059377
PRKRIP1	0.253474783	0.393392673
HMG20A	0.253432184	0.490178976
CT47B1	0.253419262	0.353661597
XKR3	0.253391053	0.186741754
PDCD6IP	0.253254482	0.210956044
ZNF852	0.253198074	0.461292146
RCAN1	0.253157373	0.265157928
MED30	0.25311904	0.613349553
HEATR5A	0.253116239	0.435263826
PXT1	0.253091213	0.53286083
ARL4D	0.25305655	0.512502616
WBP11	0.253037104	0.311416695
ZNF551	0.253012814	0.07951167
SYN3	0.252996325	0.410297089
TMEM126A	0.252881427	0.228316115
LZTFL1	0.252865302	0.32472649
WRB	0.252848871	0.590697445
C12orf50	0.252772906	0.442566311
GUCA1C	0.252763493	0.547238956
ZNF462	0.252727118	0.36891788
GTF2H2	0.25269992	0.472936224
ZNRF4	0.252614003	0.647010636
ERN1	0.252603117	0.471297557
AVEN	0.252507325	0.648625014
FGF13	0.25246814	0.430084167
FGD6	0.252455194	0.319440226
NSRP1	0.252405993	0.629885892
DTWD1	0.252394975	0.538298477
CAPN12	0.252370553	0.257282661
C17orf75	0.252347825	0.436491602
KIF21A	0.252216346	0.5183472
NAA40	0.25221609	0.727633098
PRLH	0.25220908	0.269219421
PDE6C	0.252171813	0.271138932
STXBP3	0.252127851	0.266032213
SLU7	0.252088368	0.63451829
WDR7	0.252074296	0.141046526
WLS	0.252037537	0.472392687
FAM46C	0.252004096	0.495982065
SNX29	0.251987962	0.634510358
VHLL	0.251946398	0.24835803
KCNA3	0.251909911	0.234697733
GALNT13	0.251908761	0.608914138
C12orf74	0.251897066	0.400892287
PRIMPOL	0.251881554	0.275083744
ZNF836	0.251832064	0.292643956
C1orf198	0.251779546	0.464388128
CYP1B1	0.25175798	0.7137964
HSPA12A	0.251746991	0.505216187
PLA2G4F	0.251643431	0.132681968
TMEM98	0.251630834	0.306080802
PTCRA	0.251572522	0.469009902
NPHP1	0.251494751	0.528556076
PDLIM2	0.25143403	0.549197563
PCYT2	0.25141814	0.489211298
ORC2	0.251417393	0.177522251
PRR23D1	0.251330968	0.054359507
BRD7	0.251226774	0.461910777
CUL4B	0.251053798	0.391108012
VSIG4	0.251028275	0.404357893
FLYWCH1	0.251006967	0.725745246
CHRND	0.25096145	0.149798614
MINOS1-NBL1	0.250933894	0.352995885
ALPPL2	0.250863169	0.507413454
RPS6	0.250850824	0.544543536
NDST4	0.250812444	0.413322524
LIMD1	0.250755726	0.478178917
TTC7B	0.250608612	0.436091189
MPC1	0.250512162	0.396274861
EXTL3	0.250477715	0.442904183
CBLB	0.250339061	0.541809963
TMEM210	0.250301461	0.142290706
PARK7	0.250213919	0.091339522
TFAP2D	0.250205761	0.380887207
ZNF567	0.250198482	0.385703627
HMGCS2	0.25015848	0.798827914
CASP9	0.25004717	0.288794253
GRHL3	0.249980532	0.530906077
NPPC	0.249824985	0.777560423
CFI	0.24980644	0.735085984
PPP4R4	0.249776581	0.507547334
ZNF268	0.249766903	0.333592736
DZIP1	0.249706627	0.577427935
COTL1	0.24967009	0.503015981
PRPF4B	0.249605032	0.933022356
ENPP3	0.249593119	0.599559688
OR4A47	0.249574663	0.608570981
LRRC16A	0.24955252	0.358890991
NSUN3	0.249536166	0.783647666
GPM6B	0.249408132	0.475418582
ARHGAP17	0.249393976	0.529832562
LMX1B	0.249388095	0.366766504
TTC19	0.249320243	0.459970549
PPM1B	0.2492271	0.298098687
SHC3	0.249152175	0.38654921
IFNA7	0.249007778	0.42131143
TMEM88B	0.248939445	0.423755942
ATP2B3	0.248867381	0.40990124
CDKL5	0.24885681	0.137143522
ACTR1B	0.248720542	0.926661592
DHX58	0.248715145	0.467868714
ZNF652	0.248688559	0.351265285
CYB561D1	0.24858623	0.412385353
APCDD1	0.248561522	0.597865377
SLC23A3	0.248518235	0.57493392
TMEM9B	0.248310562	0.375186667
TMCO2	0.248301552	0.231799616
TMCO5A	0.24829152	0.536029016
FBXO33	0.248199201	0.188933834
FMR1NB	0.248184975	0.206276731
GALNT8	0.248167074	0.390245137
PUSL1	0.248159558	0.158146732
PCYT1B	0.248118444	0.30099371
DLX4	0.248062916	0.561106869
CCL7	0.24802998	0.442650957
HIBADH	0.247973206	0.660994276
STK17A	0.247940243	0.511877062
BTBD19	0.247793508	0.610527516
REEP6	0.24767515	0.5046557
TRIT1	0.24762257	0.533262906
B3GALT6	0.247601334	0.627129246
SCN1A	0.247595245	0.234759359
NIN	0.24758941	0.462758925
PRDX3	0.247578341	0.446914882
SSX2B	0.247402543	0.511984377
MAGEB3	0.247335932	0.330378689
PRAMEF10	0.2473071	0.465456071
HRCT1	0.24729913	0.436524336
NRXN2	0.24727503	0.603361603
ZDHHC18	0.24718831	0.645017134
ALG13	0.247142983	0.815233931
BPIFB2	0.247140335	0.322833418
MMS22L	0.247032183	0.754328669
SMC1A	0.247014424	0.742910853
CTNNA2	0.246919745	0.302304526
USP37	0.246864002	0.756216121
FCHO1	0.246855857	0.381945682
C16orf72	0.246815934	0.196298079
PINK1	0.246768544	0.470853031
TCEANC2	0.2466925	0.541222214
ABI3BP	0.246682595	0.467552742
FRS3	0.246675618	0.641891074
PPP1R3A	0.246592088	0.429067578
TNIP1	0.246545325	0.556008893
GYS2	0.246544365	0.554974185
C9orf129	0.246530711	0.577353797
OR4N4	0.246445895	0.56184909
ANKMY2	0.24640432	0.555688347
PITX2	0.246366344	0.514046792
ZNF672	0.246289231	0.560645252
C17orf78	0.246281251	0.440307563
SMAD7	0.246251262	0.501427618
C7orf34	0.24622866	0.61364676
LOC100130705	0.246019495	0.694243448
VCPIP1	0.245971887	0.522409425
TRIM49C	0.245971331	0.572038605
F7	0.24592692	0.618947196
CSPG4	0.245902836	0.613626853
HSD11B1	0.245877025	0.184614024
LDLRAD3	0.245777687	0.374206207
PEAK1	0.245724704	0.374670881
GPATCH8	0.245616361	0.404219907
SNCA	0.245582339	0.602978203
PMEPA1	0.245581443	0.283887925
RDH16	0.245550643	0.37070765
GSTP1	0.245504509	0.095732848
PRSS1	0.245470752	0.471289826
PDZK1	0.245459779	0.672334696
CKB	0.245438537	0.42340588
FAM228A	0.245436694	0.511472269
ASPDH	0.245420961	0.464979405
C10orf131	0.245364397	0.342114837
DYDC2	0.245232897	0.537913805
ZFHX2	0.24520156	0.669523695
C9orf173	0.245100804	0.331794347
CT83	0.245091275	0.624086091
C16orf92	0.245053202	0.703424717
SIX5	0.244974625	0.567230803
TIGAR	0.244940405	0.276017229
NUSAP1	0.244938228	0.362848967
MATN1	0.244872705	0.477251317
FSD1	0.244804782	0.346069381
CACNA2D2	0.244797688	0.349338251
AGAP11	0.244761891	0.882441107
LOC101927844	0.244681099	0.591802177
NLRC3	0.244652302	0.141684356
OR8H3	0.244651716	0.337337247
HS3ST1	0.244587767	0.110058505
IQCF5	0.244574164	0.499046445
SCAMP4	0.244543037	0.295049334
TMEM177	0.244441696	0.577704206
F2RL1	0.244441574	0.196529023
SF1	0.24438034	0.582700892
CIB4	0.244356856	0.389009292
DMC1	0.244317821	0.498747131
PELI3	0.244290004	0.346880774
ZUFSP	0.24424856	0.370508983
C7orf43	0.244243584	0.427405444
FOXD1	0.244203112	0.674375592
KRTAP5-7	0.244200325	0.835049591
ABCG4	0.24418953	0.649660989
DHX30	0.244147866	0.492670224
ELK4	0.244069995	0.297572668
AHNAK	0.244020966	0.584849966
ELSPBP1	0.243978002	0.1516484
FAM160A1	0.243977653	0.111292506
CT62	0.24397647	0.444705092
LDLRAD2	0.243934009	0.567928002
ISM2	0.243923524	0.169753584
KIAA0556	0.243898744	0.543315698
UBE2Q2	0.243855521	0.554688288
OASL	0.243851303	0.340665034
KIAA1841	0.243817059	0.35062057
CSDE1	0.243806928	0.625547205
MTRNR2L10	0.243794165	0.461372088
CATSPER4	0.243724678	0.454480164
NPY	0.243662391	0.664427899
ELAVL2	0.243497977	0.398132046
NDRG4	0.243479517	0.321642601
SLC8A3	0.243446556	0.362993351
UBA7	0.243415988	0.432328262
PDGFD	0.24335507	0.378773471
POU2F1	0.243308652	0.406854005
MUC13	0.243272445	0.611399887
TNFSF12-TNFSF13	0.243171211	0.314026532
CADM2	0.243067173	0.516366192
ALG1L	0.243018249	0.432539599
PI3	0.243004289	0.492758156
POU2F2	0.242991042	0.383449617
TRPV3	0.242961697	0.451853724
THEM6	0.24291604	0.502548109
ASIC4	0.242903234	0.622443901
ZNF773	0.242851768	0.457363027
PRR22	0.242833873	0.578457682
ZNF99	0.242821203	0.673390904
FOXS1	0.242807636	0.69030128
BEST4	0.242666646	0.514184728
PMCH	0.242604028	0.452137267
PCCA	0.242570213	0.538648722
ACTN3	0.242517639	0.488001946
PAIP2	0.242382547	0.210295051
TPD52L1	0.24235917	0.419524357
OR5K3	0.242308336	0.43700971
GPRC5D	0.242304886	0.715375978
FOXD4L4	0.242265999	0.545787178
NUDT13	0.242216529	0.201139444
HAS1	0.242164869	0.481148184
NTRK3	0.242100299	0.516349707
EFNA5	0.242089949	0.529722087
C16orf87	0.241990216	0.429110023
TUBB4B	0.241967234	0.842404324
GOLGA6L10	0.241801707	0.716697976
PPP1R1A	0.241755712	0.656907722
FAM9C	0.241685722	0.080371292
COL9A3	0.241682504	0.530044255
NDUFAF5	0.241648522	0.637665823
RBM24	0.241645993	0.653172343
SPRYD7	0.241572696	0.523328714
SORBS2	0.241489297	0.566459109
FIBIN	0.241452014	0.251269331
PFN1	0.241444857	0.712394164
PFKP	0.241399474	0.547145194
FGF5	0.241259949	0.436470702
ITLN1	0.241221672	0.176093031
TLR4	0.241005243	0.541176273
C2orf49	0.240914796	0.557214603
TEKT1	0.240899752	0.272733202
NCAPH2	0.240890333	0.575017959
FGF4	0.240767128	0.473109754
LOXL2	0.24070428	0.525451563
OR2AK2	0.240703307	0.171071656
IWS1	0.240670942	0.633698202
TFDP3	0.240564452	0.565434167
BPI	0.240557088	0.236589447
PROM1	0.24050306	0.500825255
FILIP1	0.240500374	0.270105091
C9orf72	0.240480198	0.338298322
CKM	0.240376358	0.230633016
CNP	0.240293355	0.312815702
RPUSD1	0.240271048	0.634110504
TMEM129	0.24026853	0.31675366
DPYSL4	0.240217286	0.697438364
MGC57346-CRHR1	0.240108916	0.676283051
MAPK8	0.240090018	0.317608264
CCDC169-SOHLH2	0.240080061	0.477528155
CNBP	0.24005294	0.617506316
GPR25	0.240044924	0.404298917
ZHX3	0.239912289	0.504857045
KLHDC8B	0.23987121	0.421426886
SEC23IP	0.239787729	0.288145109
TTLL1	0.239753804	0.350556272
HAMP	0.239693737	0.486109022
CCDC67	0.239606642	0.493209393
CDPF1	0.239596811	0.513246101
HAL	0.239582872	0.557423357
OPRK1	0.239575752	0.619280916
HOXD1	0.239575487	0.685745693
PPCDC	0.239496241	0.508312818
SAMD10	0.239486691	0.256029645
FCAMR	0.239381028	0.358274865
BPHL	0.239334438	0.509626875
FGFR1OP	0.239279527	0.460319599
NFKB2	0.239276177	0.324125016
LTB	0.239202124	0.495126611
