Gene	WT_ExpRank	KO1_ExpRank	KO2_ExpRank	WT2_D14_2	KO1_D14_2	KO2_D14_2
ANKRD20A19P	24524	27606	24678	0.069868832	0.029795698	0.049602364
ANKRD20A2	27216	22445	24104	0	0.193314301	0.071515518
ANKRD20A3	32167	26042	28289	0	0.069276548	0
ANKRD20A4	25331	18963	20104	0.044875495	0.421019306	0.286728366
ANKRD20A5P	27293	28044	29348	0	0.013303948	0
ANKRD20A7P	23076	15849	15753	0.121971933	0.832242643	0.80819392
ANKRD20A8P	28560	30926	31245	0	0	0
ANKRD22	20541	29038	29916	0.245375822	0	0
ANKRD23	21904	24298	22169	0.172682601	0.122734712	0.163458012
ANKRD24	15134	25859	17743	0.965494517	0.074861271	0.498500971
ANKRD26	6930	9555	8805	7.783450486	4.373116889	4.917080145
ANKRD26P1	26191	27670	29128	0.016509291	0.028161675	0
ANKRD26P3	29510	27581	29077	0	0.030438927	0
ANKRD26P4	19633	28901	22504	0.308661042	0	0.146086288
ANKRD27	9027	5133	6644	4.809731924	12.11591469	7.914459193
ANKRD28	8274	8082	7109	5.750198076	6.219890091	7.165584099
ANKRD29	22199	17523	16030	0.1596784	0.567459669	0.755742434
ANKRD30A	26715	27997	29326	0	0.01673498	0
ANKRD30B	27169	20089	26307	0	0.326466451	0
ANKRD30BL	26830	30224	30700	0	0	0
ANKRD31	22993	22894	22324	0.124907174	0.173117438	0.155183065
ANKRD33	21414	29185	24162	0.195857207	0	0.069522992
ANKRD33B	2796	1219	2368	22.5085129	50.7739727	24.79893032
ANKRD33B-AS1	30117	31601	20398	0	0	0.26632654
ANKRD34A	12689	26086	21097	1.859363357	0.067965349	0.226290524
ANKRD34B	26010	13632	11470	0.024274985	1.428591722	2.516116344
ANKRD34C	29284	18977	21143	0	0.420149432	0.223821901
ANKRD35	21828	26776	23842	0.175847757	0.049993742	0.083227044
ANKRD36	6167	9170	7628	9.255221003	4.799633545	6.408372692
ANKRD36B	8816	13480	11334	5.07784239	1.485280471	2.588162475
ANKRD36BP2	24568	25231	24448	0.068456548	0.093418964	0.05831968
ANKRD36C	8969	10521	9976	4.879952712	3.393329255	3.707183965
ANKRD36P1	27345	30417	30843	0	0	0
ANKRD37	10896	12217	11914	3.030113268	2.095455605	2.209325121
ANKRD39	14822	15978	14957	1.043070042	0.805710291	0.978035318
ANKRD40	5935	5243	6184	9.802702437	11.80460048	8.715677832
ANKRD42	13339	10515	10828	1.55697403	3.398407454	2.971374034
ANKRD44	25327	24528	23547	0.04498934	0.115114743	0.095818589
ANKRD44-IT1	29428	31310	31567	0	0	0
ANKRD45	16116	18516	21663	0.74507346	0.462164375	0.192346946
ANKRD46	4039	4546	5754	15.46421893	13.87721197	9.608828826
ANKRD49	7649	6781	7247	6.622616459	8.329683665	6.963174351
ANKRD50	5585	4952	3696	10.62041222	12.61710321	15.88323124
ANKRD52	6298	3218	2537	8.960467235	20.27119768	23.31801167
ANKRD53	22764	22492	19663	0.134348332	0.190977014	0.317928836
ANKRD54	8826	9836	10676	5.061634285	4.042986543	3.080086183
ANKRD55	25698	13084	14533	0.035123115	1.647615165	1.097146425
ANKRD6	12187	8716	9236	2.139166493	5.357052299	4.45907432
ANKRD60	26514	30121	30625	0	0	0
ANKRD61	15259	14516	14892	0.933367361	1.127769528	0.99394594
ANKRD62	27183	30345	24765	0	0	0.046364178
ANKRD63	5566	12446	11964	10.67610434	1.966829127	2.182851504
ANKRD65	14230	22474	24318	1.214152148	0.19176945	0.063849609
ANKRD66	25947	27844	29235	0.026461446	0.022569069	0
ANKRD7	25718	27614	29096	0.034685949	0.029583779	0
ANKRD9	4820	7943	8285	12.66543274	6.409669244	5.500041182
ANKS1A	9012	678	999	4.839285826	85.67837552	55.11286956
ANKS1B	20511	14524	16889	0.247346296	1.125133897	0.604844158
ANKS3	6698	6952	6929	8.195077885	7.991897595	7.464573928
ANKS4B	26067	7728	8821	0.022422273	6.750787216	4.902857322
ANKS6	7959	5202	6685	6.198606045	11.91477036	7.862855523
ANKUB1	27631	25019	27838	0	0.099224222	0
ANKZF1	1977	2669	3443	31.14335762	24.19471044	17.1694958
ANLN	3298	2636	2372	19.04158564	24.53576373	24.76150023
ANO1	25629	13207	12232	0.037015897	1.594335548	2.023475271
ANO10	7183	4864	5345	7.31576915	12.83927489	10.58720712
ANO2	24902	23126	25155	0.057623211	0.163823528	0.027272509
ANO3	18713	20051	19078	0.386539852	0.329681324	0.365891152
ANO4	21044	19155	17238	0.216967802	0.403751284	0.56012053
ANO5	8250	13286	13471	5.772504569	1.56048521	1.449944114
ANO6	2990	1059	1237	20.95912769	57.85637187	43.95243195
ANO7	15880	20185	19333	0.79387927	0.319742932	0.344424104
ANO7P1	15760	22611	22331	0.816436015	0.185691044	0.15456451
ANO8	9774	10586	9978	4.028697599	3.3275835	3.703096853
ANO9	19191	9974	10491	0.342702324	3.913466834	3.243953956
ANOS1	7603	6857	9985	6.705115709	8.187463131	3.696640975
ANOS2P	13220	11485	9778	1.607983424	2.562455841	3.905352306
ANP32A	1919	3247	3534	31.85913459	20.09979809	16.718141
ANP32AP1	18081	20319	22849	0.454929521	0.310408909	0.129188247
ANP32B	2452	6258	3502	25.56905855	9.381909089	16.86468482
ANP32BP1	31084	32018	32150	0	0	0
ANP32C	22662	29412	30139	0.138546718	0	0
ANP32D	26649	30170	22531	0	0	0.144410637
ANP32E	2427	5208	4853	25.87769571	11.90435249	11.84375097
ANPEP	26028	2730	1460	0.023708529	23.73956629	37.87093488
ANTXR1	5077	10906	7849	11.90911888	3.039202071	6.105648416
ANTXR2	4750	9069	8448	12.9136512	4.931947892	5.309235065
ANTXRL	25378	27312	28930	0.043640666	0.037221292	0
ANTXRLP1	25021	26952	28742	0.053739333	0.045834483	0
ANXA1	5110	221	196	11.83526888	223.5973791	228.3392816
ANXA11	4582	2217	2019	13.41941796	29.16607052	28.58076371
ANXA13	26386	13002	15488	0	1.683868645	0.862528928
ANXA2	1217	113	122	48.73915427	494.7656999	403.3671411
ANXA2P1	23474	17782	19900	0.105445286	0.539608135	0.299437408
ANXA2P2	13623	4468	5117	1.43577364	14.20509149	11.14441971
ANXA2R	24497	12992	17704	0.070781487	1.690354463	0.502502906
ANXA3	2326	421	487	26.87096514	128.9056634	98.86391303
ANXA4	9225	1515	2391	4.588004503	40.84226939	24.63330301
ANXA5	664	165	189	84.71042582	296.1340033	233.983626
ANXA6	239	509	510	208.191538	111.7014201	94.96348128
ANXA7	3049	2012	1795	20.59379509	32.02080703	31.87657386
ANXA8	25986	15816	11423	0.02517081	0.837262945	2.537490547
ANXA8L1	20422	11778	9596	0.252727162	2.384543642	4.081804661
ANXA9	10563	1819	1529	3.33735493	34.75414886	36.380323
AOAH	23860	20269	22817	0.091929208	0.313627097	0.130527616
AOAH-IT1	28726	31006	31313	0	0	0
AOC1	25937	21752	17469	0.026722435	0.227916678	0.531193757
AOC2	15174	15606	14898	0.955883573	0.877990369	0.991822925
AOC3	19743	17680	13863	0.30046909	0.551968827	1.312699535
AOC4P	23719	12086	11840	0.096523394	2.181617089	2.261337671
AOX1	25650	13239	14352	0.036661112	1.579054377	1.145189108
AOX2P	25976	21539	24086	0.025519856	0.239425814	0.072469807
AOX3P	29846	27221	28881	0	0.039529383	0
AP000221.1	14526	28339	29522	1.121113669	0	0
AP000223.42	11413	17265	14881	2.631390897	0.598486241	0.996329504
AP000230.1	22550	27166	28855	0.143436602	0.04077921	0
AP000233.3	27982	15649	25590	0	0.86957757	0
AP000233.4	20364	21927	17344	0.257014201	0.219208399	0.547390518
AP000235.2	28328	24304	27552	0	0.122562928	0
AP000251.3	11438	14560	13278	2.61684337	1.115957881	1.520010011
AP000253.1	25376	29913	30475	0.043738515	0	0
AP000254.8	15238	20171	12045	0.939661746	0.320576445	2.134717549
AP000255.6	18269	24284	27542	0.433497286	0.123243833	0
AP000265.1	31309	32116	32232	0	0	0
AP000280.66	23185	22311	22113	0.117372911	0.200215614	0.166654393
AP000302.58	18195	21311	21397	0.44134339	0.250948982	0.208883561
AP000318.2	20576	29043	29919	0.243842223	0	0
AP000344.3	17364	17777	16664	0.542876935	0.540192127	0.642346016
AP000344.4	13606	13017	17242	1.444018549	1.679466773	0.5591782
AP000345.1	21587	23233	23707	0.186852278	0.159367026	0.088435377
AP000347.2	21597	23954	24394	0.186412755	0.134531823	0.061080477
AP000347.4	29129	31168	22361	0	0	0.153196683
AP000350.5	20052	20322	20762	0.276896776	0.3099683	0.245723565
AP000350.6	24969	23770	19703	0.055418687	0.141800433	0.314749548
AP000351.13	29282	20246	26338	0	0.315112074	0
AP000351.3	19976	28949	29861	0.282715621	0	0
AP000351.4	28018	30712	31072	0	0	0
AP000357.4	22017	29297	30062	0.167589157	0	0
AP000432.1	7821	7475	8692	6.39586159	7.121877255	5.045165792
AP000437.3	32412	20855	20404	0	0.279427597	0.265815357
AP000438.2	30760	24636	19015	0	0.111514192	0.37128633
AP000439.2	30668	31839	32010	0	0	0
AP000439.3	30681	11387	13772	0	2.642763139	1.338989789
AP000442.1	13845	14445	19668	1.342250769	1.144810837	0.317637158
AP000442.4	20386	24712	16186	0.255666813	0.109029604	0.72602779
AP000462.1	12032	11320	9465	2.233669219	2.698898831	4.228696213
AP000462.2	16996	11378	11921	0.597652508	2.650648622	2.206332614
AP000462.3	19791	13391	12081	0.297368565	1.521760747	2.111125015
AP000473.5	15071	28385	29547	0.981914992	0	0
AP000473.8	17660	28666	29698	0.508004631	0	0
AP000476.1	29497	31342	31594	0	0	0
AP000479.1	30651	27156	28852	0	0.040980092	0
AP000487.4	16110	22049	14656	0.746455785	0.212218335	1.059870926
AP000487.5	16801	18942	20176	0.628629883	0.423284875	0.281865267
AP000487.6	14635	18487	25987	1.089797645	0.464746299	0
AP000560.3	20445	19347	19162	0.251903123	0.386728454	0.357669941
AP000563.2	29469	31329	31583	0	0	0
AP000569.9	16588	28534	29632	0.66238974	0	0
AP000577.2	32537	15742	19687	0	0.853712985	0.315826228
AP000593.6	20084	28962	29868	0.274751801	0	0
AP000593.7	30683	20674	26437	0	0.288852734	0
AP000619.5	21400	29182	22634	0.196448921	0	0.139466063
AP000620.1	17111	23080	27106	0.58173095	0.165386854	0
AP000640.10	12848	14471	15076	1.779464342	1.13828398	0.947478684
AP000640.2	17071	24243	27530	0.586688056	0.125097124	0
AP000641.1	24838	26738	28627	0.05954633	0.050787294	0
AP000647.3	24023	20556	26402	0.086622459	0.295522513	0
AP000648.5	10152	11753	11909	3.6798205	2.400054677	2.212886301
AP000654.4	24159	20852	23097	0.081963772	0.279628866	0.116377984
AP000662.4	7262	11395	10569	7.212234768	2.636289745	3.169660938
AP000662.9	16971	22931	27058	0.602079563	0.171171991	0
AP000679.2	27099	20471	26383	0	0.300866501	0
AP000688.14	24356	21187	19604	0.075727398	0.258352756	0.322569412
AP000688.29	29033	23750	19953	0	0.142569987	0.296679094
AP000692.10	13341	15254	18003	1.555257915	0.947489607	0.473199776
AP000692.9	22093	23810	16333	0.164203517	0.140049811	0.699443439
AP000695.4	17730	23778	19228	0.498060711	0.141599298	0.353590981
AP000697.6	28028	30716	31076	0	0	0
AP000704.5	15193	19583	19802	0.949474143	0.36809552	0.306393365
AP000708.1	24926	27793	29202	0.057022443	0.02431733	0
AP000770.1	29539	31363	31612	0	0	0
AP000797.3	30744	31869	32033	0	0	0
AP000797.4	30767	31880	32043	0	0	0
AP000857.2	17391	20372	20581	0.539872081	0.306972648	0.255516238
AP000857.3	20737	29069	19482	0.233901413	0	0.332109835
AP000866.1	17040	17218	14842	0.591132662	0.605015182	1.007198553
AP000892.6	23374	21326	24620	0.10990072	0.249959324	0.052014949
AP000925.2	19255	26460	28495	0.336798651	0.057451373	0
AP000936.1	11343	11913	13004	2.688024507	2.292626427	1.635706311
AP000962.2	12911	24553	27652	1.744125942	0.114428594	0
AP000997.2	26252	26397	28468	0.011612917	0.059428209	0
AP000997.3	25385	29915	30477	0.043369004	0	0
AP000998.2	28369	30849	31181	0	0	0
AP001046.5	25710	27607	29093	0.034884438	0.029753071	0
AP001046.6	28183	27617	29098	0	0.029562753	0
AP001052.1	14975	7106	9407	1.005534941	7.718621521	4.283189721
AP001062.7	19003	14750	16700	0.358591505	1.070454251	0.6364421
AP001062.9	13338	28258	29473	1.560590228	0	0
AP001063.1	31143	32047	32175	0	0	0
AP001065.15	9832	19616	19831	3.965785607	0.365668517	0.304373189
AP001092.4	29484	31334	31587	0	0	0
AP001172.2	17673	23715	27352	0.50624683	0.143926622	0
AP001172.3	15673	28435	29578	0.840835252	0	0
AP001189.4	29350	16570	13438	0	0.701528496	1.459836272
AP001255.2	28773	31028	31331	0	0	0
AP001258.4	19140	13871	12677	0.346952029	1.331625234	1.785773334
AP001347.6	16280	13788	15873	0.717995221	1.366080429	0.784200459
AP001350.4	32487	17851	17668	0	0.532778694	0.506824523
AP001372.2	11198	12895	12939	2.780055856	1.736595163	1.667881987
AP001412.1	14616	19797	17066	1.094383049	0.350026315	0.582706035
AP001429.1	17287	12911	10018	0.553139258	1.729840194	3.66513651
AP001432.14	15231	23206	17448	0.941475765	0.160597659	0.534709656
AP001437.1	14692	19618	26208	1.071833948	0.365668517	0
AP001439.2	11244	14003	25446	2.751040466	1.279839808	0
AP001442.2	21820	15999	18552	0.176059367	0.800862455	0.416635984
AP001462.6	13961	19576	16824	1.297608283	0.368911696	0.614145459
AP001469.5	18225	13661	16084	0.438171111	1.420127729	0.746575747
AP001469.7	14107	16925	19179	1.256918676	0.64321846	0.356932477
AP001469.9	7899	10504	11267	6.274302817	3.405421711	2.632116101
AP001471.1	18235	21358	26600	0.43673234	0.248327127	0
AP001476.2	28045	25829	20627	0	0.075764652	0.25225829
AP001505.10	13365	11964	12478	1.544701866	2.258540837	1.87995205
AP001596.6	28954	20411	20611	0	0.304352149	0.253335002
AP001601.2	27961	30689	18842	0	0	0.38684302
AP001604.3	25608	24148	24583	0.037528622	0.128033224	0.053285803
AP001605.4	29357	31274	18323	0	0	0.437797053
AP001607.1	29092	31150	31438	0	0	0
AP001619.2	15509	16289	16775	0.878710714	0.749455743	0.623827932
AP001619.3	22036	16521	25696	0.166729725	0.711022115	0
AP001625.4	21009	29115	29963	0.218692577	0	0
AP001625.6	15630	16430	13469	0.851107236	0.725912631	1.450154984
AP001626.1	28157	17567	14820	0	0.563042893	1.015435653
AP001626.2	22704	15621	16458	0.136797881	0.875065787	0.679823708
AP001627.1	24964	26879	18763	0.05567174	0.047482641	0.39523345
AP001628.6	19153	15557	25580	0.345875494	0.884995612	0
AP001628.7	23000	11678	16288	0.12472748	2.446752574	0.708387729
AP001630.5	28007	16198	16696	0	0.764961724	0.636734717
AP002856.5	28842	26022	28278	0	0.069907216	0
AP002856.7	29507	31346	31597	0	0	0
AP002954.3	18378	21517	19894	0.422237616	0.24008539	0.299761474
AP002954.4	30650	31835	19531	0	0	0.328174884
AP002962.1	32470	25387	27991	0	0.08859381	0
AP003025.2	29513	31350	31601	0	0	0
AP003068.18	19874	20794	23062	0.290164991	0.282837527	0.117713388
AP003068.23	13406	14734	18881	1.529637562	1.074404267	0.383274357
AP003774.1	22507	29385	30120	0.145795051	0	0
AP003774.4	20466	22026	23045	0.250308527	0.213489104	0.118468606
AP003774.6	11955	28197	22607	2.282144916	0	0.140884843
AP003900.6	32244	25083	27865	0	0.097297763	0
AP004289.1	23971	29649	24354	0.088508974	0	0.062835663
AP004289.2	24609	24556	21703	0.066989622	0.114271411	0.190233243
AP004290.1	24552	22799	18789	0.069126073	0.17687368	0.392600428
AP004782.1	25907	24344	27568	0.02841984	0.121196951	0
AP005901.1	27834	26855	28688	0	0.048003224	0
AP006216.10	20735	29068	19481	0.233901413	0	0.332109835
AP006285.2	32311	24536	27645	0	0.114902745	0
AP006621.5	8802	10454	11032	5.089784423	3.455158586	2.802243045
AP006621.6	11733	12259	13406	2.421128456	2.064989761	1.473295755
AP006621.8	20508	24808	27756	0.247555556	0.105570543	0
AP006621.9	31773	23307	27191	0	0.156961486	0
AP1AR	5749	7683	9609	10.25284036	6.817403955	4.070412546
AP1B1	4919	2835	3907	12.35364701	22.88369726	15.05039004
AP1G1	5978	3215	3332	9.690858086	20.30011225	17.72137207
AP1G2	9167	6227	4944	4.657166784	9.443142365	11.56161101
AP1M1	8906	7957	7590	4.958890241	6.393507911	6.455946403
AP1M2	10126	859	1321	3.694579138	69.00954418	41.70431507
AP1S1	3324	2114	1606	18.90891391	30.5716304	34.71284829
AP1S2	4016	6616	9253	15.57097672	8.626148947	4.442418085
AP1S3	20992	9655	11133	0.219238762	4.259207153	2.732441128
AP2A1	2683	1991	2177	23.38172105	32.36379534	26.62720657
AP2A2	4247	3177	3627	14.6516656	20.50701435	16.24715849
AP2B1	1483	1751	1244	40.85828135	35.76260149	43.77465828
AP2M1	367	363	320	142.8766177	144.8420858	145.7636656
AP2S1	705	573	503	80.74445574	99.14140532	96.37176873
AP3B1	3999	3977	3142	15.62927877	16.20592978	18.8085703
AP3B2	17488	17485	17047	0.528340925	0.571523127	0.585503188
AP3D1	4209	1771	2499	14.83607089	35.39541645	23.71836822
AP3M1	4581	4157	4387	13.42062923	15.46310272	13.24110502
AP3M2	6502	10220	10313	8.563143603	3.662172937	3.394697473
AP3S1	2560	1687	1656	24.58399666	36.80387534	33.97171504
AP3S2	8704	11311	10820	5.205074934	2.705621789	2.97827529
AP4B1	10614	11385	11896	3.294724352	2.643147429	2.223247641
AP4B1-AS1	21980	26848	19627	0.169236939	0.048114278	0.320392831
AP4E1	8058	8875	7986	6.036407284	5.168824664	5.928501755
AP4M1	6279	6849	6418	8.999780602	8.198394131	8.296007402
AP4S1	8261	11736	10251	5.765727443	2.410593669	3.451209181
AP5B1	8895	5402	6917	4.969128273	11.39986238	7.48749184
AP5M1	6175	7992	8949	9.237387787	6.342480656	4.773550793
AP5S1	10141	7799	8505	3.68816035	6.631362111	5.236711943
AP5Z1	7796	5406	5829	6.425800609	11.39385821	9.411928223
APAF1	10906	5399	5824	3.018899582	11.4146888	9.422284278
APBA1	17734	11066	13335	0.497549655	2.919317978	1.498174628
APBA2	8119	11470	11579	5.959722066	2.574757601	2.433526854
APBA3	6943	6759	6735	7.772765642	8.367231238	7.768286709
APBB1	918	1999	1846	63.92096442	32.18190465	30.9166834
APBB1IP	26321	30063	30578	0	0	0
APBB2	12135	5398	4925	2.173657359	11.42570518	11.61106323
APBB3	7820	10053	8381	6.39586159	3.837567704	5.385421159
APC	2508	2692	2779	25.0851679	24.01937976	21.2790231
APC2	12808	10488	10218	1.80168897	3.422577488	3.488408085
APCDD1	7304	23808	24146	7.147666243	0.140144184	0.069991476
APCDD1L	25962	21429	22458	0.02605848	0.244479151	0.147998719
APCDD1L-AS1	19982	22725	26995	0.282000403	0.18038942	0
APEH	1137	842	1171	51.7268806	70.2351114	46.37979264
APELA	14058	3102	6900	1.271622587	21.01724251	7.514950441
APEX1	493	675	596	112.6827593	85.92326596	83.16526709
APEX2	7953	6506	8168	6.203334111	8.860885363	5.643919028
APH1A	991	763	639	58.87897582	76.25712188	79.16718807
APH1B	2846	5114	5727	22.16487148	12.16336306	9.677208642
API5	1338	1204	1398	44.45027819	51.22880551	39.35077887
API5P1	22896	23082	27107	0.129273544	0.165386854	0
APIP	10190	11410	11268	3.648266177	2.62385274	2.632034228
APITD1	17009	13375	16890	0.596295393	1.525747893	0.604758956
APITD1-CORT	30284	25877	28208	0	0.074376028	0
APLF	9553	14008	13579	4.245608022	1.278736656	1.412552201
APLN	18925	17276	21270	0.365534875	0.59755169	0.216255155
APLNR	8011	1995	3667	6.110199558	32.23355247	16.0661022
APLP1	5337	12353	9070	11.23195976	2.008663889	4.630045353
APLP2	278	78	106	182.1937023	677.865611	480.9691449
APMAP	1962	1141	1096	31.29327818	53.61720922	49.427779
APOA1	3434	5	6	18.35003147	4928.382354	4454.268767
APOA1-AS	21873	20539	26396	0.173862548	0.29657607	0
APOA2	16774	10	15	0.632671714	3100.858149	2072.10686
APOA4	15277	19	23	0.928922755	1924.509049	1634.933338
APOA5	20437	14235	11901	0.252163623	1.204399405	2.219846862
APOB	19876	118	88	0.290013727	477.314172	566.649579
APOBEC2	297	14968	11783	171.029406	1.014507165	2.292078588
APOBEC3A	24066	29661	30309	0.085408835	0	0
APOBEC3B	11803	14345	12174	2.373346599	1.175363089	2.065389497
APOBEC3B-AS1	22584	24340	27565	0.142182054	0.12126762	0
APOBEC3C	3302	5646	3386	19.02905195	10.76084216	17.47117248
APOBEC3D	12819	12268	12090	1.793639688	2.057320173	2.107644403
APOBEC3F	9513	11961	11523	4.291757244	2.259187835	2.475582555
APOBEC3G	10020	14778	13083	3.792442838	1.061349537	1.598606451
APOBEC3H	21749	29251	22881	0.179460698	0	0.127405521
APOBEC4	18887	21304	15870	0.368341727	0.251328059	0.784496607
APOBR	27256	20360	21215	0	0.307458877	0.219360825
APOC1	11882	174	180	2.324822929	274.7149109	247.271064
APOC1P1	27801	4282	3550	0	14.93529399	16.65855775
APOC3	20415	129	37	0.253672014	431.7420595	1190.580071
APOD	27364	24662	17303	0	0.110698054	0.552853497
APOE	203	7	8	269.1985739	3911.430688	3338.248342
APOF	21947	18288	17195	0.170817669	0.485636821	0.565924464
APOH	26346	10994	7547	0	2.968800769	6.519641353
APOL1	25867	30003	24858	0.029992893	0	0.04258604
APOL2	12832	10956	8524	1.788803953	2.997822973	5.213419149
APOL3	26552	27054	23024	0	0.043081091	0.119532022
APOL4	25974	22852	24987	0.025559981	0.174401651	0.036291877
APOL6	26263	17110	13810	0.009639938	0.61664549	1.327684394
APOLD1	16231	17932	17772	0.725492525	0.523579152	0.495243173
APOM	13395	2062	1427	1.534000879	31.23698142	38.66097983
APOO	5655	10136	11401	10.44324275	3.750350256	2.554115182
APOOL	2659	4617	5387	23.56698025	13.68121821	10.47039025
APOOP5	20564	29042	29918	0.244453357	0	0
APOPT1	9984	10757	10540	3.821256289	3.166705609	3.19384648
APP	793	602	396	72.91797298	94.84037829	119.8558364
APPBP2	4300	6136	4946	14.46130535	9.614397409	11.5573651
APPL1	5042	3842	4353	12.0139049	16.81825952	13.32813654
APPL2	9093	4110	4943	4.737286561	15.65947342	11.56202592
APRT	885	468	609	65.54230456	118.1610065	81.88834305
APTR	10455	11769	10721	3.42362494	2.391933621	3.051119589
APTX	4678	6034	5425	13.15206039	9.850719909	10.38888154
AQP1	3284	285	149	19.14275396	176.1235005	317.3185315
AQP10	7860	5802	7242	6.337277122	10.36313865	6.968465805
AQP11	11822	7813	8440	2.361076618	6.596837073	5.317638435
AQP2	26925	20032	26292	0	0.331621362	0
AQP3	10116	214	285	3.704602413	227.4510751	162.6860657
AQP4	20322	15207	14771	0.258718539	0.956202155	1.028571466
AQP4-AS1	31156	20348	21102	0	0.308246582	0.225787433
AQP5	15795	17986	14341	0.809434766	0.517777516	1.149292954
AQP6	20505	29034	25160	0.247555556	0	0.027038227
AQP7	15200	14427	11761	0.948171346	1.149203818	2.302849083
AQP8	21189	29142	23489	0.208115695	0	0.098499147
AQP9	23406	29544	23985	0.10861569	0	0.077110134
AQR	5680	5855	5799	10.39087473	10.23182834	9.491691506
AR	23640	20003	18899	0.099903842	0.334278992	0.381905376
ARAF	4204	3654	3555	14.85791038	17.78812723	16.64326788
ARAP1	5868	7577	7056	9.971103973	6.982554155	7.259803557
ARAP1-AS2	18830	23896	19834	0.37473009	0.136975172	0.30403908
ARAP2	18460	11306	10600	0.414019304	2.712984788	3.140000664
ARAP3	17597	15595	12666	0.515663992	0.8796236	1.789764415
ARC	16586	25506	23582	0.66238974	0.084743213	0.094050799
ARCN1	1752	677	667	34.63853612	85.73142963	76.90990824
AREG	19530	10469	12238	0.316164957	3.438143406	2.020110549
AREL1	4069	4062	4643	15.34540468	15.83347483	12.36452815
ARF1	441	420	420	121.3765878	128.919685	113.4947008
ARF1P2	27717	23368	27213	0	0.154915433	0
ARF3	2949	1831	2064	21.19991705	34.48740536	27.95544456
ARF4	1036	487	454	56.18188937	115.6929966	104.8061682
ARF4-AS1	31928	32359	20917	0	0	0.236330718
ARF5	651	599	602	86.24501601	95.09548107	82.18492292
ARF6	5959	1671	2170	9.746114224	37.29856732	26.67264094
ARFGAP1	4166	2032	1466	14.99684217	31.6343734	37.7610524
ARFGAP2	1309	2026	2023	45.36023058	31.79068417	28.55142339
ARFGAP3	3197	2323	1987	19.67905295	27.92870767	28.9799388
ARFGEF1	5509	3224	3465	10.8088938	20.24517282	17.06430179
ARFGEF2	4094	3917	4072	15.25086048	16.51898084	14.39426503
ARFGEF3	21651	16730	19915	0.183994671	0.672556121	0.298569941
ARFIP1	5021	5032	5771	12.08900662	12.37730913	9.552282785
ARFIP2	5049	2518	2624	11.98863433	25.74111729	22.58189583
ARFRP1	5483	6959	7096	10.85870584	7.97836201	7.184692424
ARG1	19479	12670	12122	0.320002917	1.855935679	2.090069175
ARG2	7492	6646	1993	6.84721412	8.576246135	28.89453383
ARGFX	27282	30392	30826	0	0	0
ARGFXP2	15290	21111	22499	0.926960933	0.26353618	0.14624055
ARGLU1	1109	1677	1476	52.73892439	37.063974	37.63563373
ARHGAP1	2756	3300	3060	22.84381213	19.80485904	19.33126601
ARHGAP10	6575	3821	3718	8.418746952	16.93174386	15.8055689
ARHGAP11A	7748	7689	6564	6.49043995	6.809815719	8.045354164
ARHGAP11B	16026	15361	15348	0.765308769	0.925519477	0.89201769
ARHGAP12	2806	4787	4893	22.44838953	13.0691059	11.74298536
ARHGAP15	26320	30062	24326	0	0	0.063712529
ARHGAP17	7070	4501	5463	7.554001651	14.0405222	10.28723558
ARHGAP18	14604	5984	7490	1.097105395	9.951079795	6.5904729
ARHGAP19	8793	10795	9614	5.100648424	3.136996185	4.064535248
ARHGAP19-SLIT1	31769	32296	25033	0	0	0.033993569
ARHGAP20	24147	24125	23079	0.082367535	0.128794576	0.116951275
ARHGAP21	5542	3470	3836	10.73888582	18.77848025	15.31590328
ARHGAP22	20570	12858	15200	0.244127038	1.762902989	0.924343741
ARHGAP22-IT1	18437	22773	27015	0.416824313	0.177755529	0
ARHGAP23	13482	10305	8586	1.493610695	3.587974623	5.155914198
ARHGAP23P1	25116	29869	30446	0.050747601	0	0
ARHGAP24	14730	12043	10948	1.061876425	2.209855496	2.874733857
ARHGAP25	14660	21277	22394	1.081622386	0.253240753	0.150565124
ARHGAP26	9547	6810	8598	4.254500139	8.28689135	5.141739416
ARHGAP26-AS1	28247	25479	28035	0	0.085585995	0
ARHGAP27	11439	8949	9698	2.615858201	5.069134794	3.987282773
ARHGAP28	4657	4303	2655	13.21169299	14.84211109	22.33706468
ARHGAP29	8737	970	717	5.172993534	62.11336118	72.38494922
ARHGAP30	16327	19758	16656	0.70892954	0.352711758	0.643098208
ARHGAP31	2785	8605	7518	22.61740053	5.49507573	6.561676624
ARHGAP31-AS1	13679	11343	12260	1.411305471	2.674906351	2.003871718
ARHGAP32	12580	8979	8625	1.915543117	5.034212963	5.114310448
ARHGAP33	13517	16276	13010	1.477831655	0.752767732	1.632034692
ARHGAP35	2602	2285	2520	23.98278264	28.31891959	23.43711272
ARHGAP36	24756	24012	24808	0.062303985	0.132848271	0.044231811
ARHGAP39	12629	11892	13613	1.885562894	2.307422894	1.39682926
ARHGAP4	10355	16326	15256	3.508026341	0.743113382	0.91154547
ARHGAP40	23855	16393	14255	0.092044878	0.732717348	1.176226683
ARHGAP42	1389	5885	6676	43.17230811	10.16383319	7.872317018
ARHGAP44	9280	8878	10436	4.531257753	5.164842727	3.291022888
ARHGAP45	7501	8010	7948	6.83344472	6.312658406	5.982842642
ARHGAP5	209	327	210	246.2062231	157.3806604	214.5100104
ARHGAP5-AS1	11476	15265	11856	2.587605616	0.945848044	2.249428278
