gene	Family	type
ZNF880	zf-C2H2	TF
ELF4	ETS	TF
ZHX2	Homeobox	TF
GSC	Homeobox	TF
ZNF71	zf-C2H2	TF
HBP1	HMG	TF
HOXB8	Homeobox	TF
ZNF302	zf-C2H2	TF
ZFP41	zf-C2H2	TF
TBX20	T-box	TF
NEUROG1	bHLH	TF
DUX4	Homeobox	TF
PKNOX2	Homeobox	TF
SMARCA1	MYB	TF
ZSCAN18	zf-C2H2	TF
ZNF334	zf-C2H2	TF
ZNF219	zf-C2H2	TF
THRA	THR-like	TF
ZIM2	zf-C2H2	TF
TCF24	bHLH	TF
ZNF181	zf-C2H2	TF
ALX4	Homeobox	TF
HDX	Homeobox	TF
ZNF530	zf-C2H2	TF
GMEB2	SAND	TF
SMAD9	MH1	TF
HOXC11	Homeobox	TF
ZNF502	zf-C2H2	TF
ZNF114	zf-C2H2	TF
TBX4	T-box	TF
E2F6	E2F	TF
FOXD4L4	Fork_head	TF
ZNF233	zf-C2H2	TF
ZNF230	zf-C2H2	TF
ZNF594	zf-C2H2	TF
TULP1	Tub	TF
HOXB9	Homeobox	TF
SSRP1	HMG	TF
DLX3	Homeobox	TF
ZBTB1	ZBTB	TF
AHR	bHLH	TF
ZNF660	zf-C2H2	TF
CSRNP2	CSRNP_N	TF
HIVEP3	zf-C2H2	TF
FOXJ3	Fork_head	TF
PRDM8	zf-C2H2	TF
RORC	THR-like	TF
CEBPG	TF_bZIP	TF
BACH1	TF_bZIP	TF
ZNF705B	zf-C2H2	TF
ZNF319	zf-C2H2	TF
FOXR1	Fork_head	TF
ZNF41	zf-C2H2	TF
YBX1	CSD	TF
SATB2	CUT	TF
ZSCAN1	zf-C2H2	TF
ZNF571	zf-C2H2	TF
NKX2-8	Homeobox	TF
ZNF3	zf-C2H2	TF
TEAD2	TEA	TF
NR5A1	SF-like	TF
ZNF485	zf-C2H2	TF
NR2F2	RXR-like	TF
ZNF491	zf-C2H2	TF
SP6	zf-C2H2	TF
ZNF439	zf-C2H2	TF
KLF14	zf-C2H2	TF
IKZF1	zf-C2H2	TF
UBP1	CP2	TF
DUXB	Homeobox	TF
FOXA3	Fork_head	TF
ZBTB26	ZBTB	TF
ZNF215	zf-C2H2	TF
ZNF284	zf-C2H2	TF
ZNF667	zf-C2H2	TF
ZKSCAN2	zf-C2H2	TF
THAP9	THAP	TF
TCF21	bHLH	TF
ZNF197	zf-C2H2	TF
ZNF549	zf-C2H2	TF
PROX1	HPD	TF
TCFL5	bHLH	TF
FOSL2	TF_bZIP	TF
E2F3	E2F	TF
BAZ2A	MBD	TF
HMGB3	HMG	TF
ZNF599	zf-C2H2	TF
ZNF492	zf-C2H2	TF
ZNF232	zf-C2H2	TF
MIER3	MYB	TF
GLI1	zf-C2H2	TF
ZBTB24	ZBTB	TF
ZNF532	zf-C2H2	TF
ZNF644	zf-C2H2	TF
HOXD3	Homeobox	TF
UBTF	HMG	TF
ZNF410	zf-C2H2	TF
SP140	SAND	TF
ZNF92	zf-C2H2	TF
HINFP	zf-C2H2	TF
LHX8	Homeobox	TF
AC025287.4	Homeobox	TF
ZNF20	zf-C2H2	TF
ZNF418	zf-C2H2	TF
ZBTB14	ZBTB	TF
MLXIP	bHLH	TF
CREB3L4	TF_bZIP	TF
SCX	bHLH	TF
NANOGP8	Homeobox	TF
ZNF548	zf-C2H2	TF
L3MBTL4	zf-C2HC	TF
ZNF655	zf-C2H2	TF
AC118549	MYB	TF
TBX10	T-box	TF
ZNF587	zf-C2H2	TF
AC012531.3	Homeobox	TF
ELF1	ETS	TF
AC073612.1	THAP	TF
LIN28A	CSD	TF
HMGXB4	HMG	TF
ZNF396	zf-C2H2	TF
NR2E1	RXR-like	TF
ZNF823	zf-C2H2	TF
STAT4	STAT	TF
ZNF626	zf-C2H2	TF
AC105001.2	HMG	TF
TEF	TF_bZIP	TF
PPARA	THR-like	TF
ZNF8	zf-C2H2	TF
ZNF501	zf-C2H2	TF
ZNF454	zf-C2H2	TF
PRDM2	zf-C2H2	TF
ETS1	ETS	TF
PRDM6	zf-C2H2	TF
ZBED3	zf-BED	TF
ZNF354C	zf-C2H2	TF
ESX1	Homeobox	TF
HOXB6	Homeobox	TF
NFKB1	RHD	TF
TULP3	Tub	TF
RARG	THR-like	TF
ZNF705G	zf-C2H2	TF
OLIG3	bHLH	TF
ZNF821	zf-C2H2	TF
HNF4A	RXR-like	TF
TCF7	HMG	TF
SMAD4	MH1	TF
DMRTC2	DM	TF
ZBED5	zf-BED	TF
NEUROG3	bHLH	TF
ESR2	ESR-like	TF
ZNF683	zf-C2H2	TF
ZEB1	zf-C2H2	TF
NPAS3	bHLH	TF
ZNF785	zf-C2H2	TF
HOXA4	Homeobox	TF
ZNF831	zf-C2H2	TF
HOXB5	Homeobox	TF
HMGXB3	HMG	TF
ZNF227	zf-C2H2	TF
ZNF446	zf-C2H2	TF
PAXBP1	GCFC	TF
HSFX2	HSF	TF
ARID4B	ARID	TF
ZNF157	zf-C2H2	TF
MXD4	bHLH	TF
LRRFIP1	LRRFIP	TF
ZFP30	zf-C2H2	TF
ELF3	ETS	TF
INSM2	zf-C2H2	TF
HMGA1	HMGA	TF
MITF	bHLH	TF
MXI1	bHLH	TF
NR4A1	NGFIB-like	TF
ZNF585B	zf-C2H2	TF
TBX21	T-box	TF
TFAP2C	AP-2	TF
HMG20A	HMG	TF
ZNF770	zf-C2H2	TF
KLF6	zf-C2H2	TF
GLI2	zf-C2H2	TF
SIX4	Homeobox	TF
ZNF813	zf-C2H2	TF
ZNF7	zf-C2H2	TF
FOXK2	Fork_head	TF
ZNF577	zf-C2H2	TF
RHOXF2B	Homeobox	TF
ZNF623	zf-C2H2	TF
USF3	bHLH	TF
SOX12	HMG	TF
HSF4	HSF	TF
ZNF705E	zf-C2H2	TF
GCM2	GCM	TF
E2F4	E2F	TF
FOXP1	Fork_head	TF
FOXF1	Fork_head	TF
DMRT1	DM	TF
ZNF518B	zf-C2H2	TF
ZNF436	zf-C2H2	TF
NHLH1	bHLH	TF
ZBTB33	ZBTB	TF
SP8	zf-C2H2	TF
NR1D2	THR-like	TF
FLI1	ETS	TF
REPIN1	zf-C2H2	TF
SNAI2	zf-C2H2	TF
TFAP2A	AP-2	TF
ETS2	ETS	TF
ZNF735	zf-C2H2	TF
HOXC5	Homeobox	TF
SOX9	HMG	TF
NR2C1	RXR-like	TF
NFYA	NF-YA	TF
NKX3-2	Homeobox	TF
TTF1	MYB	TF
NR4A3	NGFIB-like	TF
ZNF768	zf-C2H2	TF
SETDB2	MBD	TF
FOXI1	Fork_head	TF
ZNF574	zf-C2H2	TF
FOXL1	Fork_head	TF
ZNF527	zf-C2H2	TF
CIC	HMG	TF
HES6	bHLH	TF
NKX2-6	Homeobox	TF
NR1D1	THR-like	TF
ZNF121	zf-C2H2	TF
ZBTB7C	ZBTB	TF
ZNF619	zf-C2H2	TF
SOX2	HMG	TF
ZNF131	ZBTB	TF
E2F1	E2F	TF
ZNF678	zf-C2H2	TF
ZSCAN25	zf-C2H2	TF
THAP8	THAP	TF
ZNF596	zf-C2H2	TF
ZNF622	zf-C2H2	TF
ZBTB2	ZBTB	TF
ZSCAN26	zf-C2H2	TF
MYF6	bHLH	TF
ZNF236	zf-C2H2	TF
ZNF589	zf-C2H2	TF
TWIST2	bHLH	TF
PATZ1	ZBTB	TF
LBX1	Homeobox	TF
ZBTB40	ZBTB	TF
ZSCAN16	zf-C2H2	TF
ZNF202	zf-C2H2	TF
ZNF782	zf-C2H2	TF
HSFX3	HSF	TF
ZNF721	zf-C2H2	TF
ZNF676	zf-C2H2	TF
ZXDC	zf-C2H2	TF
ZNF576	zf-C2H2	TF
POU3F1	Pou	TF
IRF6	IRF	TF
OSR1	zf-C2H2	TF
PRDM14	zf-C2H2	TF
ZNF586	zf-C2H2	TF
TBX19	T-box	TF
FOXN2	Fork_head	TF
EVX2	Homeobox	TF
ZBED1	zf-BED	TF
IRX6	Homeobox	TF
PBX2	Homeobox	TF
CLOCK	bHLH	TF
TAL1	bHLH	TF
HELT	bHLH	TF
DLX5	Homeobox	TF
GTF2IRD2	GTF2I	TF
HMGB1	HMG	TF
HMX1	Homeobox	TF
GBX2	Homeobox	TF
NFIX	CTF/NFI	TF
ZNF646	zf-C2H2	TF
ZNF479	zf-C2H2	TF
AC073111.3	zf-C2H2	TF
EVX1	Homeobox	TF
MZF1	zf-C2H2	TF
RUNX3	Runt	TF
HOXD12	Homeobox	TF
JUND	TF_bZIP	TF
RXRB	RXR-like	TF
ZNF208	zf-C2H2	TF
ZNF383	zf-C2H2	TF
ESRRB	ESR-like	TF
ZNF891	zf-C2H2	TF
ZNF699	zf-C2H2	TF
NR2E3	RXR-like	TF
ZNF335	zf-C2H2	TF
STAT1	STAT	TF
GATAD2A	zf-GATA	TF
ZFPM1	zf-C2H2	TF
NFE2L2	TF_bZIP	TF
ZNF276	zf-C2H2	TF
ESRRG	ESR-like	TF
ZNF835	zf-C2H2	TF
TP53	P53	TF
ZNF514	zf-C2H2	TF
ZFP82	zf-C2H2	TF
ZNF728	zf-C2H2	TF
PBX1	Homeobox	TF
NR1I3	THR-like	TF
ZNF780A	zf-C2H2	TF
NPAS2	bHLH	TF
ZNF154	zf-C2H2	TF
RERE	zf-GATA	TF
NFATC1	RHD	TF
SALL2	zf-C2H2	TF
ATF6	TF_bZIP	TF
PBX3	Homeobox	TF
JARID2	ARID	TF
PKNOX1	Homeobox	TF
ELF5	ETS	TF
ZNF714	zf-C2H2	TF
NFIB	CTF/NFI	TF
NR0B1	Miscellaneous	TF
ZNF664	zf-C2H2	TF
DACH2	DACH	TF
SOX15	HMG	TF
RBAK	zf-C2H2	TF
ZNF14	zf-C2H2	TF
CDIP1	zf-LITAF-like	TF
VSX1	Homeobox	TF
HOXD13	Homeobox	TF
ZNF423	zf-C2H2	TF
ZNF552	zf-C2H2	TF
ZNF730	zf-C2H2	TF
ZNF781	zf-C2H2	TF
AC010616.1	ETS	TF
IRX1	Homeobox	TF
ARID1A	ARID	TF
ZNF716	zf-C2H2	TF
PRDM12	zf-C2H2	TF
TSHZ2	zf-C2H2	TF
KLF13	zf-C2H2	TF
FOXO6	Fork_head	TF
IRX2	Homeobox	TF
MYBL1	MYB	TF
CEBPA	TF_bZIP	TF
ZNF407	zf-C2H2	TF
MIXL1	Homeobox	TF
MEIS1	Homeobox	TF
ZNF671	zf-C2H2	TF
AC138696.1	zf-C2H2	TF
ZNF630	zf-C2H2	TF
ZNF524	zf-C2H2	TF
MEF2B	SRF	TF
ZNF662	zf-C2H2	TF
ZNF534	zf-C2H2	TF
PRDM5	zf-C2H2	TF
TOX2	HMG	TF
ZNF415	zf-C2H2	TF
ZBTB20	ZBTB	TF
ZNF740	zf-C2H2	TF
SPIC	ETS	TF
TBX15	T-box	TF
ZNF766	zf-C2H2	TF
ZNF25	zf-C2H2	TF
PMS1	HMG	TF
MYC	bHLH	TF
SIX6	Homeobox	TF
POU2F3	Pou	TF
EHF	ETS	TF
ZNF544	zf-C2H2	TF
NANOGNB	Homeobox	TF
ZBTB43	ZBTB	TF
ZNF536	zf-C2H2	TF
ZNF440	zf-C2H2	TF
RORB	THR-like	TF
ZNF844	zf-C2H2	TF
ZNF263	zf-C2H2	TF
ZNF846	zf-C2H2	TF
MTA2	zf-GATA	TF
CBFB	CBF	TF
NPAS1	bHLH	TF
AC022167.5	zf-LITAF-like	TF
ZNF57	zf-C2H2	TF
EN2	Homeobox	TF
ZFPM2	zf-C2H2	TF
HESX1	Homeobox	TF
SP3	zf-C2H2	TF
E2F8	E2F	TF
ZNF563	zf-C2H2	TF
MAFK	TF_bZIP	TF
ZNF569	zf-C2H2	TF
ZNF300	zf-C2H2	TF
HES7	bHLH	TF
NR1I2	THR-like	TF
SOX7	HMG	TF
ZBTB39	ZBTB	TF
ZNF398	zf-C2H2	TF
ZNF420	zf-C2H2	TF
NCOR1	MYB	TF
SHOX	Homeobox	TF
CEBPE	TF_bZIP	TF
LITAF	zf-LITAF-like	TF
SEBOX	Homeobox	TF
ZBTB11	ZBTB	TF
FOXP2	Fork_head	TF
TLX2	Homeobox	TF
TOX3	HMG	TF
NR3C2	ESR-like	TF
POU5F1	Pou	TF
ZNF573	zf-C2H2	TF
ZNF350	zf-C2H2	TF
ZNF324	zf-C2H2	TF
ZBTB32	ZBTB	TF
ZNF394	zf-C2H2	TF
FOXD4L5	Fork_head	TF
AHRR	bHLH	TF
PRDM4	zf-C2H2	TF
GFI1B	zf-C2H2	TF
ZNF341	zf-C2H2	TF
KLF15	zf-C2H2	TF
ZMIZ1	zf-MIZ	TF
ZSCAN4	zf-C2H2	TF
ZNF850	zf-C2H2	TF
ZNF256	zf-C2H2	TF
ZBTB46	ZBTB	TF
HSFY1	HSF	TF
HSFY2	HSF	TF
HOXC8	Homeobox	TF
ZNF33A	zf-C2H2	TF
ARNTL	bHLH	TF
RLF	zf-C2H2	TF
SOX1	HMG	TF
DMRT3	DM	TF
ZNF624	zf-C2H2	TF
NPAS4	bHLH	TF
ZSCAN30	zf-C2H2	TF
GLIS1	zf-C2H2	TF
ZNF146	zf-C2H2	TF
FOXM1	Fork_head	TF
AC092329.3	zf-C2H2	TF
SIX2	Homeobox	TF
KLF18	zf-C2H2	TF
MESP1	bHLH	TF
BHLHE40	bHLH	TF
ZNF483	zf-C2H2	TF
HES3	bHLH	TF
RUNX1	Runt	TF
ZNF430	zf-C2H2	TF
MYNN	ZBTB	TF
HSFX4	HSF	TF
ZNF711	zf-C2H2	TF
TBX5	T-box	TF
POU6F2	Pou	TF
RXRA	RXR-like	TF
WDHD1	HMG	TF
LBX2	Homeobox	TF
ZNF764	zf-C2H2	TF
RFX6	RFX	TF
SOX17	HMG	TF
ZFP91-CNTF	zf-C2H2	TF
ZHX1	Homeobox	TF
ZNF48	zf-C2H2	TF
SP7	zf-C2H2	TF
CSRNP1	CSRNP_N	TF
DLX6	Homeobox	TF
HSF1	HSF	TF
ERG	ETS	TF
MAF	TF_bZIP	TF
ZNF404	zf-C2H2	TF
AL033529.1	ZBTB	TF
ZNF275	zf-C2H2	TF
RFX3	RFX	TF
MAZ	zf-C2H2	TF
IKZF5	zf-C2H2	TF
KLF9	zf-C2H2	TF
ZNF665	zf-C2H2	TF
ZNF682	zf-C2H2	TF
ZNF566	zf-C2H2	TF
FOXB1	Fork_head	TF
DBX2	Homeobox	TF
FOXG1	Fork_head	TF
JUNB	TF_bZIP	TF
DPRX	Homeobox	TF
MAFF	TF_bZIP	TF
SRY	HMG	TF
FOXP4	Fork_head	TF
MYRF	NDT80/PhoG	TF
AFF2	AF-4	TF
OVOL2	zf-C2H2	TF
TGIF2LY	Homeobox	TF
ZSCAN29	zf-C2H2	TF
ZNF852	zf-C2H2	TF
TCF23	bHLH	TF
FOSB	TF_bZIP	TF
BHMG1	HMG	TF
NKX2-2	Homeobox	TF
POU3F2	Pou	TF
NR2F6	RXR-like	TF
BCL11A	zf-C2H2	TF
AC115220.1	zf-C2H2	TF
ZNF268	zf-C2H2	TF
TULP4	Tub	TF
ASCL5	bHLH	TF
HIC1	ZBTB	TF
ZBTB45	ZBTB	TF
ZNF836	zf-C2H2	TF
ZNF670	zf-C2H2	TF
ZFHX2	Homeobox	TF
FOXF2	Fork_head	TF
SMARCE1	HMG	TF
ZNF789	zf-C2H2	TF
MYT1L	zf-C2HC	TF
ZNF24	zf-C2H2	TF
TBX3	T-box	TF
NEUROD4	bHLH	TF
AR	ESR-like	TF
MBD2	MBD	TF
ZNF189	zf-C2H2	TF
PHOX2A	Homeobox	TF
ZFP64	zf-C2H2	TF
SMAD6	MH1	TF
THAP10	THAP	TF
AC073111.5	zf-C2H2	TF
FOXD4L3	Fork_head	TF
TP73	P53	TF
ZNF587B	zf-C2H2	TF
HOXB13	Homeobox	TF
BHLHA9	bHLH	TF
ZNF184	zf-C2H2	TF
ZNF471	zf-C2H2	TF
HOXA5	Homeobox	TF
ZNF362	zf-C2H2	TF
ZBTB17	ZBTB	TF
ZNF160	zf-C2H2	TF
GABPA	ETS	TF
ZNF142	zf-C2H2	TF
ZNF771	zf-C2H2	TF
THAP12	THAP	TF
HMX3	Homeobox	TF
ZNF736	zf-C2H2	TF
ZFP14	zf-C2H2	TF
RORA	THR-like	TF
PAX4	PAX	TF
ZBTB4	ZBTB	TF
HOXC4	Homeobox	TF
CREB5	TF_bZIP	TF
POU4F1	Pou	TF
KLF12	zf-C2H2	TF
ZNF345	zf-C2H2	TF
TEAD1	TEA	TF
LMX1B	Homeobox	TF
PIAS1	zf-MIZ	TF
NR1H2	THR-like	TF
ZNF324B	zf-C2H2	TF
MYCN	bHLH	TF
ZNF175	zf-C2H2	TF
VENTX	Homeobox	TF
ZNF559-ZNF177	zf-C2H2	TF
VDR	THR-like	TF
ZNF546	zf-C2H2	TF
AFF3	AF-4	TF
MBD1	MBD	TF
KLF16	zf-C2H2	TF
ZNF737	zf-C2H2	TF
ZNF169	zf-C2H2	TF
ZNF695	zf-C2H2	TF
SP5	zf-C2H2	TF
CAMTA2	CG-1	TF
SOX6	HMG	TF
CAMTA1	CG-1	TF
DDIT3	TF_bZIP	TF
ZNF525	zf-C2H2	TF
LEUTX	Homeobox	TF
AC092835.1	zf-C2H2	TF
ZKSCAN7	zf-C2H2	TF
ZNF285	zf-C2H2	TF
RCOR2	MYB	TF
ARGFX	Homeobox	TF
ZNF30	zf-C2H2	TF
MNX1	Homeobox	TF
MYF5	bHLH	TF
ZNF354B	zf-C2H2	TF
NKX3-1	Homeobox	TF
KLF3	zf-C2H2	TF
FOXD4L1	Fork_head	TF
PITX2	Homeobox	TF
ZNF772	zf-C2H2	TF
ZBTB16	ZBTB	TF
ZNF575	zf-C2H2	TF
ZNF620	zf-C2H2	TF
ZNF761	zf-C2H2	TF
ZNF793	zf-C2H2	TF
ZNF254	zf-C2H2	TF
TFAP2B	AP-2	TF
SNAPC4	MYB	TF
ZNF675	zf-C2H2	TF
ZNF860	zf-C2H2	TF
FOXD3	Fork_head	TF
ZNF132	zf-C2H2	TF
NFE2L3	TF_bZIP	TF
ZNF510	zf-C2H2	TF
HOXC6	Homeobox	TF
THRB	THR-like	TF
ZNF774	zf-C2H2	TF
ZFP28	zf-C2H2	TF
NFE2L1	TF_bZIP	TF
HOXD4	Homeobox	TF
ZNF681	zf-C2H2	TF
NFIL3	TF_bZIP	TF
FOXP3	Fork_head	TF
CUX2	CUT	TF
CREB3	TF_bZIP	TF
ARNT2	bHLH	TF
MTA3	zf-GATA	TF
AEBP2	zf-C2H2	TF
TEAD4	TEA	TF
ZNF250	zf-C2H2	TF
FOXD2	Fork_head	TF
JAZF1	zf-C2H2	TF
MYRFL	NDT80/PhoG	TF
THAP1	THAP	TF
ZNF578	zf-C2H2	TF
ZNF461	zf-C2H2	TF
IKZF3	zf-C2H2	TF
FOXJ2	Fork_head	TF
AC187653.1	Fork_head	TF
ZNF788	zf-C2H2	TF
ZNF708	zf-C2H2	TF
TERB1	MYB	TF
ZFP92	zf-C2H2	TF
IRF8	IRF	TF
ZNF705D	zf-C2H2	TF
MXD3	bHLH	TF
ZNF506	zf-C2H2	TF
RHOXF2	Homeobox	TF
NHLH2	bHLH	TF
STAT5B	STAT	TF
ZNF490	zf-C2H2	TF
ZNF516	zf-C2H2	TF
NFKB2	RHD	TF
ZNF99	zf-C2H2	TF
ESR1	ESR-like	TF
DMRTA2	DM	TF
INSM1	zf-C2H2	TF
SOX5	HMG	TF
TBX18	T-box	TF
HNF4G	RXR-like	TF
ATF1	TF_bZIP	TF
SCRT2	zf-C2H2	TF
NKX1-2	Homeobox	TF
ZNF384	zf-C2H2	TF
PLAGL2	zf-C2H2	TF
POU4F2	Pou	TF
NANOG	Homeobox	TF
ZNF81	zf-C2H2	TF
ZNF497	zf-C2H2	TF
NR0B2	Miscellaneous	TF
AC010487.3	zf-C2H2	TF
AC004080.3	Homeobox	TF
ZNF135	zf-C2H2	TF
RELB	RHD	TF
GTF2IRD1	GTF2I	TF
CUX1	CUT	TF
ZNF207	Others	TF
LTF	Others	TF
PRDM11	Others	TF
BCLAF1	Others	TF
TFB1M	Others	TF
ZNF280C	Others	TF
PARP12	Others	TF
GPBP1	Others	TF
RFXANK	Others	TF
MLLT10	Others	TF
KHSRP	Others	TF
HIF1A	Others	TF
ADNP2	Others	TF
CENPT	Others	TF
CAPN15	Others	TF
GABPB1	Others	TF
MYEF2	Others	TF
TAX1BP1	Others	TF
AKNA	Others	TF
CREBL2	Others	TF
CENPA	Others	TF
CEBPZ	Others	TF
PLEK	Others	TF
EPAS1	Others	TF
SFPQ	Others	TF
GON4L	Others	TF
PHTF1	Others	TF
BLZF1	Others	TF
ZNF706	Others	TF
KIAA1549	Others	TF
ZNFX1	Others	TF
SLC2A4RG	Others	TF
RBCK1	Others	TF
YEATS4	Others	TF
CASZ1	Others	TF
CC2D1A	Others	TF
ZNF414	Others	TF
XPA	Others	TF
TCF19	Others	TF
ZNF280D	Others	TF
PREB	Others	TF
SMARCAL1	Others	TF
CARF	Others	TF
TCF25	Others	TF
ZNF750	Others	TF
GABPB2	Others	TF
TMF1	Others	TF
LYAR	Others	TF
PURB	Others	TF
CIZ1	Others	TF
ANKRD30A	Others	TF
THYN1	Others	TF
SETBP1	Others	TF
AHCTF1	Others	TF
ELMSAN1	Others	TF
GATAD1	Others	TF
SON	Others	TF
GPBP1L1	Others	TF
ZNF326	Others	TF
SPZ1	Others	TF
FAM170A	Others	TF
CREBRF	Others	TF
ZNF704	Others	TF
ZNF503	Others	TF
RAG1	Others	TF
PHB	Others	TF
TET2	Others	TF
ZNF608	Others	TF
ZNF280A	Others	TF
CENPX	Others	TF
CNBP	Others	TF
NFRKB	Others	TF
ZNF318	Others	TF
PURG	Others	TF
CENPS	Others	TF
MAF1	Others	TF
ZNF609	Others	TF
DMRTC1B	Others	TF
PURA	Others	TF
NKRF	Others	TF
ZNF395	Others	TF
PLSCR1	Others	TF
ZGPAT	Others	TF
ZNF720	Others	TF
ZNF511	Others	TF
L3MBTL3	Others	TF
CPEB1	Others	TF
ZNF487	Others	TF
NME2	Others	TF
ZNF488	Others	TF
DMRTC1	Others	TF
ZNF280B	Others	TF
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
