Gene	TriageRank_WT	TriageRank_KO1	TriageRank_KO2	WT2_D14_DS	KO1_D14_DS	KO2_D14_DS
SPRED3	1652	2287	2604	0.008760089	0.005524767	0.003742876
CDHR2	2954	3810	2605	0.00281615	0.001993219	0.003739511
TRPV4	2724	2345	2606	0.003321065	0.005289906	0.003738945
TMEM181	2306	2682	2607	0.004713669	0.004082591	0.003735922
RNF152	3534	2824	2608	0.001929193	0.003677564	0.003734014
KCNN3	980	5172	2609	0.019275388	0.001027713	0.003727948
CSNK2A2	2670	2822	2610	0.003472443	0.003684605	0.003727873
ACHE	2726	2751	2611	0.003319486	0.003863087	0.003726503
IYD	16816	3047	2612	3.26E-05	0.003166268	0.003724723
CFI	18558	2831	2613	0	0.00365308	0.003723383
IRF5	3804	3729	2614	0.001644054	0.002064484	0.003721628
ALPPL2	4517	3887	2615	0.001143941	0.00190222	0.003720464
CDKL5	3074	2541	2616	0.002601208	0.004501795	0.003714965
PPP1R26-AS1	2496	2694	2617	0.004063736	0.00404984	0.003712342
SLC16A12	1431	2114	2618	0.01096336	0.006500051	0.003711436
PLEKHG1	2650	2710	2619	0.003543881	0.004002177	0.003708853
ALDOB	8639	4873	2620	0.000361133	0.001165168	0.003703802
KCNA10	19050	2953	2621	0	0.003353227	0.00369815
PDRG1	2246	2715	2622	0.004963112	0.003985807	0.003696643
VWA1	2895	2788	2623	0.002916723	0.003766625	0.003695005
TRH	56	1199	2624	0.259436199	0.015815096	0.00369077
NEDD4L	2830	2685	2625	0.003063171	0.004076962	0.003690195
SHMT2	2824	2857	2626	0.003074333	0.003615377	0.003686493
KDR	2166	3714	2627	0.005324718	0.002080638	0.003684865
ANK3	2545	2817	2628	0.003865382	0.003698004	0.003682394
ITGB4	4853	2475	2629	0.001003397	0.004703871	0.003678726
FAM107B	4125	2701	2630	0.001379952	0.004030799	0.003677598
EYA1	3078	2644	2631	0.002595375	0.004196978	0.003677313
JUP	2653	2734	2632	0.003532949	0.003922889	0.003676806
MYBL2	2838	2526	2633	0.00304328	0.004567664	0.00367179
SERINC2	4059	2722	2634	0.001432933	0.00396651	0.003666911
NREP	2194	2742	2635	0.005192627	0.003886806	0.003666094
GPR39	3775	2580	2636	0.001676564	0.004394039	0.003664714
ARNTL	2405	2418	2637	0.004356706	0.004895715	0.003663055
GPRC5A	5463	2568	2638	0.000791047	0.004429633	0.003661805
AGXT	3109	4575	2639	0.00254417	0.001328517	0.003661667
PCDHA6	2710	2964	2640	0.003353833	0.003339162	0.003659651
DGKZ	2654	2680	2641	0.003532482	0.004085837	0.003656627
GYG2	2856	2841	2642	0.002999467	0.003637664	0.003655774
KCTD12	2478	3193	2643	0.004131897	0.002854571	0.003651007
KLHDC7A	4238	2535	2644	0.001303553	0.004517441	0.003645739
INTS6L	1781	3088	2645	0.007582046	0.00306003	0.003643954
PROSER2	3097	2778	2646	0.002564777	0.003788058	0.00364321
CSTF2	2408	2706	2647	0.004341174	0.004012195	0.003642288
ARVCF	2173	2647	2648	0.005284674	0.004183641	0.003640104
KRT24	19100	2624	2649	0	0.004269145	0.00363811
TGM2	2640	2943	2650	0.003568768	0.003380989	0.003631944
FSCN2	2187	2215	2651	0.005229548	0.005863852	0.003629326
THBS2	6097	3402	2652	0.000641809	0.002494166	0.003626092
SLC6A11	3096	18924	2653	0.002565318	0	0.003625433
KCNJ8	3116	2676	2654	0.002534867	0.004092769	0.003620779
MME	5864	3175	2655	0.000694056	0.002871843	0.003614142
SLC9A6	2539	2641	2656	0.003888492	0.004210525	0.003609255
SPP1	3784	2625	2657	0.001668316	0.004267119	0.003607963
TULP1	3774	3501	2658	0.001676656	0.002355831	0.003606118
VPS37D	2243	3015	2659	0.004976055	0.003234833	0.003605383
SMC1A	2559	2712	2660	0.003817289	0.003990024	0.003598229
EPN3	3446	2546	2661	0.002031058	0.004483249	0.003596413
CHRNA4	9435	2907	2662	0.000317163	0.003493438	0.003596013
SLPI	20012	2633	2663	0	0.00423622	0.003595371
ITGA3	3218	2917	2664	0.002350901	0.003452002	0.003593873
VEGFA	2519	2770	2665	0.003957516	0.003818002	0.00358924
MLLT10	2472	2949	2666	0.004139338	0.003360422	0.003585277
CLDN1	6039	2868	2667	0.00065224	0.003582609	0.003583472
GUK1	2613	2856	2668	0.00365391	0.003615589	0.003581681
BRSK2	1882	1946	2669	0.006801912	0.007544165	0.003580797
GDPD2	3305	3106	2670	0.002223887	0.003019964	0.003579449
MACF1	2499	2861	2671	0.004048894	0.003596944	0.003576195
ADAM11	526	7144	2672	0.040497042	0.000528822	0.003576175
LACTBL1	5069	2447	2673	0.00091512	0.00481155	0.003575989
SEMA5A	3083	2912	2674	0.002584361	0.00347511	0.003573354
OVCH2	4824	2461	2675	0.001012079	0.004769056	0.003565344
RBM47	5807	2692	2676	0.000707028	0.004052691	0.003564726
MYO10	3486	3103	2677	0.00198487	0.003024158	0.003564308
GAS1	3103	3014	2678	0.002554712	0.003242421	0.003564179
TMEM108	4761	2913	2679	0.001039056	0.003469607	0.003560688
PDGFRB	6057	3016	2680	0.000649499	0.003234224	0.003558528
LINC00967	19264	2699	2681	0	0.004032754	0.003556502
C9orf69	2796	2747	2682	0.003155063	0.003873319	0.003555681
PRPS1	2368	3024	2683	0.004499181	0.003220856	0.003555471
FBLN5	15257	2844	2684	9.34E-05	0.003633868	0.003555296
CES1	1960	3063	2685	0.006352313	0.003125416	0.003554695
TNFRSF21	3085	2809	2686	0.002580552	0.003715398	0.003553424
LPIN3	3240	2922	2687	0.002318018	0.003438335	0.003551604
HTR1E	11395	2613	2688	0.000235377	0.004297639	0.003551047
GDAP1	1981	2554	2689	0.00626975	0.004465967	0.003548335
LTBP2	2677	3754	2690	0.003459219	0.002043838	0.003544771
RTN4R	2906	2806	2691	0.002896126	0.00372949	0.00354393
ESYT3	4566	2432	2692	0.001125945	0.004850648	0.00353979
PMAIP1	2255	2787	2693	0.004922443	0.00376761	0.003537246
COL18A1-AS2	2471	2243	2694	0.004140006	0.005702274	0.003536986
SPTB	1305	2982	2695	0.012625714	0.003306286	0.003536461
MOSPD1	3022	2663	2696	0.002700888	0.004133568	0.003536276
FBRS	2743	2804	2697	0.003284737	0.003739179	0.003525168
LINC01300	19321	3522	2698	0	0.002329041	0.003521168
CD9	3579	2752	2699	0.001867968	0.003861631	0.003518993
SASH1	2979	2934	2700	0.002777153	0.003411996	0.003514744
MAP3K13	2841	2800	2701	0.00303077	0.003742559	0.003513434
CGN	5514	2711	2702	0.000779165	0.004001046	0.003507461
FADS2	2908	2746	2703	0.002894214	0.003874917	0.00350682
SYNPO2	2060	3152	2704	0.005784901	0.002928756	0.003504986
CORO2B	1412	1185	2705	0.011162357	0.016028988	0.003503464
CUEDC1	2782	3204	2706	0.003189239	0.002837534	0.003499555
LTK	2449	2490	2707	0.004215543	0.004673872	0.003498648
UBXN10	1177	3917	2708	0.014705409	0.001871067	0.00349819
PALM2	1076	3441	2709	0.016854942	0.00244399	0.003498071
FSTL3	3281	3143	2710	0.002254967	0.002950489	0.003496802
CLMN	5857	3560	2711	0.000696012	0.002282837	0.003494155
CTTNBP2	2294	2615	2712	0.004761025	0.004290927	0.003491438
H1F0	2606	2924	2713	0.003673313	0.003435861	0.003488256
DAPK1	2945	2793	2714	0.002829735	0.003763112	0.003486959
LINC00963	2432	2724	2715	0.004277627	0.003944396	0.003483196
GLDN	3400	3133	2716	0.002098467	0.002968653	0.003480905
GABRB1	12679	3772	2717	0.000188011	0.002027942	0.003480036
POP5	2575	2975	2718	0.003780507	0.003318863	0.003479532
MST1P2	4781	3187	2719	0.001029245	0.002863334	0.003475061
TRIOBP	2540	2959	2720	0.003883476	0.00334649	0.003473053
FGF17	2052	1724	2721	0.005858004	0.009372742	0.00347238
ZBTB8B	2105	2544	2722	0.005593577	0.004495913	0.003467691
MAGI2	1954	3360	2723	0.006380734	0.002579949	0.003466747
BBC3	2914	2989	2724	0.00288336	0.003299022	0.003466581
BCAR3	5550	2756	2725	0.000770263	0.00384894	0.003466466
HOXD1	18972	19752	2726	0	0	0.00346559
TMEM132A	2616	2760	2727	0.003644338	0.003834042	0.003463478
ITGB2-AS1	19036	5450	2728	0	0.000916337	0.003459135
FMNL2	2995	2668	2729	0.002750526	0.004120599	0.003453172
ERRFI1	4004	2832	2730	0.001479322	0.003648454	0.003452631
RUNDC3A	1973	4588	2731	0.00628927	0.001318429	0.003451488
BSPRY	3191	2895	2732	0.002402583	0.00352807	0.003451285
PLCG1	2949	2851	2733	0.00282341	0.003622522	0.003450003
PRKAR1B	2250	2789	2734	0.004947143	0.003765728	0.003446199
DOCK6	3730	2983	2735	0.001715961	0.003306051	0.003443183
SLC13A3	3623	3681	2736	0.001811122	0.002126264	0.003442731
MAD1L1	2757	2716	2737	0.003252462	0.003984488	0.003441004
SPATA3-AS1	20053	2196	2738	0	0.005976211	0.003440543
TLE1	5734	2853	2739	0.000727416	0.003618915	0.003437287
TOP1MT	3441	2877	2740	0.002035858	0.003559939	0.003436737
MFAP2	3019	2930	2741	0.002707106	0.003419607	0.003431529
EPHB4	3196	2854	2742	0.002388352	0.003616644	0.003430447
MUM1L1	2792	2896	2743	0.003162507	0.003527857	0.003420572
PPP2R2B	1236	3762	2744	0.013725616	0.002036109	0.003413393
MAPK11	5042	3510	2745	0.000927076	0.002345034	0.003410073
RMDN2	2667	2820	2746	0.003487619	0.003687422	0.003410043
ABLIM2	604	3717	2747	0.034296807	0.002077196	0.003402754
SATB1	2400	2952	2748	0.00436789	0.003357533	0.003401531
NCR2	19641	3711	2749	0	0.002087227	0.003398064
YES1	3017	3046	2750	0.002710866	0.003167721	0.003396419
CLDN4	3709	2937	2751	0.001729852	0.003398392	0.003394663
CTNNBL1	2773	2777	2752	0.003224438	0.003788248	0.003394435
SSFA2	2969	3053	2753	0.002792335	0.003147872	0.003392486
CMTM8	2709	2782	2754	0.003355259	0.003781719	0.003388696
JAKMIP3	2033	3423	2755	0.005986126	0.002468001	0.003383106
FAM131B	5217	3472	2756	0.000862144	0.002406024	0.003381558
MFNG	1456	4436	2757	0.010664738	0.001417267	0.003381446
MFSD6L	7555	2540	2758	0.00044147	0.004503755	0.003371811
GRIK3	1848	938	2759	0.007054413	0.021377886	0.003365778
NDUFA5	2238	2904	2760	0.004983921	0.003506618	0.003364554
TNR	4953	3760	2761	0.000964473	0.00203936	0.003360166
TSPAN15	2136	3137	2762	0.005427403	0.002956223	0.003359171
DYNLT3	2897	2690	2763	0.002904701	0.004063171	0.003359104
HDAC6	2783	2974	2764	0.003188608	0.003320181	0.003356847
FIRRE	2595	2560	2765	0.003701833	0.004447031	0.003355341
RHOD	2836	2823	2766	0.003046107	0.003681842	0.003351792
SLC22A17	2732	2807	2767	0.003312962	0.003721113	0.003350906
HAS2	2099	2803	2768	0.005624205	0.003739985	0.003348321
ARHGAP19-SLIT1	18349	19550	2769	0	0	0.003344568
TMEM158	3128	3083	2770	0.002509575	0.003075375	0.003343586
MMP14	3468	2988	2771	0.00200911	0.003299289	0.003340758
DIRC3-AS1	1733	2272	2772	0.007976745	0.005565712	0.003340017
SMARCA1	2714	2984	2773	0.003352573	0.003306	0.003337369
NPHS1	2538	6213	2774	0.00388897	0.000690557	0.00333629
NBPF25P	1784	1770	2775	0.007570973	0.008981572	0.003336215
SEMA3F	2847	3134	2776	0.003016984	0.002966868	0.003335892
PLD5	19799	2650	2777	0	0.004178179	0.0033328
SH3TC1	4835	3031	2778	0.001008583	0.003209211	0.003331344
IL1RAPL1	2176	2112	2779	0.005277941	0.006512112	0.00332975
CYP46A1	1185	3720	2780	0.014564653	0.002074278	0.003324734
TREM1	20166	2730	2781	0	0.003930323	0.003314595
HECW1	4437	2412	2782	0.001185668	0.004914183	0.003312778
FNBP1L	3436	2898	2783	0.002039678	0.00351783	0.003310939
TMEM150C	3136	2429	2784	0.002501658	0.004858288	0.003309635
ANO9	5946	2842	2785	0.000672956	0.003635527	0.003301008
KRBOX4	2721	3155	2786	0.003331335	0.00291611	0.003300059
CXADR	2621	2767	2787	0.003628943	0.003820026	0.003298672
DMPK	2113	3104	2788	0.005537742	0.00302176	0.003298433
ZNF516	2597	3023	2789	0.003699881	0.003222055	0.003298375
NBPF20	3272	2479	2790	0.00226932	0.004700909	0.003295641
FRMD1	11540	3111	2791	0.000229304	0.003015163	0.003293562
LAMB3	15393	3200	2792	8.76E-05	0.002843122	0.003292637
CORO2A	5605	2843	2793	0.00075696	0.003634052	0.003289086
C3orf18	2041	3470	2794	0.005922166	0.002409858	0.003288335
DNAJC6	2536	2871	2795	0.00389458	0.003566127	0.003288254
CCDC177	3234	2729	2796	0.002323461	0.003931323	0.003283074
HHIP	6931	3005	2797	0.000510389	0.003261534	0.003282623
PDCD1	5345	2994	2798	0.000825076	0.003285065	0.003281606
KCNJ12	414	2448	2799	0.053758164	0.004811464	0.003276753
ACTR2	2929	2951	2800	0.002854735	0.003358118	0.003275249
GSTA2	18914	2973	2801	0	0.003320355	0.003273129
ABHD6	3039	2693	2802	0.002674559	0.004050173	0.003272788
JAM3	2463	3221	2803	0.004173019	0.0028137	0.003272111
XKRX	5108	2956	2804	0.000903268	0.003348787	0.003269887
LYPD4	19431	1729	2805	0	0.009305004	0.003266083
RAB11FIP5	4039	3029	2806	0.001449549	0.003215673	0.00326499
ANXA5	3047	2935	2807	0.002661791	0.00340526	0.003264923
LRRC38	19423	19919	2808	0	0	0.003264109
SLC34A3	3965	3253	2809	0.001504162	0.002762184	0.003256357
SLC4A4	2624	3093	2810	0.003626366	0.00304587	0.003254012
KLF2	2034	2380	2811	0.005968302	0.005080318	0.00325029
ADAMTSL3	6842	2404	2812	0.0005225	0.004943653	0.003243635
SLC18A1	4426	1845	2813	0.001196446	0.008236249	0.003243109
ARHGEF26	3807	2855	2814	0.001641584	0.00361622	0.003243025
TCF7	2920	2687	2815	0.002875206	0.004073717	0.003238698
PPP1R9A	2256	2714	2816	0.0049173	0.003986541	0.003235606
ISOC2	2570	2978	2817	0.003789775	0.003316958	0.003232343
PCDHA8	3423	3287	2818	0.002065582	0.002704154	0.003232259
ZNF280B	2740	3054	2819	0.003289126	0.003146213	0.003228399
DISP3	755	1645	2820	0.026099473	0.010162192	0.003228047
CDCA7	2231	2867	2821	0.005026291	0.003586633	0.003225649
SGCB	2073	3244	2822	0.005733092	0.002785783	0.003221815
PTPRE	2638	3758	2823	0.00357743	0.002040572	0.003221319
VTCN1	13515	3042	2824	0.00015806	0.00317924	0.003218656
LRFN1	2614	2728	2825	0.003649554	0.003936469	0.003213677
KCNAB2	1462	3090	2826	0.010600081	0.003052067	0.00320767
FTX	2939	2876	2827	0.002833168	0.003560845	0.003207216
HLA-DPB1	3582	2489	2828	0.001862866	0.004674864	0.003204029
C1orf53	2314	2946	2829	0.004692466	0.003362912	0.003200229
SSU72	2776	2979	2830	0.003212281	0.003316797	0.003199781
GNG13	5941	3394	2831	0.000674855	0.002516585	0.003187352
VANGL2	2608	3033	2832	0.003664549	0.00319966	0.003187014
AHRR	2513	3799	2833	0.003990238	0.002002265	0.003186971
P3H3	3902	3012	2834	0.001559005	0.003246191	0.003185646
RIC3	1373	2440	2835	0.011616494	0.004827079	0.003183761
ST6GALNAC3	3576	3476	2836	0.00187028	0.002398902	0.003182276
GCKR	11350	4430	2837	0.000236903	0.00141978	0.003181066
SLC38A1	3041	3017	2838	0.002666929	0.003229658	0.003180237
MACROD2	2055	3094	2839	0.005831887	0.00304462	0.003179594
PIN4	2639	2933	2840	0.003575846	0.003412452	0.003178364
HRH3	4492	5265	2841	0.001155228	0.00098789	0.003177482
ALOX5	4075	2184	2842	0.001412585	0.006043348	0.003171165
CASQ2	3577	3270	2843	0.00186976	0.002744615	0.003166429
HR	8207	4602	2844	0.000391293	0.00131203	0.003163273
SLC7A4	4338	3071	2845	0.001240239	0.003109064	0.003162172
TMEM47	2657	2958	2846	0.003528454	0.003346495	0.003159523
BEND7	3751	3149	2847	0.001696543	0.002932613	0.003158687
FAF1	2558	2869	2848	0.003818313	0.003580892	0.00315603
SGK1	4461	2737	2849	0.001175136	0.003910204	0.003151627
GRIP1	3629	3161	2850	0.001806613	0.002898172	0.003150826
CLCF1	6340	2784	2851	0.000602167	0.003773568	0.003149416
NYNRIN	2909	3125	2852	0.002894155	0.002988406	0.003149152
SCAMP5	2918	2903	2853	0.002879148	0.003511633	0.003147962
FAIM2	3508	5586	2854	0.001966068	0.00086583	0.003145326
ATP8B1	6092	2797	2855	0.00064293	0.003754182	0.003143964
RGMB	2178	2918	2856	0.005276249	0.00345158	0.003137604
PCDHGA3	2392	2265	2857	0.004394327	0.005591696	0.003137354
HNRNPR	2821	3028	2858	0.003083634	0.003218821	0.0031317
C11orf74	2511	3240	2859	0.003997173	0.002795951	0.003131222
SNED1	2764	3410	2860	0.003236334	0.002486543	0.003128112
ACO1	3008	2991	2861	0.002731351	0.003292773	0.003126205
COL8A1	2628	3179	2862	0.003613926	0.002869042	0.003125334
BOK	3110	3056	2863	0.00254312	0.003145106	0.003123457
SLC9A3R2	2940	3533	2864	0.002831723	0.002314972	0.003121278
TMEM132D	4778	1751	2865	0.001030676	0.009159211	0.003115461
ZDHHC8P1	4032	2880	2866	0.00145759	0.003555687	0.003114091
ADAP2	14008	2439	2867	0.000141396	0.00482785	0.003108361
RET	1586	3231	2868	0.009372313	0.002805329	0.00310617
SPINK1	13228	3120	2869	0.000168162	0.002997271	0.003105966
KRT222	19098	1860	2870	0	0.008160551	0.003105901
TPBG	3244	2795	2871	0.002307869	0.003759719	0.003104309
MRAS	2218	3035	2872	0.005056622	0.003192865	0.003103758
KYNU	19126	2835	2873	0	0.00364423	0.00310222
LINC00543	19209	2969	2874	0	0.00332775	0.003101424
A4GALT	2017	2945	2875	0.006069824	0.003366946	0.003101193
CAMK2A	1706	3393	2876	0.0082936	0.002522464	0.003100381
LIPE	1970	2689	2877	0.006301124	0.004065909	0.003094118
NOS3	1410	3690	2878	0.011189174	0.002108137	0.003091271
EDIL3	3505	3584	2879	0.001970906	0.00225959	0.003090265
SRRM4	2424	2525	2880	0.00429989	0.004571789	0.003089734
PLEKHG6	10354	2733	2881	0.000275218	0.003923629	0.003088146
PTGDS	2849	3190	2882	0.003015672	0.002857599	0.003088064
OPCML	1200	2513	2883	0.014237559	0.004595271	0.003087506
SCD	3080	3098	2884	0.002592254	0.003039589	0.003086147
SLC9A7	2983	2916	2885	0.002768841	0.003454813	0.003085067
TLN2	3853	2911	2886	0.001598092	0.003479305	0.003084617
TNFSF15	10878	3199	2887	0.000255037	0.002846924	0.003083307
AGT	3948	3079	2888	0.001520662	0.003084836	0.003082931
MYCN	2276	2921	2889	0.00483657	0.003440381	0.003080877
LINC01214	19305	3009	2890	0	0.003251695	0.003080051
DHX8	2933	3025	2891	0.002847548	0.003219729	0.003076291
C1orf106	3674	2881	2892	0.001760692	0.003554226	0.003074687
RPP25	2438	4675	2893	0.004252789	0.001272767	0.003074579
BNIP3	2568	2920	2894	0.0037945	0.003441953	0.003074435
RARRES2	3918	2792	2895	0.001540839	0.003763355	0.00307343
LFNG	2938	2094	2896	0.002835203	0.006637382	0.003071808
SLIT2	3180	3506	2897	0.002420171	0.00234839	0.003070877
SLC27A2	6762	3007	2898	0.000533427	0.003255636	0.00307065
HCK	3332	2828	2899	0.00218031	0.003665685	0.00306906
APOE	3388	3064	2900	0.002114717	0.003124177	0.003064347
MS4A10	19595	4201	2901	0	0.001599341	0.003063914
ASAP2	2919	3239	2902	0.002878426	0.002796106	0.003062543
CTGF	3090	3620	2903	0.002574553	0.002211604	0.00306174
LPAR1	6720	3266	2904	0.000539902	0.002748249	0.003058228
PAM	2756	3115	2905	0.003253808	0.003008734	0.003054388
NKD1	3174	1998	2906	0.002436485	0.007218238	0.003049132
CHRNB1	2894	3124	2907	0.002919531	0.002991933	0.00304869
C8A	18473	3343	2908	0	0.002606359	0.003047579
CUBN	10655	2967	2909	0.000263792	0.003329196	0.003046732
RNF187	2804	3057	2910	0.003134534	0.003141185	0.003044146
PIANP	2297	2785	2911	0.004748522	0.003768816	0.003043887
PRDM2	2866	3233	2912	0.002973397	0.002803434	0.003038594
HNF4G	5924	2565	2913	0.000676971	0.00443198	0.003037941
LRP1	3717	3208	2914	0.001724616	0.002830422	0.003029355
OSMR	9713	3365	2915	0.000304914	0.002573905	0.003026758
PPFIA3	2264	3735	2916	0.004888918	0.002059688	0.003025016
UGT3A1	6118	2103	2917	0.000638485	0.006570466	0.0030231
NTRK3	986	3197	2918	0.019094902	0.002852326	0.003018423
CLCNKA	1607	4501	2919	0.009178622	0.001372751	0.003017212
FBLIM1	2512	2981	2920	0.003993338	0.003306445	0.003009231
TUBB3	4541	4462	2921	0.001134755	0.001403836	0.003008101
LINC00116	2515	3045	2922	0.003969094	0.003176296	0.003006042
FUT1	6507	2539	2923	0.000572047	0.004507067	0.003005394
PLTP	3520	3060	2924	0.001948566	0.003136645	0.003005013
SLC6A20	1747	1984	2925	0.007858373	0.00733117	0.003004678
NTNG1	6862	3044	2926	0.000519052	0.003177048	0.00299734
C1orf159	2927	2936	2927	0.002859775	0.003400771	0.002997191
PTCHD4	3016	3749	2928	0.002711654	0.002048518	0.002993637
FBXO17	3405	3032	2929	0.002093182	0.003203614	0.002993604
MGMT	3018	3579	2930	0.002710243	0.002268974	0.002993148
RBPMS-AS1	4009	2815	2931	0.001475759	0.003698721	0.002989698
TNFRSF8	3820	2888	2932	0.001629526	0.003539849	0.00298617
TET1	2547	3095	2933	0.003863941	0.003043853	0.00298409
PDLIM2	7282	3135	2934	0.00046739	0.002957673	0.002983075
SLC6A13	1907	2055	2935	0.006636654	0.006840471	0.002976189
SH3RF2	2791	2900	2936	0.003164092	0.003513259	0.002973548
PRRG1	3379	2774	2937	0.00212646	0.00380271	0.002968774
SH3BGRL2	2765	3019	2938	0.003234586	0.003228092	0.002965471
SYT8	5931	3496	2939	0.000675941	0.002366856	0.002964876
TCL6	20097	2080	2940	0	0.006721916	0.002963608
SORCS1	594	2495	2941	0.034822449	0.004654417	0.00296221
F2RL1	5110	3030	2942	0.000901971	0.003209866	0.002960649
RBM41	2932	3359	2943	0.002847811	0.002580197	0.002958955
C14orf37	1869	3617	2944	0.00689867	0.002212997	0.002957973
TMEM45A	2902	3468	2945	0.002900818	0.002411811	0.002956436
C14orf80	1805	2695	2946	0.007387151	0.004049209	0.002955886
MTA3	2845	3180	2947	0.003021117	0.002868696	0.002954996
MAP7D3	2947	3037	2948	0.002826888	0.003190999	0.002952875
OXR1	2480	3230	2949	0.004125697	0.002805924	0.002949628
ERBB2	2577	3070	2950	0.003778183	0.003109216	0.002949106
TNNI2	2656	9003	2951	0.003531087	0.000364388	0.002947344
ZFR2	1067	2794	2952	0.016927933	0.003762616	0.002946792
GRB10	3105	3040	2953	0.002550926	0.003186568	0.002945218
GMPR	1975	2407	2954	0.006288211	0.004926173	0.002944474
ARHGEF38	4782	6724	2955	0.001028654	0.000594401	0.002944326
SPINT2	3145	3086	2956	0.002487087	0.003062495	0.002944318
PRKG2	2406	2847	2957	0.004352576	0.003629624	0.002941014
CORIN	501	3456	2958	0.04243195	0.002423059	0.002934841
HMCN1	1851	3770	2959	0.007010421	0.002029763	0.002931717
DLG2	2211	2688	2960	0.005097296	0.004067843	0.002931397
MAGI1	2915	2948	2961	0.002883111	0.003361358	0.002929224
PRR29	2157	4409	2962	0.005343662	0.001432985	0.002928065
TFPI2	2696	2811	2963	0.003409123	0.003714057	0.002927508
AIFM3	3138	2645	2964	0.002495122	0.004191072	0.002925665
HCFC1R1	3077	3209	2965	0.002596214	0.002829724	0.002923743
ADAM19	3594	2968	2966	0.001852582	0.003328544	0.002923179
C1orf198	3214	3272	2967	0.002358115	0.002742016	0.00292238
SMS	2986	3051	2968	0.002767022	0.003150724	0.002921423
HCFC1	3160	2966	2969	0.002455673	0.0033299	0.002918958
TRPM4	2458	3346	2970	0.004179326	0.00260362	0.002916753
KCNA2	2823	4021	2971	0.003074389	0.001756942	0.002911968
SMAD6	2401	3020	2972	0.004367142	0.003227745	0.002910452
FAM110B	3644	3251	2973	0.001793323	0.002769114	0.002908446
FBN1	4080	3245	2974	0.001410038	0.002782427	0.002908044
RUNX3	19920	20139	2975	0	0	0.002907055
UBE2E2	2629	3162	2976	0.003611315	0.002898031	0.002905543
ATG5	2833	3320	2977	0.003048899	0.002647084	0.002904139
CSMD3	5192	2009	2978	0.00087388	0.007168094	0.002902476
TMED9	3248	3113	2979	0.00229927	0.003012617	0.002901428
INSRR	1536	4028	2980	0.009886887	0.001751936	0.002900981
SAPCD2	3217	3447	2981	0.002353525	0.002433772	0.002897851
TESC	520	1097	2982	0.040811881	0.017506482	0.002897794
IGFBP6	3964	2950	2983	0.001504705	0.003358827	0.002896154
ARL4C	3633	3072	2984	0.001801604	0.003108176	0.00289379
GPRIN1	2690	2326	2985	0.003415211	0.005349087	0.002891569
FTCD	6456	3256	2986	0.000579877	0.002760668	0.002890721
RAB6C-AS1	19869	4429	2987	0	0.001420251	0.002889436
TPST1	3352	3129	2988	0.002155484	0.002984011	0.002888727
USP30	2826	3219	2989	0.00307344	0.002816985	0.002888408
CPN2	9552	3530	2990	0.000312323	0.002320122	0.002884421
ASPA	14449	3896	2991	0.000125067	0.00189205	0.00287973
CYBA	3187	3076	2992	0.002408663	0.003094557	0.002878238
CERCAM	3150	3587	2993	0.002480443	0.002257853	0.002877697
MANEAL	2142	2043	2994	0.005404039	0.00691125	0.002875821
ADORA2B	2968	3404	2995	0.002793061	0.002490072	0.002872058
YBX3	2754	3038	2996	0.003258671	0.003189786	0.002871721
RBMS3	3296	3357	2997	0.002234596	0.002587341	0.002868667
TEAD4	3146	2939	2998	0.0024851	0.003392157	0.002862848
LINC01410	6530	2096	2999	0.000568378	0.006627624	0.00286085
DCC	10698	5320	3000	0.000262016	0.000964364	0.002859412
CKB	3803	3062	3001	0.001644774	0.003132317	0.0028591
ALCAM	2719	3198	3002	0.003333443	0.002851467	0.002857345
APLP2	3188	3112	3003	0.002408145	0.003013529	0.002855216
RHBDF1	3675	3167	3004	0.001760475	0.002890953	0.002854025
FCHO2	3232	3164	3005	0.002334376	0.002895575	0.002852466
PTPN14	5362	3237	3006	0.000820134	0.002798597	0.002852406
SMAD5	3066	3077	3007	0.002615603	0.003094318	0.002845979
MUC16	4870	3158	3008	0.000996401	0.002906423	0.002845483
NAT8L	415	1577	3009	0.053562105	0.010836246	0.002844554
NCALD	2582	3144	3010	0.003756228	0.002946202	0.002842203
HLA-E	3572	3311	3011	0.001873064	0.002664295	0.002836707
SALL2	2580	2977	3012	0.003769049	0.003318143	0.00283473
MB21D2	3943	3160	3013	0.001523975	0.002901433	0.002826
AJAP1	18306	3487	3014	0	0.002385702	0.002824796
HECW2	3949	2887	3015	0.001518556	0.003542421	0.002823299
POPDC3	1162	3414	3016	0.014962655	0.002482921	0.002822937
SPATS2L	3841	3123	3017	0.001610548	0.00299438	0.002821298
TOR4A	2382	2873	3018	0.004438286	0.00356477	0.002821103
CHRNA2	7797	4460	3019	0.000422421	0.001405532	0.002820371
KCNH3	1790	2655	3020	0.007503514	0.004163547	0.002817283
PAQR5	2409	3336	3021	0.004337133	0.002619899	0.002816403
TTR	13444	3252	3022	0.000160793	0.002766086	0.002814965
TPPP3	1620	3628	3023	0.009032091	0.002207045	0.002810362
RCAN2	457	1408	3024	0.047325946	0.012619407	0.002809675
OGFOD3	3011	2995	3025	0.002726349	0.003282956	0.002808902
ASCL5	2232	3303	3026	0.005011876	0.002683238	0.002808889
CSNK2A1	2851	3145	3027	0.003007719	0.00294493	0.002804699
TCHP	2521	3097	3028	0.003947953	0.003041826	0.002803522
TREML2	11982	2588	3029	0.000212531	0.004381505	0.002802768
