gene	DS	TRIAGE_RANK
4134	DAAM2	0.009015286	1593
4135	DAB1	0.037582637	546
4136	DAB1-AS1	0	18381
4137	DAB2	0.002887047	2852
4138	DAB2IP	0.081960504	261
4139	DACH1	0.004219078	2368
4140	DACH2	0.002400544	3120
4141	DACT1	0.005286564	2108
4142	DACT2	0.00036654	8326
4143	DACT3	0.084111236	254
4144	DACT3-AS1	0.001994797	3408
4145	DAD1	0.000665869	5855
4146	DAG1	0.000482092	6960
4147	DAGLA	0.007395107	1783
4148	DAGLB	0.000143899	13680
4149	DALRD3	0.000167053	12996
4150	DANCR	0.000409427	7709
4151	DAND5	0	18382
4152	DANT2	0.023118312	830
4153	DAO	4.79e-05	16129
4154	DAP	0.000547015	6511
4155	DAP3	0.000743889	5524
4156	DAPK1	0.002660083	2953
4157	DAPK2	0.000333188	8898
4158	DAPK3	0.000202449	11975
4159	DAPL1	9.95e-05	14865
4160	DAPP1	6.35e-05	15755
4161	DARS	0.000404734	7778
4162	DARS-AS1	0.000116918	14414
4163	DARS2	0.00017747	12696
4164	DAW1	2.47e-05	16855
4165	DAXX	0.000136541	13872
4166	DAZAP1	0.000343423	8717
4167	DAZAP2	0.000239491	10999
4168	DAZL	0	18383
4169	DBF4	0.000196413	12151
4170	DBF4B	0.000676827	5797
4171	DBH	0.003735084	2514
4172	DBH-AS1	0.006394218	1908
4173	DBI	0.000291105	9760
4174	DBIL5P	1.83e-05	17104
4175	DBIL5P2	0	18384
4176	DBN1	0.000968616	4823
4177	DBNDD1	0.000587812	6263
4178	DBNDD2	0.000541855	6546
4179	DBNL	0.000419396	7595
4180	DBP	0.000213677	11673
4181	DBR1	0.000201289	12012
4182	DBT	0.000213116	11693
4183	DBX1	0	18385
4184	DBX2	0.000542895	6541
4185	DCAF1	0.000171062	12881
4186	DCAF10	0.000270919	10203
4187	DCAF11	0.000249492	10758
4188	DCAF12	0.000813627	5262
4189	DCAF12L2	0.000197047	12131
4190	DCAF13	0.000200183	12045
4191	DCAF13P3	1.45e-06	17773
4192	DCAF15	0.000171392	12875
4193	DCAF16	0.000175534	12761
4194	DCAF17	0.00022562	11374
4195	DCAF4	0.000271045	10196
4196	DCAF4L1	7.94e-06	17512
4197	DCAF4L2	0	18386
4198	DCAF5	0.000527622	6628
4199	DCAF6	0.000334385	8873
4200	DCAF7	0.000821826	5237
4201	DCAF8	0.000433163	7444
4202	DCAF8L2	0	18387
4203	DCAKD	0.000471291	7049
4204	DCBLD1	0.001173604	4365
4205	DCBLD2	0.00070246	5684
4206	DCC	0.000574271	6335
4207	DCD	0	18388
4208	DCDC1	0.000148193	13544
4209	DCDC2	0	18389
4210	DCDC2B	5.36e-05	15984
4211	DCDC2C	0	18390
4212	DCHS1	0.010894512	1426
4213	DCHS2	0.003056306	2775
4214	DCK	0.000107232	14678
4215	DCLK1	0.000220318	11490
4216	DCLK2	0.000701395	5687
4217	DCLK3	0.000604422	6166
4218	DCLRE1A	0.000114529	14485
4219	DCLRE1B	8.09e-05	15327
4220	DCLRE1C	0.000367873	8309
4221	DCLRE1CP1	0.000141527	13729
4222	DCN	1.37e-05	17262
4223	DCP1A	0.000262923	10411
4224	DCP1B	0.000305662	9442
4225	DCP2	0.000261809	10450
4226	DCPS	0.000248635	10778
4227	DCST1	0.000133806	13961
4228	DCST2	0.00023617	11090
4229	DCSTAMP	8.2e-05	15299
4230	DCT	0.000133734	13964
4231	DCTD	0.000534101	6588
4232	DCTN1	0.000714581	5635
4233	DCTN1-AS1	9.54e-06	17437
4234	DCTN2	0.000515621	6727
4235	DCTN3	0.000314359	9250
4236	DCTN4	0.001094173	4513
4237	DCTN5	0.000192679	12263
4238	DCTN6	0.000369749	8273
4239	DCTPP1	0.000367867	8310
4240	DCUN1D1	0.000230795	11237
4241	DCUN1D2	0.00018713	12425
4242	DCUN1D3	0.000131146	14044
4243	DCUN1D4	0.000517342	6718
4244	DCUN1D5	0.007955981	1701
4245	DCX	0.005986476	1975
4246	DCXR	0.000540231	6556
4247	DDA1	0.000305788	9437
4248	DDAH1	0.039744229	517
4249	DDAH2	0.000300427	9561
4250	DDB1	0.000525535	6650
4251	DDB2	0.000231613	11216
4252	DDC	0.000106725	14696
4253	DDC-AS1	0	18391
4254	DDHD1	0.000198053	12103
4255	DDHD2	0.000304162	9475
4256	DDI1	3.95e-06	17682
4257	DDI2	0.000149628	13504
4258	DDIAS	0.000190127	12330
4259	DDIT3	0.000156145	13320
4260	DDIT4	0.000250638	10728
4261	DDIT4L	0.002636536	2976
4262	DDN	0.066130364	341
4263	DDOST	0.00030044	9560
4264	DDR1	0.000817514	5247
4265	DDR2	0.000134181	13946
4266	DDRGK1	0.00016787	12972
4267	DDT	5.91e-06	17602
4268	DDTL	1.71e-05	17144
4269	DDX1	0.000370676	8253
4270	DDX10	0.000375277	8185
4271	DDX11	0.000121404	14301
4272	DDX11-AS1	0.000185935	12460
4273	DDX11L2	4.34e-06	17657
4274	DDX12P	5.11e-05	16041
4275	DDX17	0.000438933	7382
4276	DDX18	0.00042694	7511
4277	DDX19A	0.000117732	14388
4278	DDX19B	0.000215203	11629
4279	DDX20	0.000221704	11459
4280	DDX21	0.0002265	11348
4281	DDX23	0.000237449	11052
4282	DDX24	0.000289352	9797
4283	DDX25	0.001707746	3669
4284	DDX27	0.000157518	13278
4285	DDX28	8.87e-05	15123
4286	DDX31	0.009737108	1533
4287	DDX39A	0.000225606	11375
4288	DDX39B	0.000183151	12555
4289	DDX39B-AS1	0	18392
4290	DDX3X	0.001751324	3620
4291	DDX3Y	0.00016578	13037
4292	DDX4	0	18393
4293	DDX41	0.00019074	12315
4294	DDX42	0.000260641	10473
4295	DDX43	0	18394
4296	DDX46	0.000305702	9440
4297	DDX47	3.02e-05	16673
4298	DDX49	0.000175336	12764
4299	DDX5	0.000340959	8749
4300	DDX50	0.000371143	8244
4301	DDX51	0.000181933	12584
4302	DDX52	0.004337089	2332
4303	DDX53	0	18395
4304	DDX54	0.001218079	4285
4305	DDX55	8.18e-05	15307
4306	DDX56	0.000202627	11968
4307	DDX58	0.000208269	11817
4308	DDX59	0.00013761	13832
4309	DDX6	0.000354936	8522
4310	DDX60	0.000114489	14487
4311	DDX60L	8.86e-05	15125
4312	DEAF1	0.000372662	8215
4313	Dec-01	0.000631562	6028
4314	DECR1	0.000305536	9445
4315	DECR2	0.000119566	14347
4316	DEDD	0.000132064	14014
4317	DEDD2	0.000257514	10550
4318	DEF6	0.000421064	7570
4319	DEF8	0.002183503	3266
4320	DEFA6	0	18396
4321	DEFB1	0	18397
4322	DEFB108B	0	18398
4323	DEFB125	0	18399
4324	DEFB129	0	18400
4325	DEGS1	0.000324275	9065
4326	DEGS2	0.001194732	4325
4327	DEK	0.000787923	5356
4328	DENND1A	0.007030045	1821
4329	DENND1B	0.000342103	8735
4330	DENND1C	0.002185852	3265
4331	DENND2A	0.002785495	2902
4332	DENND2C	0.001720757	3655
4333	DENND2D	0.000215318	11625
4334	DENND3	0.001298629	4161
4335	DENND4A	0.000223477	11410
4336	DENND4B	0.000125089	14210
4337	DENND4C	0.000367603	8314
4338	DENND5A	0.000910369	4953
4339	DENND5B	0.002316302	3177
4340	DENND5B-AS1	0.000511514	6754
4341	DENND6A	0.000177453	12698
4342	DENND6B	0.000260523	10475
4343	DENR	0.000208599	11813
4344	DEPDC1	0.000430145	7474
4345	DEPDC1-AS1	7.05e-05	15569
4346	DEPDC1B	0.000485254	6941
4347	DEPDC4	8.8e-05	15142
4348	DEPDC5	0.000235228	11113
4349	DEPDC7	0.000344595	8683
4350	DEPTOR	0.000216832	11586
4351	DERA	0.000404751	7777
4352	DERL1	0.000211094	11754
4353	DERL2	0.000116314	14434
4354	DERL3	0.000859443	5096
4355	DES	0.025199432	774
4356	DESI1	0.000489694	6921
4357	DESI2	0.000436144	7414
4358	DET1	0.000286863	9849
4359	DFFA	0.000109908	14596
4360	DFFB	0.000127031	14154
4361	DFNA5	0.00912023	1587
4362	DFNB59	0.000131987	14016
4363	DGAT1	0.00344053	2621
4364	DGAT2	0.023275918	825
4365	DGAT2L6	0	18401
4366	DGCR11	8.36e-06	17491
4367	DGCR14	0.009544514	1547
4368	DGCR2	0.000678017	5790
4369	DGCR5	0.003065027	2771
4370	DGCR6	0.00021904	11529
4371	DGCR6L	0.000411759	7687
4372	DGCR8	0.000193538	12240
4373	DGCR9	3.44e-05	16534
4374	DGKA	0.000417345	7623
4375	DGKB	0.000591839	6238
4376	DGKD	0.000469824	7063
4377	DGKE	0.00013304	13986
4378	DGKG	0.011749631	1350
4379	DGKH	0.000887305	5019
4380	DGKI	0.027025228	731
4381	DGKK	0.031268247	649
4382	DGKQ	0.001188673	4337
4383	DGKZ	0.003780604	2496
4384	DGUOK	0.000671401	5821
4385	DGUOK-AS1	0.000356035	8506
4386	DHCR24	0.000997465	4730
4387	DHCR7	0.001008774	4703
4388	DHDDS	0.000319581	9155
4389	DHDH	0.000500156	6838
4390	DHFR	0.00023412	11147
4391	DHH	0	18402
4392	DHODH	0.000286234	9855
4393	DHPS	0.000162823	13126
4394	DHRS1	0.000162453	13134
4395	DHRS11	0.000158255	13251
4396	DHRS12	0.000231748	11213
4397	DHRS13	0.000131585	14032
4398	DHRS2	0.000455964	7207
4399	DHRS3	0.008510961	1648
4400	DHRS4	9.23e-05	15043
4401	DHRS4-AS1	0.000128267	14125
4402	DHRS4L1	0.000155241	13346
4403	DHRS4L2	0.000235299	11111
4404	DHRS7	0.000462332	7141
4405	DHRS7B	0.000462527	7138
4406	DHRS7C	0.000903332	4975
4407	DHRS9	5.18e-05	16027
4408	DHTKD1	0.000250052	10745
4409	DHX15	0.000390594	7960
4410	DHX16	0.000163267	13112
4411	DHX29	0.000217547	11571
4412	DHX30	0.00035506	8521
4413	DHX32	0.000309876	9346
4414	DHX33	8.94e-05	15111
4415	DHX34	0.000237951	11034
4416	DHX35	0.000237842	11037
4417	DHX36	0.000349663	8607
4418	DHX37	8.42e-05	15238
4419	DHX38	0.000156587	13308
4420	DHX40	0.000446836	7300
4421	DHX57	0.000249687	10755
4422	DHX58	6.57e-05	15707
4423	DHX8	0.002818281	2885
4424	DHX9	0.000437794	7396
4425	DIABLO	0.0001238	14237
4426	DIAPH1	0.000315378	9228
4427	DIAPH2	0.005990162	1974
4428	DIAPH2-AS1	0	18403
4429	DIAPH3	0.000519704	6698
4430	DIAPH3-AS1	2.65e-05	16800
4431	DIAPH3-AS2	1e-04	14853
4432	DICER1	0.000305947	9432
4433	DICER1-AS1	0.000236892	11068
4434	DIDO1	0.000484763	6944
4435	DIEXF	0.00036515	8347
4436	DIMT1	0.000124476	14223
4437	DIO1	0	18404
4438	DIO2	9.09e-05	15078
4439	DIO2-AS1	3.06e-05	16664
4440	DIO3	0.007787612	1725
4441	DIO3OS	0.004670942	2253
4442	DIP2A	0.000286573	9851
4443	DIP2A-IT1	0	18405
4444	DIP2B	0.000411956	7685
4445	DIP2C	0.019039155	978
4446	DIRAS1	0.002426821	3108
4447	DIRAS2	0	18406
4448	DIRAS3	0.000748498	5512
4449	DIRC2	0.000250057	10744
4450	DIRC3	0.00621057	1932
4451	DIRC3-AS1	0	18407
4452	DIS3	0.000150694	13480
4453	DIS3L	0.000304541	9466
4454	DIS3L2	0.000810312	5276
4455	DISC1	0.000750854	5501
4456	DISC1-IT1	4.84e-05	16118
4457	DISC1FP1	0.000377734	8140
4458	DISP1	0.000433159	7445
4459	DISP2	0.000236289	11085
4460	DISP3	0.013498962	1234
4461	DIXDC1	0.000835852	5183
4462	DKC1	0.000311774	9312
4463	DKFZP434A062	0.000119929	14337
4464	DKFZP434H168	0.00014435	13667
4465	DKFZP434K028	8.33e-05	15263
4466	DKFZP434L187	1.63e-06	17767
4467	DKFZp779M0652	9.32e-05	15014
4468	DKK1	0.012811221	1268
4469	DKK2	0.000316911	9201
4470	DKK3	0.030594151	664
4471	DKK4	9.91e-05	14877
4472	DKKL1	0.001643459	3731
4473	DLAT	0.000300407	9562
4474	DLC1	0.001318989	4138
4475	DLD	0.000242912	10927
4476	DLEC1	0.00042901	7489
4477	DLEU1	0.00571665	2021
4478	DLEU1-AS1	0	18408
4479	DLEU2	0.000277096	10062
4480	DLEU2L	3.96e-06	17679
4481	DLEU7	0.000476182	7005
4482	DLEU7-AS1	0.000475983	7006
4483	DLG1	0.00060765	6145
4484	DLG1-AS1	0.000180434	12624
4485	DLG2	0.00458597	2278
4486	DLG3	0.049849905	431
4487	DLG3-AS1	0	18409
4488	DLG4	0.000508383	6779
4489	DLG5	0.000663588	5862
4490	DLG5-AS1	0.000400766	7825
4491	DLGAP1	0.001412976	4008
4492	DLGAP1-AS1	0.000251833	10701
4493	DLGAP1-AS2	7.65e-05	15418
4494	DLGAP1-AS3	0	18410
4495	DLGAP1-AS4	0	18411
4496	DLGAP1-AS5	0	18412
4497	DLGAP2	0.001216327	4289
4498	DLGAP3	0.023955893	802
4499	DLGAP4	0.119870743	172
4500	DLGAP4-AS1	0.00027005	10231
4501	DLGAP5	0.00043842	7387
4502	DLK1	0.115895105	182
4503	DLK2	0.000602272	6180
4504	DLL1	0.029644187	685
4505	DLL3	0.110123926	194
4506	DLL4	0.008750076	1622
4507	DLST	0.00029524	9680
4508	DLX1	0	18413
4509	DLX2	0.031731061	641
4510	DLX3	0.163054543	115
4511	DLX4	0.154181614	122
4512	DLX5	0.001564719	3825
4513	DLX6	0	18414
4514	DMAP1	0.00029675	9633
4515	DMBT1	0.000248402	10781
4516	DMBT1P1	6.26e-05	15778
4517	DMBX1	0.002216283	3245
4518	DMC1	0.000295475	9676
4519	DMD	0.015799229	1101
4520	DMGDH	0.002380621	3135
4521	DMKN	0.068225618	326
4522	DMP1	1.18e-05	17344
4523	DMPK	0.005985539	1976
4524	DMRT1	0.010807341	1433
4525	DMRT2	0.02485791	783
4526	DMRT3	0	18415
4527	DMRTA1	0.003275791	2675
4528	DMRTA2	0	18416
4529	DMRTB1	0	18417
4530	DMRTC2	0.000308599	9371
4531	DMTF1	0.000256267	10579
4532	DMTN	0.028789594	696
4533	DMWD	0.001553735	3840
4534	DMXL1	0.00066017	5876
4535	DMXL2	0.001534839	3861
4536	DNA2	0.000232636	11198
4537	DNAAF1	0.000515387	6730
4538	DNAAF2	0.000133183	13980
4539	DNAAF3	0.028162267	714
4540	DNAAF5	0.000270992	10199
4541	DNAH1	0.002230286	3234
4542	DNAH10	0.004344386	2330
4543	DNAH11	0.004110499	2404
4544	DNAH12	0.000135956	13894
4545	DNAH14	0.001532621	3866
4546	DNAH17	0.002153069	3287
4547	DNAH17-AS1	0	18418
4548	DNAH2	0.020920879	912
4549	DNAH3	0.000182215	12580
4550	DNAH5	5.76e-05	15894
4551	DNAH6	6.46e-05	15730
4552	DNAH7	0.000241963	10939
4553	DNAH8	0.001749403	3623
4554	DNAH9	0.000396591	7882
4555	DNAI1	0.007067868	1816
4556	DNAI2	0	18419
4557	DNAJA1	0.000318289	9178
4558	DNAJA2	0.000262514	10429
4559	DNAJA3	0.000282972	9922
4560	DNAJA4	0.000409461	7708
4561	DNAJB1	0.000220406	11488
4562	DNAJB11	0.00013203	14015
4563	DNAJB12	0.000213252	11686
4564	DNAJB13	0.000100543	14837
4565	DNAJB14	0.000146549	13595
4566	DNAJB2	0.000348763	8619
4567	DNAJB4	0.000311537	9320
4568	DNAJB5	0.000338404	8801
4569	DNAJB5-AS1	0	18420
4570	DNAJB6	0.000599818	6193
4571	DNAJB7	1.36e-06	17778
4572	DNAJB8	0.001933633	3462
4573	DNAJB9	0.000129167	14104
4574	DNAJC1	0.000644292	5957
4575	DNAJC10	0.000665027	5858
4576	DNAJC11	0.00030389	9479
4577	DNAJC12	0.000197852	12109
4578	DNAJC13	0.000356474	8498
4579	DNAJC14	0.00012184	14292
4580	DNAJC15	0.000133092	13984
4581	DNAJC16	0.000152146	13436
4582	DNAJC17	0.000133534	13972
4583	DNAJC18	0.000462363	7140
4584	DNAJC19	0.000429895	7480
4585	DNAJC2	0.000148825	13530
4586	DNAJC21	0.000157746	13268
4587	DNAJC22	0.016128806	1090
4588	DNAJC24	0.000232473	11201
4589	DNAJC25	0.000100387	14841
4590	DNAJC27	8.78e-05	15146
4591	DNAJC27-AS1	0.000764422	5445
4592	DNAJC28	7.97e-05	15362
4593	DNAJC3	0.00030317	9496
4594	DNAJC3-AS1	9.39e-05	14998
4595	DNAJC30	5.66e-05	15920
4596	DNAJC4	0.000314755	9239
4597	DNAJC5	0.000311933	9308
4598	DNAJC5B	0	18421
4599	DNAJC5G	0.001872958	3506
4600	DNAJC6	0.003694784	2530
4601	DNAJC7	0.000187843	12397
4602	DNAJC8	0.000398651	7857
4603	DNAJC9	8.19e-05	15303
4604	DNAJC9-AS1	0.00060691	6151
4605	DNAL1	0.000123165	14250
4606	DNAL4	0.003271457	2676
4607	DNALI1	0.000317196	9197
4608	DNASE1	9.24e-05	15036
4609	DNASE1L1	0.000189159	12360
4610	DNASE1L2	0.000252634	10672
4611	DNASE1L3	6.44e-05	15733
4612	DNASE2	0.000855846	5109
4613	DNER	0.001540378	3854
4614	DNHD1	0.000161126	13167
4615	DNLZ	4.85e-05	16113
4616	DNM1	0.001854566	3522
4617	DNM1L	0.000260975	10470
4618	DNM1P35	7.95e-05	15366
4619	DNM1P46	5.35e-05	15985
4620	DNM2	0.000395667	7894
4621	DNM3	0.000412861	7672
4622	DNM3OS	1.84e-06	17761
4623	DNMBP	0.000517898	6711
4624	DNMBP-AS1	1.26e-05	17310
4625	DNMT1	0.000315807	9219
4626	DNMT3A	0.000736273	5555
4627	DNMT3B	0.000390451	7961
4628	DNMT3L	0.000551945	6475
4629	DNPEP	0.002602991	2993
4630	DNPH1	0.004186706	2380
4631	DNTT	0	18422
4632	DNTTIP1	0.000211111	11751
4633	DNTTIP2	0.000102812	14783
4634	DOC2A	0.001174773	4363
4635	DOC2B	0.002760211	2910
4636	DOC2GP	0.000518578	6706
4637	DOCK1	0.003325046	2656
4638	DOCK10	0	18423
4639	DOCK11	0.002297672	3188
4640	DOCK2	0.008215225	1675
4641	DOCK3	0.008517287	1646
4642	DOCK4	0.00535164	2093
4643	DOCK4-AS1	1.88e-05	17081
4644	DOCK5	0.000662043	5868
4645	DOCK6	0.00181529	3561
4646	DOCK7	0.000404585	7782
4647	DOCK8	0.000249915	10748
4648	DOCK9	0.018441788	1001
4649	DOCK9-AS1	4.56e-05	16180
4650	DOCK9-AS2	0.001608326	3770
4651	DOHH	0.000117602	14397
4652	DOK1	0.011819672	1343
4653	DOK2	5.16e-05	16031
4654	DOK3	3.09e-05	16651
4655	DOK4	0.001629632	3742
4656	DOK5	0.000541742	6547
4657	DOK6	0.002641235	2971
4658	DOK7	0.152485224	125
4659	DOLK	0.000125077	14211
4660	DOLPP1	0.000196772	12141
4661	DONSON	0.000167701	12976
4662	DOPEY1	0.000226784	11337
4663	DOPEY2	0.00012247	14275
4664	DOT1L	0.000174655	12788
4665	DPAGT1	7.49e-05	15448
4666	DPCD	0.000635074	6003
4667	DPCR1	0.002504239	3061
4668	DPEP1	0.000385476	8034
4669	DPEP2	8.72e-05	15159
4670	DPEP3	8e-05	15354
4671	DPF1	0.024145431	797
4672	DPF2	0.000256909	10565
4673	DPF3	0.028196041	710
4674	DPH1	0.000862082	5089
4675	DPH2	0.000125561	14195
4676	DPH3	0.000147524	13570
4677	DPH5	0.00020366	11947
4678	DPH6	0.000113415	14516
4679	DPH6-AS1	0.000318011	9184
4680	DPH7	0.000190548	12324
4681	DPM1	0.000235472	11107
4682	DPM2	0.000129817	14082
4683	DPM3	0.001942737	3450
4684	DPP10	0.000955148	4853
4685	DPP10-AS1	0	18424
4686	DPP3	0.000200638	12033
4687	DPP4	5.49e-05	15951
4688	DPP6	0.012058389	1325
4689	DPP7	0.002322697	3172
4690	DPP8	0.000164382	13081
4691	DPP9	0.000146637	13593
4692	DPP9-AS1	7.55e-06	17531
4693	DPPA2	0	18425
4694	DPPA3	0	18426
4695	DPPA4	0.000405626	7763
4696	DPPA5	0	18427
4697	DPRX	3.08e-05	16656
4698	DPRXP4	0	18428
4699	DPT	2.94e-05	16706
4700	DPY19L1	0.000554488	6461
4701	DPY19L1P1	0.000396952	7877
4702	DPY19L1P2	0.000113672	14508
4703	DPY19L2	0.000249322	10761
4704	DPY19L2P1	0.000868346	5072
4705	DPY19L2P2	0.000425369	7527
4706	DPY19L2P3	6.97e-05	15589
4707	DPY19L2P4	0	18429
4708	DPY19L3	0.000238195	11027
4709	DPY19L4	0.000252378	10681
4710	DPY30	0.00018745	12412
4711	DPYD	0.000106968	14687
4712	DPYS	0.000129545	14090
4713	DPYSL2	0.097472284	218
4714	DPYSL3	0.020750488	921
4715	DPYSL4	0.012988249	1255
4716	DPYSL5	0.130340223	153
4717	DQX1	0	18430
4718	DR1	0.000120886	14318
4719	DRAIC	0.000925373	4911
4720	DRAM1	0.000142861	13707
4721	DRAM2	0.000191754	12288
4722	DRAP1	0.001456072	3956
4723	DRAXIN	0.007974027	1696
4724	DRC1	2.38e-05	16883
4725	DRC3	0.00010679	14692
4726	DRC7	0.000688258	5744
4727	DRD1	0.024038265	799
4728	DRD2	0.005866057	2006
4729	DRD3	0.00060568	6158
4730	DRD4	0.001430567	3988
4731	DRD5	0.0005471	6509
4732	DRG1	0.000338988	8789
4733	DRG2	0.000248588	10780
4734	DRGX	0	18431
4735	DRICH1	0	18432
4736	DROSHA	0.000282575	9932
4737	DRP2	0.00142457	3996
4738	DSC1	1.59e-05	17180
4739	DSC2	0.00153478	3863
4740	DSC3	0.000981979	4782
4741	DSCAM	0.003711814	2523
4742	DSCAM-AS1	0	18433
4743	DSCAML1	0.030853759	657
4744	DSCAS	0.000336043	8845
4745	DSCC1	0.000109052	14627
4746	DSCR3	0.000225056	11384
4747	DSCR4	0.000276666	10073
4748	DSCR9	0	18434
4749	DSE	0.001209303	4303
4750	DSEL	6.28e-05	15773
4751	DSG1	0	18435
4752	DSG1-AS1	0	18436
4753	DSG2	0.003895758	2468
4754	DSG2-AS1	3.59e-05	16498
4755	DSG3	7.01e-06	17555
4756	DSG4	3.14e-05	16635
4757	DSN1	0.000145118	13642
4758	DSP	0.314883421	48
4759	DSPP	1.25e-05	17313
4760	DST	0.009010173	1594
4761	DSTN	0.000644304	5956
4762	DSTNP2	1.88e-05	17082
4763	DSTYK	0.000262761	10422
4764	DTD1	0.00059683	6211
4765	DTD2	0.000112341	14537
4766	DTHD1	0	18437
4767	DTL	0.000372173	8225
4768	DTNA	0.00168039	3693
4769	DTNB	0.002326235	3170
4770	DTNBP1	0.000999694	4726
4771	DTWD1	0.000139071	13794
4772	DTWD2	0.000213541	11678
4773	DTX1	0.004010911	2435
4774	DTX2	4.8e-05	16127
4775	DTX2P1-UPK3BP1-PMS2P11	1.06e-06	17793
4776	DTX3	0.000868406	5071
4777	DTX3L	2.34e-05	16897
4778	DTX4	0.002313695	3180
4779	DTYMK	0.000202195	11982
4780	DUBR	0.000475858	7010
4781	DUOX1	0.013448004	1236
4782	DUOX2	0.004871159	2211
4783	DUOXA1	0.011616066	1365
4784	DUOXA2	0.00575351	2017
4785	DUS1L	0.000230611	11247
4786	DUS2	0.000199438	12069
4787	DUS3L	0.000317772	9188
4788	DUS4L	0.000100003	14851
4789	DUSP1	0.000257675	10546
4790	DUSP10	0.000613898	6110
4791	DUSP11	0.000255264	10604
4792	DUSP12	0.000633431	6014
4793	DUSP13	0.000277193	10059
4794	DUSP14	0.000449253	7279
4795	DUSP15	0.047072998	454
4796	DUSP16	0.00036935	8282
4797	DUSP18	0.000325138	9046
4798	DUSP19	0.000938859	4879
4799	DUSP2	0.001038725	4637
4800	DUSP22	0.002971045	2818
4801	DUSP23	0.000536859	6572
4802	DUSP26	0.008551659	1639
4803	DUSP27	0.006399363	1906
4804	DUSP28	0.000193108	12247
4805	DUSP3	0.000786879	5362
4806	DUSP4	0.015683791	1107
4807	DUSP5	0.014535868	1167
4808	DUSP5P1	0	18438
4809	DUSP6	0.001833832	3543
4810	DUSP7	0.000368508	8298
4811	DUSP8	0.003621601	2556
4812	DUSP9	0.067424364	333
4813	DUT	0.000334836	8866
4814	DVL1	0.000275179	10106
4815	DVL2	0.000191586	12294
4816	DVL3	0.000236969	11064
4817	DXO	0.000115969	14445
4818	DYDC2	8.61e-05	15190
4819	DYM	0.000667819	5847
4820	DYNAP	0	18439
4821	DYNC1H1	0.000605116	6161
4822	DYNC1I1	0.043013555	488
4823	DYNC1I2	0.000763415	5450
4824	DYNC1LI1	0.000281498	9962
4825	DYNC1LI2	0.0005474	6505
4826	DYNC2H1	0.001498982	3909
4827	DYNC2LI1	0.000435779	7420
4828	DYNLL1	0.000468513	7079
4829	DYNLL2	0.000122999	14254
4830	DYNLRB1	0.000366199	8334
4831	DYNLRB2	0	18440
4832	DYNLT1	0.000353947	8538
4833	DYNLT3	0.002257421	3215
4834	DYRK1A	0.000378349	8130
4835	DYRK1B	0.000109558	14609
4836	DYRK2	0.000474709	7023
4837	DYRK3	0.000459152	7168
4838	DYRK4	0.002990584	2807
4839	DYSF	0.099722341	211
4840	DYTN	0	18441
4841	DYX1C1	2.75e-05	16774
4842	DZANK1	0.000228609	11291
4843	DZIP1	0.001735568	3643
4844	DZIP1L	0.000740725	5536
4845	DZIP3	0.000346358	8657
4846	E2F1	0.00028166	9958
4847	E2F2	0.000216828	11587
4848	E2F3	0.000431781	7460
4849	E2F4	0.000302505	9512
4850	E2F5	0.000467892	7086
4851	E2F6	0.000778412	5390
4852	E2F7	0.000454136	7224
4853	E2F8	0.00277551	2907
4854	E4F1	0.0005896	6247
4855	EAF1	6.89e-05	15612
4856	EAF2	0.000197525	12115
4857	EAPP	0.000212772	11705
4858	EARS2	0.000186518	12442
4859	EBAG9	0.000201141	12019
4860	EBF1	0.006005586	1970
4861	EBF2	0.054701171	395
4862	EBF3	0.037159207	554
4863	EBF4	0.160352246	119
4864	EBI3	0.000992952	4746
4865	EBLN1	0	18442
4866	EBLN2	3.07e-05	16661
4867	EBNA1BP2	0.000236928	11066
4868	EBP	0.000403985	7788
4869	EBPL	0.000271822	10179
4870	ECD	0.000171816	12859
4871	ECE1	0.001950623	3444
4872	ECE2	0.026978956	734
4873	ECEL1	0.103326669	204
4874	ECEL1P2	0.006766892	1846
4875	ECH1	0.00025326	10655
4876	ECHDC1	0.000251516	10710
4877	ECHDC2	0.001404206	4024
4878	ECHDC3	0.000676783	5798
4879	ECHS1	0.001129696	4449
4880	ECI1	0.000251843	10700
4881	ECI2	0.000267652	10294
4882	ECM1	3.52e-05	16513
4883	ECM2	4.24e-06	17664
4884	ECSCR	3.98e-05	16358
4885	ECSIT	0.000302527	9511
4886	ECT2	0.000326861	9019
4887	ECT2L	8.62e-05	15186
4888	EDA	0.006323578	1917
4889	EDA2R	0.00117136	4372
4890	EDAR	0.000599022	6200
4891	EDARADD	0.000335971	8848
4892	EDC3	0.00117161	4371
4893	EDC4	0.000195417	12185
4894	EDDM3A	0.000158794	13235
4895	EDDM3B	0.000239702	10991
4896	EDEM1	0.000143129	13701
4897	EDEM2	0.000399966	7837
4898	EDEM3	0.000439179	7374
4899	EDF1	0.000886483	5022
4900	EDIL3	0.001681702	3692
4901	EDN1	0.000824326	5224
4902	EDN2	0.000986015	4771
4903	EDN3	0	18443
4904	EDNRA	0.005379681	2084
4905	EDNRB	0.001744927	3632
4906	EDNRB-AS1	0	18444
4907	EDRF1	0.000233363	11171
4908	EDRF1-AS1	5.61e-06	17612
4909	EEA1	0.000207595	11837
4910	EED	0.000379132	8121
4911	EEF1A1	0.000834318	5187
4912	EEF1A2	0.541440497	19
4913	EEF1AKMT1	0.000240686	10965
4914	EEF1B2	0.00033385	8887
4915	EEF1D	0.00032287	9101
