	DIS
EVX2	0.010055255
EWSAT1	0.00030811
EWSR1	0.000412719
EXD1	8.92E-05
EXD2	0.000320387
EXD3	0.014658794
EXO1	0.000223319
EXO5	0.000171496
EXOC1	0.000736238
EXOC2	0.000601778
EXOC3	0.000279798
EXOC3-AS1	8.65E-05
EXOC3L1	0.000333675
EXOC3L2	0.001156198
EXOC3L4	0.00757752
EXOC4	0.000647703
EXOC5	0.000191789
EXOC6	0.026670756
EXOC6B	0.001059253
EXOC7	0.000922
EXOC8	8.45E-05
EXOG	8.86E-05
EXOSC1	0.000183762
EXOSC10	0.000296568
EXOSC2	0.000557167
EXOSC3	0.000477445
EXOSC4	0.000224922
EXOSC5	0.000143361
EXOSC6	0.000143291
EXOSC7	0.000266198
EXOSC8	0.000136065
EXOSC9	0.000252158
EXPH5	0.001747725
EXT1	0.002014396
EXT2	0.000835213
EXTL1	0.007607045
EXTL2	0.000382351
EXTL3	0.000688393
EXTL3-AS1	4.70E-05
EYA1	0.002123008
EYA2	0.012709406
EYA3	0.000257974
EYA4	0.001547448
EYS	0.000307219
EZH1	0.000868103
EZH2	0.000336434
EZR	0.00084383
EZR-AS1	0
F10	0.006272932
F11	2.73E-05
F11R	0.000808661
F12	0.006445478
F13A1	0.004944606
F13B	1.47E-05
F2	1.90E-05
F2R	0.002155148
F2RL1	0.001046484
F2RL2	0.000118942
F2RL3	0.000163198
F3	0.001403296
F5	0.000538369
F7	0.002752218
F8	0.00027151
F8A1	3.51E-06
F9	0
FA2H	0.000174322
FAAH	0.005470134
FAAH2	0.000362222
FAAHP1	0.025866911
FAAP100	0.000990806
FAAP20	0.000627117
FAAP24	4.33E-05
FABP1	0.000580006
FABP2	0.000448029
FABP3	0.000851312
FABP5	0.00036233
FABP5P3	0
FABP6	6.10E-05
FABP7	0.000525192
FADD	0.000738346
FADS1	0.000823071
FADS2	0.002941148
FADS3	0.000749241
FADS6	0.026519502
FAF1	0.003812373
FAF2	0.000310422
FAH	0.000979633
FAHD1	0.000348246
FAHD2A	0.000334822
FAHD2B	0.000542239
FAHD2CP	0.000387455
FAIM	0.000122581
FAIM2	0.002083211
FALEC	7.50E-05
FAM102A	0.000239804
FAM102B	0.000391015
FAM103A1	0.000148078
FAM104A	0.000148285
FAM104B	0.002723113
FAM105A	0.002883355
FAM106A	1.03E-07
FAM107A	0
FAM107B	0.001237649
FAM109A	0.000419183
FAM109B	5.21E-05
FAM110A	0.000854211
FAM110B	0.002021369
FAM110C	0.002598914
FAM110D	0.03730246
FAM111A	0.000102818
FAM111B	0.002478955
FAM114A1	0.000697119
FAM114A2	0.000201261
FAM117A	0.000343057
FAM117B	0.000223358
FAM118A	0.00027328
FAM118B	0.000290998
FAM120A	0.000352116
FAM120AOS	0.000187352
FAM120B	0.112637555
FAM120C	0.000503905
FAM122A	8.46E-05
FAM122B	0.000746259
FAM122C	0.000469143
FAM124A	0.001564088
FAM124B	6.10E-05
FAM126A	0.000386373
FAM126B	0.000110639
FAM127A	0.00113998
FAM127B	0.001383917
FAM127C	0.00206532
FAM129A	0.000379521
FAM129B	0.000776544
FAM129C	7.64E-05
FAM131A	0.00020719
FAM131B	0.001409298
FAM131C	0.003676096
FAM132A	0.000512536
FAM133A	0.000176023
FAM133B	0.000434611
FAM133CP	1.72E-05
FAM133DP	3.89E-05
FAM134A	0.000243921
FAM134B	0.001269908
FAM134C	0.000201436
FAM135A	0.000312219
FAM135B	0.001251082
FAM136A	0.000324482
FAM138B	0
FAM13A	0.000571385
FAM13A-AS1	4.17E-05
FAM13B	0.00018005
FAM13C	0.000896321
FAM149A	0.000508978
FAM149B1	0.000198437
FAM150A	0
FAM150B	0.000443172
FAM151A	0.000283347
FAM151B	9.12E-05
FAM153A	0
FAM153B	3.11E-06
FAM153C	0
FAM155A	0.000207846
FAM155A-IT1	0
FAM155B	0.004026098
FAM156A	0.001326926
FAM157A	4.39E-05
FAM157C	0
FAM159A	0.000137735
FAM159B	0.000463157
FAM160A1	0.00438929
FAM160A2	0.000177359
FAM160B1	0.001024684
FAM160B2	0.001041745
FAM161A	0.000113202
FAM161B	7.32E-05
FAM162A	0.00045634
FAM162B	0
FAM163A	0.007599218
FAM163B	0.009051486
FAM166A	0.000135005
FAM166B	2.28E-05
FAM167A	0.026470543
FAM167A-AS1	0
FAM167B	7.70E-05
FAM168A	0.000492716
FAM168B	0.000329181
FAM169A	0.000743459
FAM169B	0.000105093
FAM170A	9.63E-05
FAM170B-AS1	0
FAM171A1	0.011675239
FAM171A2	0.009931118
FAM171B	0.000398729
FAM172A	0.059061923
FAM172BP	0
FAM173A	0.000358896
FAM173B	0.00014142
FAM174A	0.00026753
FAM174B	0.001411861
FAM175A	0.000139768
FAM175B	0.000369981
FAM177A1	0.000118193
FAM177B	0
FAM178B	0.000226748
FAM179A	2.32E-05
FAM179B	0.000298299
FAM180A	1.67E-05
FAM180B	1.68E-05
FAM181A	0.00055203
FAM181A-AS1	0.000404333
FAM181B	0.003651866
FAM182A	4.40E-06
FAM182B	3.43E-05
FAM183A	0.001091912
FAM183BP	1.68E-05
FAM183CP	0
FAM184A	0.00203364
FAM184B	0.000355632
FAM185A	0.000106499
FAM186A	0
FAM186B	4.17E-05
FAM188A	0.012915597
FAM188B	0.001094078
FAM189A1	0.008449377
FAM189A2	0.006848332
FAM189B	0.000130176
FAM192A	0.00027329
FAM193A	0.000187705
FAM193B	0.000193674
FAM196A	0.000130448
FAM196B	0.00094809
FAM198A	0.000558099
FAM198B	0.000534178
FAM199X	0.001902048
FAM19A1	0.00012068
FAM19A2	0.000735005
FAM19A3	0
FAM19A4	0.275283253
FAM19A5	0.020044108
FAM200A	7.06E-05
FAM200B	0.000143483
FAM201A	0.001698292
FAM201B	0.000660164
FAM204A	0.000213957
FAM205A	2.05E-05
FAM205BP	0
FAM205C	0
FAM206A	0.000118109
FAM207A	0.000455509
FAM208A	0.000319899
FAM208B	0.001380467
FAM209B	3.20E-05
FAM20A	0.009223521
FAM20B	0.000501931
FAM20C	0.004333868
FAM210A	0.000237981
FAM210B	0.000703602
FAM212A	0.000184144
FAM212B	0.001792998
FAM212B-AS1	0.000710176
FAM213A	0.001549734
FAM213B	0.000274645
FAM214A	0.000247623
FAM214B	0.000263668
FAM216A	0.000161699
FAM216B	0
FAM217A	4.88E-05
FAM217B	0.000353427
FAM218A	0.001093869
FAM219A	0.000463331
FAM219B	0.000116049
FAM21EP	0.00014698
FAM220A	0.000244842
FAM221A	5.08E-06
FAM221B	3.83E-05
FAM222A	0.032295076
FAM222A-AS1	0
FAM222B	0.000132904
FAM227A	0.000272394
FAM227B	0.000503806
FAM228A	0.000170928
FAM228B	0.000212623
FAM229A	0.000213545
FAM229B	0.000519874
FAM234A	0.000270386
FAM234B	0.000732429
FAM24B	0
FAM26D	0
FAM26E	1.29E-05
FAM26F	0.000526341
FAM27C	4.11E-08
FAM27E3	3.62E-07
FAM32A	0.00069335
FAM35A	0.00019099
FAM35BP	2.05E-06
FAM35DP	4.95E-06
FAM3A	0.001572499
FAM3B	0.0003881
FAM3C	0.000198602
FAM3D	0
FAM3D-AS1	0
FAM41C	0
FAM43A	0.000380964
FAM43B	0.069834684
FAM45A	0.000635576
FAM45BP	0.000220516
FAM46A	0.000553703
FAM46B	0.001323572
FAM46C	0.00411273
FAM47E	0.001803067
FAM49A	0.000840801
FAM49B	0.001074605
FAM50A	0.000649039
FAM50B	1.90E-05
FAM53A	0.000904842
FAM53B	0.000391358
FAM53B-AS1	0
FAM53C	0.000218585
FAM57A	0.000475968
FAM57B	0.001508475
FAM58A	0.0119658
FAM60A	0.000611827
FAM63A	0.000225562
FAM63B	0.000231135
FAM64A	0.000727738
FAM65A	0.003638796
FAM65B	0.000924918
FAM65C	0.000752538
FAM66A	0.000115728
FAM66B	0
FAM66C	1.56E-05
FAM66D	0.000182944
FAM66E	2.14E-07
FAM69A	0.000385567
FAM69B	0.022560924
FAM69C	0
FAM71C	0
FAM71D	0
FAM71E1	0.00082266
FAM71E2	0
FAM71F1	0
FAM72A	7.62E-06
FAM72B	1.35E-06
FAM72C	9.59E-07
FAM72D	4.50E-06
FAM76A	0.000131759
FAM76B	8.36E-05
FAM78A	0.006550308
FAM78B	0.000919834
FAM81A	0.002589283
FAM81B	9.53E-05
FAM83A	0
FAM83A-AS1	0
FAM83B	0.00037728
FAM83C	4.45E-05
FAM83C-AS1	0
FAM83D	0.000513963
FAM83E	0
FAM83F	0.002557209
FAM83G	0.000235903
FAM83H	0.012371405
FAM83H-AS1	0.00703452
FAM84A	0.004307118
FAM84B	0.000849104
FAM86B1	4.33E-06
FAM86B2	1.38E-06
FAM86B3P	7.29E-05
FAM86C1	4.37E-05
FAM86C2P	0.000166472
FAM86DP	5.32E-05
FAM86EP	0.000201465
FAM86FP	0.000119887
FAM86HP	7.25E-05
FAM86JP	3.67E-05
FAM87A	4.67E-05
FAM87B	1.15E-06
FAM89A	0.023744745
FAM89B	5.64E-05
FAM8A1	0.000199591
FAM90A1	2.21E-05
FAM90A25P	1.44E-06
FAM90A2P	7.22E-07
FAM91A1	0.000558004
FAM92B	0
FAM95B1	0
FAM95C	3.42E-05
FAM96A	0.000273052
FAM96B	0.000856375
FAM98A	0.000159143
FAM98B	0.000610644
FAM98C	0.000273817
FAM9B	0
FAN1	0.000273078
FANCA	0.00023056
FANCB	0.000345536
FANCC	0.000865278
FANCD2	0.000236495
FANCD2OS	0
FANCE	0.000456369
FANCF	6.62E-05
FANCG	0.000102973
FANCI	0.000513841
FANCL	0.0004868
FANCM	0.000114927
FANK1	0.00238985
FAP	2.93E-05
FAR1	0.000438236
FAR2	0.000234499
FAR2P1	0
FAR2P2	8.17E-05
FARP1	0.005143982
FARP2	0.009924992
FARS2	0.000791937
FARSA	0.000178726
FARSB	0.000352189
FAS	0.000207417
FASLG	0
FASN	0.00026515
FASTK	0.000202223
FASTKD1	0.000381909
FASTKD2	0.000388106
FASTKD3	9.13E-05
FASTKD5	0.00014322
FAT1	0.00407002
FAT2	0.00019782
FAT3	0.006650728
FAT4	0.000558446
FATE1	0.003155759
FAU	0.000139029
FAXC	0.002799478
FAXDC2	0.000219281
FBF1	7.12E-05
FBL	0.000475501
FBLIM1	0.003975241
FBLL1	0.001473522
FBLN1	0.0206634
FBLN2	0.045222598
FBLN5	0.000329726
FBLN7	0.000729698
FBN1	0.001361494
FBN2	0.003960981
FBN3	0.00626008
FBP1	0.004000723
FBP2	0.00049696
FBRS	0.003285271
FBRSL1	0.013592187
FBXL12	0.000147691
FBXL13	0.000351363
FBXL14	0.006135039
FBXL15	0.000251917
FBXL16	0.036417763
FBXL17	0.000662679
FBXL18	9.70E-05
FBXL19	0.000190722
FBXL19-AS1	1.09E-05
FBXL2	0.001298955
FBXL20	0.000200227
FBXL21	0
FBXL22	0.000269176
FBXL3	0.000144058
FBXL4	0.000359917
FBXL5	0.000358687
FBXL6	0.001549405
FBXL7	0.002401667
FBXL8	0.014395256
FBXO10	0.000152304
FBXO11	0.000212822
FBXO15	0.000360157
FBXO16	0.000514479
FBXO17	0.002148869
FBXO18	0.000417777
FBXO2	0.017694933
FBXO21	0.001716307
FBXO22	0.000147672
FBXO24	7.08E-05
FBXO25	0.000519958
FBXO27	0.001850713
FBXO28	0.000568964
FBXO3	0.014839568
FBXO30	0.000100785
FBXO31	0.000466961
FBXO32	0.00143716
FBXO33	0.000244853
FBXO34	0.000338526
FBXO36	0.000217938
FBXO38	0.000301849
FBXO39	0
FBXO4	7.40E-05
FBXO40	0.000968997
FBXO41	0.001448806
FBXO42	0.000264232
FBXO43	0.00012267
FBXO44	0.007121536
FBXO45	0.000106153
FBXO46	0.000188689
FBXO47	0
FBXO48	3.38E-05
FBXO5	0.000155292
FBXO6	0.000228318
FBXO7	0.002020815
FBXO8	0.00019993
FBXO9	0.000283878
FBXW10	1.70E-05
FBXW11	0.001085146
FBXW12	0.000276642
FBXW2	0.000204271
FBXW4	0.001655393
FBXW4P1	2.34E-06
FBXW5	0.000334397
FBXW7	0.000374958
FBXW8	0.002641733
FBXW9	0.000133293
FCAMR	0
FCER1A	0.000234973
FCER1G	1.03E-05
FCER2	0.000167159
FCF1	0.000139612
FCF1P2	2.06E-05
FCGBP	0.000422328
FCGR1A	1.33E-05
FCGR1B	1.33E-06
FCGR2A	0.000906457
FCGR2B	4.30E-05
FCGR2C	1.91E-05
FCGR3A	0
FCGR3B	0
FCGRT	0.000293419
FCHO1	0.000370972
FCHO2	0.002073319
FCHSD1	0.000116879
FCHSD2	0.000450727
FCMR	0.00205127
FCN1	0
FCN3	0.00076326
FCRL1	4.12E-05
FCRL2	3.13E-05
FCRL3	4.64E-05
FCRL4	0.000362206
FCRL5	6.28E-05
FCRL6	0
FCRLA	0
FCRLB	0.012736366
FDFT1	0.000506035
FDPS	0.000261257
FDX1	0.000307515
FDXACB1	1.32E-05
FDXR	0.001011273
FECH	0.000415667
FEM1A	0.000145151
FEM1B	0.000209165
FEM1C	0.00013498
FEN1	0.000104851
FENDRR	0
FER	0.001003832
FER1L4	0.001939132
FER1L5	0.000186388
FER1L6	0.004402747
FERMT1	0.006386271
FERMT2	0.001645567
FERMT3	2.22E-05
FES	0.000235376
FETUB	0
FEV	0
FEZ1	0.013102002
FEZ2	0.000303274
FEZF1	0
FEZF2	0
FFAR4	0.001026338
FGA	0.000282429
FGB	0.000465983
FGD1	0.004047274
FGD2	0
FGD3	0.000656597
FGD4	0.000371436
FGD5	0.002977152
FGD5-AS1	0.000159073
FGD5P1	0
FGD6	0.00054603
FGF1	0.00020277
FGF10	0.002540364
FGF10-AS1	0.000536934
FGF11	0.006622059
FGF12	0.002454983
FGF12-AS1	0
FGF12-AS3	0
FGF13	0.054288949
FGF13-AS1	0.002827073
FGF14	0
FGF14-AS1	0
FGF14-AS2	0.000505734
FGF14-IT1	8.26E-05
FGF16	0.000236636
FGF17	0.004588052
FGF18	0.028682493
FGF19	0.0053543
FGF2	0.001357674
FGF20	4.17E-05
FGF21	0
FGF22	4.97E-05
FGF23	0.004622155
FGF3	0.035758391
FGF4	0
FGF5	0
FGF6	0
FGF7	0.000209489
FGF8	0.153248107
FGF9	0.035285887
FGFBP1	0
FGFBP3	0.000129418
FGFR1	0.004849232
FGFR1OP	5.76E-05
FGFR1OP2	0.000157943
FGFR2	0.022827257
FGFR3	0.037119588
FGFR4	0.000396391
FGFRL1	0.021818068
FGG	0.000503123
FGGY	0.000573647
FGL1	0
FGL2	5.35E-06
FGR	0
FH	0.001775987
FHAD1	0.001262602
FHDC1	0.000221317
FHIT	0.003559196
FHL1	0.005690073
FHL2	0.020503901
FHL3	0.000408202
FHOD1	0.000233619
FHOD3	0.118469301
FIBCD1	0.009542227
FIBIN	0.000510261
FIBP	0.000753642
FICD	0.000103745
FIG4	0.000494312
FIGN	0.001152443
FIGNL1	0.000269696
FIGNL2	0.068184799
FILIP1	0.007065637
FILIP1L	0.001648536
FIP1L1	0.000850144
FIRRE	0.003555028
FIS1	0.000261308
FITM1	0.000149068
FITM2	0.000403996
FIZ1	0.000166199
FJX1	0.017624743
FKBP10	0.001132666
FKBP11	6.14E-05
FKBP14	9.78E-05
FKBP15	0.000178263
FKBP1A	0.007644827
FKBP1B	0.000664104
FKBP2	0.000153273
FKBP3	0.000183299
FKBP4	0.001340826
FKBP5	0.00070335
FKBP6	0.000315373
FKBP7	0.000138678
FKBP8	0.00050328
FKBP9	0.000822751
FKBP9P1	2.12E-05
FKBPL	0.000801952
FKRP	0.000161875
FKTN	0.000332024
FLAD1	0.000228508
FLCN	0.00015718
FLG	2.20E-05
FLG-AS1	0
FLG2	6.04E-05
FLI1	0.052689053
FLII	0.000206733
FLJ12825	0
FLJ13224	5.43E-05
FLJ16779	0.002028476
FLJ20021	0.000220023
FLJ21408	2.02E-05
FLJ22447	9.67E-05
FLJ22763	0
FLJ27354	0.000264006
FLJ30679	0.002173937
FLJ31104	3.90E-05
FLJ31356	0
FLJ33360	0.001081184
FLJ35934	1.34E-05
FLJ37035	0
FLJ37453	0.000192488
FLJ37505	0
FLJ38576	5.05E-05
FLJ40194	5.25E-05
FLJ40288	0
FLJ42102	0.001728663
FLJ42393	1.84E-06
FLJ42969	0
FLJ45079	0
FLJ46066	0
FLJ46284	9.24E-05
FLNA	0.005117712
FLNB	0.000472153
FLNB-AS1	1.02E-05
FLNC	0.009793251
FLOT1	0.000529193
FLOT2	0.000357713
FLRT1	0.000459653
FLRT2	0.001368373
FLRT3	0.000208653
FLT1	0.069549377
FLT3	0.002361728
FLT3LG	0
FLT4	0.019577374
FLVCR1	0.000118155
FLVCR1-AS1	2.75E-05
FLVCR2	0.001273468
FLYWCH1	0.000787352
FLYWCH2	0.001517852
FMN1	0.000347994
FMN2	0.000847556
FMNL1	0.009596213
FMNL2	0.002352899
FMNL3	0.00081601
FMO1	3.24E-05
FMO2	0
FMO3	0
FMO4	0.000410669
FMO5	0.000104365
FMO6P	3.56E-05
FMO9P	0
FMOD	0.00427271
FMR1	0.000347542
FMR1-AS1	0
FN1	0.040729973
FN3K	0.000215185
FN3KRP	0.00023033
FNBP1	0.000428391
FNBP1L	0.001961613
FNBP4	0.000251725
FNDC1	0.001145102
FNDC10	0.0152583
FNDC11	0.000433339
FNDC3A	0.000460955
FNDC3B	0.001997112
FNDC4	0.002992407
FNDC5	0.002553235
FNDC7	4.85E-05
FNDC8	0
FNDC9	5.48E-05
FNIP1	0.000378125
FNIP2	0.002302566
FNTA	0.000275155
FNTB	0.000344533
FOCAD	0.00092254
FOCAD-AS1	6.39E-06
FOLH1B	2.81E-05
FOLR1	0.000269317
FOLR2	0
FOLR3	0.000135369
FOPNL	0.000211472
FOS	0.000881789
FOSB	0.001554301
FOSL1	0.0023006
FOSL2	0.0002783
FOXA1	0.07918847
FOXA2	0.002119552
FOXA3	0.000881631
FOXB1	0
FOXB2	0
FOXC1	0.239091404
FOXC2	0.055693512
FOXCUT	0
FOXD1	0
FOXD2	0
FOXD3	0
FOXD4	0
FOXD4L1	4.95E-05
FOXE1	0.168244445
FOXE3	0
FOXF1	0.002447455
FOXF2	0.083994447
FOXG1	0.062321135
FOXH1	0.001430188
FOXI1	0.000315275
FOXI2	0.00315014
FOXI3	0.021134975
FOXJ1	0.010294534
FOXJ2	0.000202276
FOXJ3	0.000453153
FOXK1	0.002546366
FOXK2	0.000302814
FOXL1	0.348255508
FOXL2	0.008549094
FOXL2NB	0.013362874
FOXM1	0.000157761
FOXN1	0.000152063
FOXN2	0.000134924
FOXN3	0.000536747
FOXN4	0.006019301
FOXO1	0.000494169
FOXO3	0.000409236
FOXO3B	3.25E-05
FOXO4	0.001679264
FOXO6	0.076905877
FOXP1	0.000891233
FOXP2	0.012942709
FOXP3	0
FOXP4	0.063717267
FOXQ1	0.004069556
FOXRED1	0.000205183
FOXRED2	0.000147545
FOXS1	0.000807976
FPGS	0.00021383
FPGT	8.01E-05
FPGT-TNNI3K	0.000381415
FPR1	0
FPR2	0
FPR3	7.30E-05
FRA10AC1	0.000216501
FRAS1	0.022006711
FRAT1	0.00038888
FRAT2	0.000530246
FREM1	0.002733758
FREM2	0.004880502
FREM3	0.000163019
FRG1	0.000488599
FRG1BP	0.00023881
FRG1DP	0
FRG1HP	4.47E-05
FRG2C	0
FRK	8.57E-05
FRMD1	0.000848544
FRMD3	0.014175695
FRMD4A	0.051541864
FRMD4B	0.007482319
FRMD5	0.023610551
FRMD6	0.003676061
FRMD6-AS1	2.63E-05
FRMD7	0.000904871
FRMD8	0.000183366
FRMPD1	0.016865179
FRMPD2	0.004256481
FRMPD2B	2.69E-07
FRMPD3	0.002496556
FRMPD4	0.00243436
FRRS1	0.000376594
FRRS1L	8.27E-05
FRS2	0.0004128
FRS3	0.000177886
FRY	0.000927958
FRY-AS1	2.31E-05
FRYL	0.00028173
FRZB	0.014800413
FSBP	1.49E-05
FSCN1	0.004596032
FSCN2	0.004414297
FSCN3	3.64E-05
FSD1	0.001547511
FSD1L	0.000146315
FSD2	0.001125204
FSHR	0.000284873
FSIP1	0.000144648
FSIP2	0.00058944
FSIP2-AS1	2.36E-05
FST	0.023243828
FSTL1	0.00717025
FSTL3	0.002245935
FSTL4	0.001851664
FSTL5	0.000146115
FTCD	0.00061289
FTCDNL1	0.00096734
FTH1	0.000298658
FTH1P3	0
FTL	0.000279062
FTO	0.000474508
FTSJ1	0.000383908
FTSJ3	0.000177832
FTX	0.003000245
FUBP1	0.000289856
FUBP3	0.001341046
FUCA1	0.000691962
FUCA2	0.000452185
FUK	0.000228281
FUNDC1	0.000350318
FUNDC2	0.00029007
FUOM	0.007522021
FURIN	0.000466239
FUS	0.000183992
FUT1	0.000889894
FUT10	0.00030289
FUT11	0.000154239
FUT2	0.000217418
FUT3	8.81E-05
FUT4	0.000547419
FUT5	2.11E-05
FUT6	0.000543764
FUT7	0
FUT8	0.001250245
FUT8-AS1	5.32E-05
FUT9	1.74E-05
FUZ	0.000133554
FXN	0.000237652
FXR1	0.000360282
FXR2	0.000275092
FXYD1	0.000659917
FXYD2	0.000279528
FXYD3	0
FXYD4	3.35E-05
FXYD5	0.00410043
FXYD6	0.113567878
FXYD7	0.00129224
FYB	9.19E-06
FYCO1	0.001178974
FYN	0.000725628
FYTTD1	0.000583351
FZD1	0.001974101
FZD10	0
FZD10-AS1	0
FZD2	0.039740619
FZD3	0.000878993
FZD4	0.00097821
FZD5	0.00038538
FZD6	0.001016351
FZD7	0.011793812
FZD8	0.007920195
FZD9	0.000930452
FZR1	0.000183871
G0S2	0.008875968
G2E3	0.000175293
G3BP1	0.000257235
G3BP2	0.000267741
G6PC	0.000285056
G6PC2	0
G6PC3	0.000151877
G6PD	0.000688892
GAA	0.001139312
GAB1	0.001576139
GAB2	0.001250498
GAB3	0.000476642
GABARAP	1.59E-05
GABARAPL1	0.000418568
GABARAPL2	0.001106175
GABARAPL3	7.91E-06
GABBR1	0.00309803
GABBR2	0.004910303
GABPA	0.000176135
GABPB1	0.000261333
GABPB1-AS1	0.000144954
GABPB2	7.02E-05
GABRA1	0
GABRA2	0.000117288
GABRA3	1.22E-05
GABRA4	0.000104746
GABRA5	0
GABRA6	0
GABRB1	0.000237565
GABRB2	0.004397899
GABRB3	0.000132803
GABRD	0.013323755
GABRE	0.000706349
GABRG1	0
GABRG2	8.58E-06
GABRG3	0
GABRG3-AS1	0
GABRP	6.08E-05
GABRQ	0.000230445
GABRR1	0
GABRR2	0.000107463
GABRR3	0
GACAT2	0
GACAT3	0
GAD1	0.067115408
GAD2	0
GADD45A	0.000192065
GADD45B	0.010273517
GADD45G	0.026981109
GADD45GIP1	0.000239672
GADL1	0.006708622
GAK	0.000307514
GAL	0.008540734
GAL3ST1	0.000787411
GAL3ST2	5.72E-05
GAL3ST3	0.000803268
GAL3ST4	0.000361278
GALC	0.00032215
GALE	0.000245083
GALK1	0.000324224
GALK2	0.00021951
GALM	0.000395015
GALNS	0.000278891
GALNT1	0.000346847
GALNT10	0.002128984
GALNT11	0.000625537
GALNT12	0.001263336
GALNT13	0.000619837
GALNT14	0.021085337
GALNT15	0
GALNT16	0.023833702
GALNT18	0.023371699
GALNT2	0.00113196
GALNT3	0.000109258
GALNT4	3.54E-06
GALNT5	0.001052339
GALNT6	0.000460223
GALNT7	0.000403691
GALNT8	0.000670984
GALNT9	0.05464361
GALNTL5	0
GALNTL6	3.53E-05
GALP	0
GALR1	0
GALR2	0.000602182
GALR3	0.000645715
GALT	0.000163647
GAMT	0.00136131
GAN	0.000243718
GANAB	0.00028091
GANC	0.000149583
GAP43	0.0005854
GAPDH	0.000544787
GAPDHS	0.000350545
GAPLINC	2.12E-05
GAPT	0
GAPVD1	0.000367185
GAR1	8.05E-05
GAREM1	0.008339122
GAREM2	0.000779851
GARNL3	0.025518631
GARS	0.000318242
GART	0.000291612
GAS1	0.002736306
GAS1RR	0.000214723
GAS2	0.001625047
GAS2L1	0.000782675
GAS2L1P2	0.000250079
GAS2L2	0.000434143
GAS2L3	0.000614509
GAS5	0.000249532
GAS5-AS1	2.48E-05
GAS6	0.005894924
GAS6-AS1	0.000129313
GAS6-AS2	0.000789557
GAS7	0.00647347
GAS8	5.56E-05
GAS8-AS1	0
GAST	0
GATA1	0.000812619
GATA2	0.220962942
GATA3	0.3552918
GATA4	2.797443705
GATA5	0.591556184
GATA6	0.605271792
GATAD1	0.000212735
GATAD2A	0.000283656
GATAD2B	0.000154572
GATB	0.002652012
GATC	0.000114139
GATM	0.042500446
GATS	0.000602865
GATSL2	3.26E-06
GATSL3	7.74E-05
GBA	0.000154835
GBA2	0.000258654
GBA3	0
GBAP1	7.45E-05
GBAS	0.000549753
GBE1	0.000531734
GBF1	0.001586962
GBGT1	0.001213851
GBP1	5.67E-05
GBP1P1	2.13E-05
GBP2	0.000158223
GBP3	3.13E-05
GBP4	0.000162369
GBP5	2.55E-05
GBP6	7.42E-05
GBP7	9.62E-05
GBX1	0.079856195
GBX2	0.062260844
GC	1.98E-05
GCA	0.000823591
GCAT	0.007637319
GCC1	0.000165477
GCC2	0.00017471
GCC2-AS1	5.16E-05
GCDH	0.000177909
GCFC2	0.000243505
GCG	0
GCGR	0.001105299
GCH1	0.00032797
GCHFR	0.000212242
GCK	0.016173063
GCKR	0
GCLC	0.000374459
GCLM	5.73E-05
GCM1	0
GCM2	0.003258883
GCN1	0.00030716
GCNT1	0.000411114
GCNT2	0.000886208
GCNT3	0.000183671
GCNT4	2.06E-05
GCNT7	3.17E-05
GCOM1	0.004211096
GCSAM	8.05E-05
GCSAML	0
GCSH	0.000186564
GDA	0
GDAP1	0.005220784
GDAP1L1	0.000438546
GDAP2	0.000166392
GDE1	0.000217666
GDF10	0.00788395
GDF11	0.000287639
GDF15	0.000630969
GDF2	0.000999262
GDF3	0
GDF5	0.000157447
GDF6	0.286599116
GDF7	0.017373588
GDF9	4.47E-05
GDI1	0.001087393
GDI2	0.000539673
GDNF	0.00894191
GDNF-AS1	0.001295815
GDPD1	0.000327042
GDPD2	0.001310162
GDPD3	7.17E-06
GDPD4	0
GDPD5	0.004306691
GDPGP1	3.79E-05
GEM	0.000599362
GEMIN2	0.000144678
GEMIN4	0.000171995
GEMIN5	0.000234951
GEMIN6	0.00068651
GEMIN7	0.000162017
GEMIN8	0.006063226
GEMIN8P4	5.05E-05
GEN1	0.00024619
GET4	3.98E-05
GFAP	0.001777641
GFER	0.001613078
GFI1	0.003798946
GFI1B	0.001925556
GFM1	0.000285413
GFM2	0.00027483
GFOD1	0.001650424
GFOD2	0.000365324
GFPT1	0.000263225
GFPT2	0.017141806
GFRA1	0.014233667
GFRA2	0.003180245
GFRA3	0
GFRAL	9.04E-05
GFY	0.030023665
GGA1	0.001233793
GGA2	0.000395962
GGA3	0.000208005
GGACT	0.000283015
GGCT	0.000242067
GGCX	0.000174518
GGH	0.001157764
GGN	0.0001194
GGNBP1	1.09E-05
GGNBP2	0.000261988
GGPS1	0.000209061
GGT1	0.000243147
GGT3P	6.47E-06
GGT5	2.71E-05
GGT6	0
GGT7	0.000479864
GGT8P	0
GGTA1P	0.026198057
GGTLC1	0
GGTLC2	0
GH1	0
GH2	0
GHDC	0.000142766
GHET1	2.64E-05
GHITM	0.00076176
GHR	0.000769314
GHRH	0.000187571
GHRHR	0.000759375
GHRL	1.76E-05
GHRLOS	7.34E-06
GID4	0.000164492
GID8	0.000185941
GIF	2.29E-05
GIGYF1	0.00018329
GIGYF2	0.000331023
GIMAP1	0
GIMAP2	4.06E-05
GIMAP4	2.72E-05
GIMAP5	0
GIMAP6	1.72E-05
GIMAP8	8.03E-05
GIN1	9.61E-05
GINM1	0.000599292
GINS1	0.000205572
GINS2	0.000881804
GINS3	0.001357333
GINS4	0.000177956
GIP	0.006260628
GIPC1	0.000492098
GIPC2	0.000122307
